Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Muchea
Report Date: 14/10/2024
Comparison Date: 07/10/2024
Total Yarding: 1372 (+406)
Commentary
"Numbers increased to well over 1000 head this week however supplies are still low for this time of the year. The sale comprised of mostly large lines of Droughtmaster and Hereford-cross pastoral steers and heifers and PTIC Droughtmaster heifers and cows. Local cattle were scarce with the occasional pen of well-bred steers and heifers and several pens of heavy cows. Most of the regulars were active in the buyer gallery with good support from feedlot and Live export buyers.
Local vealer steers were few and sold from 222c to 340c while vealer heifers returned 150c to 266c/kg.  The same with Local yearling steers making 180c to 252c in store condition and with better finish up to 364c while yearling heifers ranged from 154c to 272c/kg. Pastoral steer calves started from 100c to 242c and with bigger frames sold up to 276c/kg. 
Pastoral heifers with bigger frames sold ok making 150c to 244c however plain smaller framed heifers were difficult to sell and got cheaper as the sale progressed ranging from 40c to 140c with the exception of one weaner calf making 298c to a boutique butcher.
Droughtmaster PTIC heifers sold from 150c to 210c while the cows started from 120c up to 208c/kg.
Grown steers eased 20c and sold from 146c to 272c while grown heifers held up better selling from 182c to 284c/kg.  Plain pastoral Light weight cows ranged from 20c to 112c while heavier cows were back another 5c with medium cows selling from 156c to 208c and heavy cows sold to a top of 216c/kg.
Shipping bulls were selling from 150c to 266c while slaughter bulls returned 180c to 222c/kg.
Market reporter Terry Birkin."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Feeder,C,2,12,9,210.0,220.0,218.33333333333334,-8.3,396.2,415.1,411.9,554.4,583.0,578.2333374023438
Yearling Steer,200-280,Feeder,D,2,6,NQ,128.0,128.0,128,NQ,246.2,246.2,246.2,285.4,285.4,285.44000244140625
Yearling Steer,200-280,Feeder,D,3,3,NQ,120.0,140.0,133.33333333333334,NQ,226.4,264.2,251.6,319.2,331.8,327.59999593098956
Yearling Steer,200-280,Live Export,D,3,2,NQ,156.0,156.0,156,NQ,294.3,294.3,294.3,415.0,415.0,414.9599914550781
Yearling Steer,200-280,Pastoral Cattle,D,2,32,NQ,106.0,254.0,236.3125,NQ,203.8,488.5,454.4,267.1,655.3,611.4762496948242
Yearling Steer,200-280,Restocker,C,2,7,NQ,286.0,286.0,286,NQ,539.6,539.6,539.6,772.2,772.2,772.1999860491071
Yearling Steer,280-330,Feeder,C,2,11,6,246.0,246.0,246,21.2,464.2,464.2,464.2,735.5,735.5,735.5399946732955
Yearling Steer,280-330,Feeder,C,3,15,12,280.0,364.0,335.46666666666664,93.5,509.1,661.8,609.9,882.0,1172.1,1076.2826497395833
Yearling Steer,280-330,Feeder,D,3,3,NQ,198.0,198.0,198,NQ,373.6,373.6,373.6,627.7,627.7,627.6599934895834
Yearling Steer,280-330,Live Export,D,2,14,NQ,192.0,202.0,198.71428571428572,NQ,369.2,388.5,382.1,576.0,616.1,596.5985456194196
Yearling Steer,280-330,Live Export,D,3,50,NQ,208.0,276.0,253.6,NQ,392.5,520.8,478.5,599.0,815.9,748.3344165039063
Yearling Steer,280-330,Pastoral Cattle,D,2,12,NQ,244.0,252.0,246,NQ,469.2,484.6,473.1,717.4,733.3,721.3499755859375
Yearling Steer,280-330,Processor,C,3,2,NQ,180.0,180.0,180,NQ,339.6,339.6,339.6,545.4,545.4,545.4000244140625
Yearling Steer,280-330,Restocker,C,2,9,8,296.0,296.0,296,88.0,558.5,558.5,558.5,923.5,923.5,923.5199652777778
Yearling Steer,330-400,Feeder,C,3,19,-9,308.0,344.0,320.94736842105266,-4.3,560.0,625.5,583.5,1059.5,1306.8,1179.7978901110198
Yearling Steer,330-400,Feeder,D,3,5,NQ,180.0,268.0,222.4,NQ,339.6,505.7,419.6,604.8,943.4,828.7839965820312
Yearling Steer,330-400,Live Export,D,3,19,NQ,270.0,272.0,270.10526315789474,NQ,509.4,513.2,509.6,903.0,918.0,917.2126304224918
Yearling Steer,330-400,Processor,C,3,4,1,344.0,344.0,344,22.0,625.5,625.5,625.5,1296.9,1296.9,1296.8800048828125
Yearling Steer,400+,Feeder,C,3,1,-6,272.0,272.0,272,-30.3,494.5,494.5,494.5,1104.3,1104.3,1104.3199462890625
Yearling Steer,400+,Processor,C,3,8,NQ,304.0,304.0,304,NQ,552.7,552.7,552.7,1441.0,1441.0,1440.9599609375
Yearling Steer,400+,Restocker,C,3,1,NQ,266.0,266.0,266,NQ,483.6,483.6,483.6,1223.6,1223.6,1223.5999755859375
Yearling Heifer,200-280,Feeder,C,3,8,NQ,200.0,250.0,225,NQ,384.6,480.8,432.7,508.0,657.5,582.75
Yearling Heifer,200-280,Pastoral Cattle,D,2,81,NQ,60.0,226.0,149.1604938271605,NQ,120.0,452.0,298.3,150.6,632.8,404.213831772039
