Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Charters Towers
Report Date: 19/03/2025
Comparison Date: 12/03/2025
Total Yarding: 2495 (+953)
Commentary
"With some useful rain across many areas and the forecast of further rain, numbers increased by more than 900 for a yarding of 2495 cattle.  Quality was mixed, comprising of some large northern lines, an increased supply of heavy bullocks and cows, supported by several mixed lines of store steers and heifers. All regular processors were in attendance and operating at stronger rates, along with one feeder and opportunity feeders, backgrounders and restockers. Cattle were drawn from Mt Isa, Normanton, Georgetown, Prairie, local and coastal areas.

Increased demand saw solid gains for heavy, better quality processor types with grown steers and heifers to processors lifting 20-40c, cows averaged 11-26c better, heavy bulls improved 15c to 20c/kg.

Limited numbers of young steers to restockers sold to 266c to average 246c, similar heifers to processors made to 240c to average 234c/kg. Yearling steers were of mixed quality and sold accordingly. Steers above 280kg to feed reached 262c to average 225c, while steers above 330kg sold to 292c to average 250c to 279c/kg. Yearling heifers above 200kg to processors sold to 252c, averaging 233c, while a good sample above 280kg to processors averaged 232c/kg. Heifers of good quality above 330kg to feed made to 284c to average 263c/kg.  Grown steers above 400kg to the trade averaged 268c to 277c selling to 310c, heavy steers reached 314c/kg. A good sample of heavy prime grown heifers made to 292c averaging 263c to 286c/kg.

An increased supply of heavy bullocks to export slaughter topped at 330c, most sales from 304c to 324c /kg. Medium weight 2 score cows to processors averaged 221c to 234c, selling to 256c, 3 score cows reached 276c multiple times to average 247c to 271c/kg. A good sample of prime heavyweight cows topped at 282c to average 277c/kg. Heavy bulls to processors sold from 230c to 262c/kg.

A good supply of cows and calves sold to $1,250/unit.

Market Reporter, Mick Kingham"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Feeder,C,2,6,NQ,260.0,260.0,260,NQ,500.0,500.0,500.0,611.0,611.0,611
Yearling Steer,200-280,Feeder,D,2,16,-63,198.0,220.0,210.5,-42.6,380.8,423.1,404.8,445.5,576.8,468.59374618530273
Yearling Steer,200-280,Processor,D,2,7,NQ,210.0,220.0,218,NQ,403.8,423.1,419.2,484.0,535.5,518.2714320591518
Yearling Steer,200-280,Restocker,D,2,24,-56,204.0,272.0,263.5,1.9,392.3,523.1,506.7,571.2,666.4,654.5000203450521
Yearling Steer,280-330,Feeder,D,2,54,7,84.0,262.0,224.37037037037038,-53.1,164.7,503.8,432.0,260.4,851.5,713.9147700557003
Yearling Steer,280-330,Feeder,E,2,1,NQ,50.0,50.0,50,NQ,98.0,98.0,98.0,155.0,155.0,155
Yearling Steer,280-330,Processor,C,2,2,NQ,248.0,248.0,248,NQ,476.9,476.9,476.9,719.2,719.2,719.2000122070312
Yearling Steer,280-330,Processor,D,2,14,NQ,180.0,238.0,186.28571428571428,NQ,352.9,457.7,364.1,558.0,737.8,580.4857134137835
Yearling Steer,280-330,Restocker,D,2,13,NQ,226.0,272.0,256.7692307692308,NQ,434.6,523.1,493.8,666.7,884.0,812.6461557241587
Yearling Steer,330-400,Feeder,C,2,16,NQ,226.0,292.0,278.5,NQ,434.6,561.5,530.9,791.0,1109.6,1033.4999732971191
Yearling Steer,330-400,Feeder,D,2,58,45,240.0,256.0,249.72413793103448,-22.0,461.5,492.3,480.2,817.4,972.8,895.9620655980603
Yearling Steer,330-400,Processor,D,3,13,12,248.0,248.0,248,-4.0,476.9,476.9,476.9,967.2,967.2,967.2000450721154
Yearling Heifer,0-200,Feeder,D,2,10,NQ,184.0,184.0,184,NQ,353.8,353.8,353.8,340.4,340.4,340.4
Yearling Heifer,0-200,Processor,D,2,1,NQ,184.0,184.0,184,NQ,353.8,353.8,353.8,358.8,358.8,358.79998779296875
Yearling Heifer,200-280,Feeder,C,2,3,NQ,220.0,220.0,220,NQ,423.1,423.1,423.1,539.0,539.0,539
Yearling Heifer,200-280,Feeder,D,2,58,57,100.0,234.0,210.3448275862069,20.3,192.3,450.0,404.5,270.0,570.0,515.5499930546201
Yearling Heifer,200-280,Processor,C,2,4,NQ,220.0,228.0,224,NQ,423.1,438.5,430.8,594.0,604.2,599.1000061035156
Yearling Heifer,200-280,Processor,D,2,84,NQ,168.0,252.0,232.88095238095238,NQ,329.4,484.6,447.9,462.0,705.6,602.3368915376209
Yearling Heifer,280-330,Feeder,C,2,12,NQ,260.0,260.0,260,NQ,500.0,500.0,500.0,819.0,819.0,819
Yearling Heifer,280-330,Feeder,D,2,17,12,170.0,246.0,236.35294117647058,-17.6,326.9,473.1,454.5,527.0,750.3,716.4352596507352
Yearling Heifer,280-330,Processor,D,2,70,67,165.0,268.0,232.0857142857143,23.4,317.3,515.4,446.3,470.3,884.4,711.7071384974888
Yearling Heifer,330-400,Feeder,C,2,28,-171,250.0,284.0,262.64285714285717,9.5,480.8,535.8,499.8,862.5,1121.8,941.517839704241
Yearling Heifer,330-400,Feeder,D,2,2,-2,264.0,264.0,264,22.0,507.7,507.7,507.7,1016.4,1016.4,1016.4000244140625
Yearling Heifer,330-400,Feeder,D,3,1,NQ,240.0,240.0,240,NQ,461.5,461.5,461.5,852.0,852.0,852
Yearling Heifer,330-400,Processor,C,2,2,NQ,240.0,240.0,240,NQ,461.5,461.5,461.5,828.0,828.0,828
Yearling Heifer,330-400,Processor,D,2,3,-1,230.0,242.0,238,-8.0,442.3,465.4,457.7,810.7,828.0,816.4666748046875
Yearling Heifer,330-400,Processor,D,3,1,-1,284.0,284.0,284,42.0,546.2,546.2,546.2,965.6,965.6,965.5999755859375
Vealer Steer,0-200,Restocker,E,2,1,NQ,120.0,120.0,120,NQ,235.3,235.3,235.3,222.0,222.0,222
Vealer Steer,200-280,Feeder,D,2,13,NQ,200.0,226.0,222,NQ,384.6,434.6,426.9,420.0,474.6,466.2000075120192
Vealer Steer,200-280,Processor,C,2,1,-8,212.0,212.0,212,-42.0,407.7,407.7,407.7,487.6,487.6,487.6000061035156
Vealer Steer,200-280,Processor,D,2,6,3,248.0,248.0,248,8.0,476.9,476.9,476.9,644.8,644.8,644.7999674479166
Vealer Steer,200-280,Restocker,C,2,32,-4,230.0,266.0,245.75,-17.3,442.3,511.5,472.6,494.5,704.9,586.5500183105469
Vealer Steer,200-280,Restocker,D,2,45,NQ,150.0,250.0,225.11111111111111,NQ,288.5,480.8,432.9,307.5,525.0,466.75555555555553
Vealer Heifer,0-200,Feeder,D,2,40,23,160.0,214.0,190.45,10.4,307.7,411.5,366.2,232.0,406.6,355.7550048828125
