Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: IRLX Inverell
Report Date: 30/04/2024
Comparison Date: 23/04/2024
Total Yarding: 1034 (+454)
Commentary
"Inverell penned 1034 mixed quality cattle an increase of 454 head. There was a slight increase in the cow numbers. The regular buyers attended and operated in full to a much dearer market.

Weaners were considerably dearer with restockers active resulting in that market 12c/kg dearer for steers and 7c/kg better for heifers. Steer vealers to the trade were significantly dearer selling to 240c/kg. Light steers to background to 30c/kg better as were the similar class feeders to substantially dearer trends and selling to 344.2/kg. Medium feeders firm to slightly dearer as were the heavy feeders gaining 6c/kg. Similarly the heifer classes resulted in dearer trends light backgrounders 23c/kg dearer  the light feeders to 8c/kg better and medium weight feeder heifers to 11c/kg dearer.

Cows saw the best improvement with medium weights selling to 178.2c/kg. Heavy cows also rallied to be 20c/kg better and topping at 228.2c/kg. Restockers  strong at a rise of 14c/kg the better drafts to 204c/kg. Best bulls sold to a rise of 6c/kg. 

Stephen Adams MLA"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Feeder,C,2,10,4,250.0,318.2,263.64000244140624,-10.9,463.0,589.3,488.2,675.0,891.0,718.1920043945313
Yearling Steer,200-280,Restocker,C,2,31,7,288.2,324.2,315.29678443170366,30.8,533.7,600.4,583.9,749.3,875.3,849.5774398311491
Yearling Steer,280-330,Feeder,C,2,39,15,290.0,344.2,314.6923170823317,45.0,537.0,637.4,582.8,905.8,1102.9,997.8641200921475
Yearling Steer,280-330,Processor,C,2,1,-1,180.0,180.0,180,-68.2,333.3,333.3,333.3,594.0,594.0,594
Yearling Steer,280-330,Restocker,C,2,14,-25,280.0,354.2,343.6000279017857,28.8,518.5,655.9,636.3,896.0,1062.6,1038.7999441964287
Yearling Steer,330-400,Feeder,C,2,47,1,264.2,362.2,337.4297952854887,1.4,489.3,670.7,624.9,1026.0,1376.4,1234.324733003657
Yearling Steer,330-400,Feeder,D,2,5,NQ,200.0,200.0,200,NQ,377.4,377.4,377.4,700.0,700.0,700
Yearling Steer,330-400,Processor,C,2,11,NQ,312.2,312.2,312.2000177556818,NQ,578.1,578.1,578.1,1092.7,1092.7,1092.700106534091
Yearling Steer,330-400,Restocker,C,2,19,NQ,314.2,375.0,368.6000012849507,NQ,581.9,694.4,682.6,1131.1,1312.5,1293.407380756579
Yearling Steer,330-400,Restocker,D,2,4,NQ,210.2,210.2,210.1999969482422,NQ,396.6,396.6,396.6,735.7,735.7,735.7000122070312
Yearling Steer,400+,Feeder,C,2,23,16,310.0,348.2,337.4869703209919,3.3,574.1,644.8,625.0,1530.9,1810.6,1672.1008406929348
Yearling Steer,400+,Feeder,C,3,12,NQ,330.2,358.2,351.20000712076825,NQ,611.5,663.3,650.4,1719.4,1915.2,1768.3100179036458
Yearling Heifer,200-280,Feeder,D,2,4,NQ,152.2,152.2,152.1999969482422,NQ,292.7,292.7,292.7,395.7,395.7,395.7200012207031
Yearling Heifer,200-280,Processor,D,2,10,NQ,188.2,188.2,188.2,NQ,361.9,361.9,361.9,470.5,470.5,470.5
Yearling Heifer,200-280,Restocker,C,2,30,11,248.2,290.2,281.00000813802086,23.0,468.3,547.5,530.2,620.5,720.5,690.8919921875
Yearling Heifer,280-330,Feeder,C,2,9,-5,280.0,308.2,297.933342827691,8.2,528.3,581.5,562.1,868.0,1010.9,958.1226671006945
Yearling Heifer,280-330,Processor,C,2,1,-6,192.2,192.2,192.1999969482422,-28.0,362.6,362.6,362.6,576.6,576.6,576.5999755859375
Yearling Heifer,280-330,Restocker,C,2,10,2,250.0,296.2,286.960009765625,0.8,471.7,558.9,541.4,775.0,977.5,936.96806640625
Yearling Heifer,330-400,Feeder,C,2,68,26,270.0,310.2,294.42059595444624,11.6,509.4,585.3,555.5,972.0,1147.7,1080.578275792739
Yearling Heifer,330-400,Processor,C,2,29,25,242.2,314.2,304.7517405542834,64.8,457.0,592.8,575.0,871.9,1131.1,1097.9897923962824
Yearling Heifer,330-400,Processor,C,3,8,NQ,252.2,300.0,290.3000011444092,NQ,475.8,566.0,547.7,882.7,1140.0,1086.9275131225586
Yearling Heifer,330-400,Restocker,C,2,6,5,280.0,296.2,290.8000081380208,12.6,528.3,558.9,548.7,952.0,1066.3,1028.21337890625
Yearling Heifer,400+,Feeder,C,2,25,17,275.2,302.2,290.32001953125,14.1,519.2,570.2,547.8,1210.9,1329.7,1277.408125
Yearling Heifer,400+,Feeder,C,3,15,12,300.0,306.2,304.5466796875,16.3,566.0,577.7,574.6,1260.0,1684.1,1571.006640625
Vealer Steer,200-280,Processor,C,2,2,1,240.0,240.0,240,38.8,444.4,444.4,444.4,576.0,576.0,576
Vealer Steer,200-280,Restocker,C,2,99,56,316.2,372.2,347.74546305338544,12.5,585.6,689.3,644.0,752.4,1042.2,890.8545464409722
