Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Dalby
Report Date: 22/01/2025
Comparison Date: 15/01/2025
Total Yarding: 7138 (+2286)
Commentary
"Dalby agents penned 7,138 head a lift of 2,286 cattle were drawn from NSW, SA and 1,739 from far western QLD which included one consignment of 570 head with the balance from the local supply area. All the regular processors and feeder buyers attended along with restockers and backgrounders. With the extra numbers on offer prices for all classes could not maintain last weeks dearer trends and slipped from 12c to 20c/kg and more in places.

Light weight yearling steers to background sold to 444c with those over 280kg at 452c to average 402c/kg. Yearling steers to feed for the domestic market made 438c/kg.Heavy yearling steers to feed sold to 402c and averaged from 360c to 373c/kg. Light weight yearling heifers to restockers sold to 370c with those over 280kg at 360c to average 320c/kg. Yearling heifers to feed for the domestic market sold to 360c and averaged 335c/kg. Heavy yearling heifers to feed made 370c to average 344c/kg. 

Grown steers to feed averaged 374c and sold to 394c with those to processors at 351c to average 338c/kg. Heavy bullocks to processors made 358c to average 344c/kg. Grown heifers to processors made 336c to average 321c/kg.Plain conditioned light weight cows to processors made 272c to average 255c/kg. Heavy score 3 cows to processors made 290c to average 280c with the best heavy cows topping at 298c to average 289c/kg. Light weight bulls to restockers made 360c to average 311c/kg. Heavy bulls to processors made 318c to average 285c/kg.

Market Reporter Errol Luck."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Heifer,400+,Feeder,C,3,7,NQ,326.0,326.0,326,NQ,603.7,603.7,603.7,1483.3,1483.3,1483.300083705357
Yearling Heifer,400+,Processor,C,2,41,31,304.0,318.0,312.3414634146341,-32.7,563.0,588.9,578.4,1261.6,1437.8,1365.3195026676829
Yearling Heifer,400+,Processor,C,3,63,11,296.0,340.0,325.3492063492063,-6.1,548.1,629.6,602.5,1515.2,1866.2,1659.2823835100446
Yearling Heifer,400+,Processor,D,2,6,NQ,272.0,272.0,272,NQ,503.7,503.7,503.7,1128.8,1128.8,1128.800048828125
Yearling Heifer,400+,Restocker,C,2,3,NQ,280.0,280.0,280,NQ,518.5,518.5,518.5,1162.0,1162.0,1162
Manufacturing Steer,540+,Processor,C,3,16,NQ,354.0,354.0,354,NQ,655.6,655.6,655.6,2424.9,2424.9,2424.89990234375
Grown Steer,400-500,Feeder,C,2,23,17,330.0,384.0,354.5217391304348,44.5,611.1,711.1,656.5,1402.5,1900.8,1641.1173997961957
Grown Steer,400-500,Processor,C,3,22,NQ,328.0,342.0,338,NQ,607.4,633.3,625.9,1612.8,1682.6,1647.0181995738637
Grown Steer,500-600,Feeder,C,2,19,NQ,340.0,394.0,374.10526315789474,NQ,629.6,729.6,692.8,1737.4,2304.9,2095.820980674342
Grown Steer,500-600,Processor,C,3,116,112,300.0,351.0,337.5258620689655,17.3,555.6,650.0,625.0,1617.1,2082.5,1874.0952685125942
Grown Steer,600-750,Feeder,C,3,3,NQ,334.0,334.0,334,NQ,618.5,618.5,618.5,2087.5,2087.5,2087.5
Grown Steer,600-750,Processor,C,3,292,280,317.0,358.0,343.6472602739726,31.8,587.0,663.0,636.4,1981.3,2397.5,2226.5683727525684
Grown Steer,750+,Processor,C,3,33,NQ,280.0,350.0,325.3939393939394,NQ,518.5,648.1,602.6,2310.0,2782.5,2598.590968276515
Grown Heifer,0-540,Feeder,C,2,56,NQ,240.0,326.0,302.64285714285717,NQ,444.4,603.7,560.4,1020.0,1658.3,1337.857162475586
Grown Heifer,0-540,Feeder,D,2,10,NQ,232.0,232.0,232,NQ,429.6,429.6,429.6,777.2,777.2,777.2
Grown Heifer,0-540,Processor,C,2,8,NQ,272.0,272.0,272,NQ,503.7,503.7,503.7,1428.0,1428.0,1428
Grown Heifer,0-540,Processor,C,3,18,12,285.0,332.0,313,-17.0,527.8,614.8,579.6,1296.8,1776.2,1564.1722005208333
Grown Heifer,540+,Feeder,C,2,1,NQ,292.0,292.0,292,NQ,540.7,540.7,540.7,1708.2,1708.2,1708.199951171875
Grown Heifer,540+,Feeder,C,3,2,NQ,311.0,311.0,311,NQ,575.9,575.9,575.9,1726.1,1726.1,1726.050048828125
Grown Heifer,540+,Processor,C,3,70,NQ,288.0,336.0,320.51428571428573,NQ,533.3,622.2,593.5,1598.4,2066.4,1896.8228515625
Cows,400-520,Processor,D,2,180,25,232.0,272.0,254.95555555555555,-18.1,464.0,544.0,509.9,1125.2,1400.8,1301.7350070529515
Cows,400-520,Processor,D,3,23,-109,265.0,280.0,274.1304347826087,-17.2,530.0,560.0,548.3,1330.0,1364.8,1343.5978260869565
Cows,400-520,Restocker,D,2,21,NQ,180.0,242.0,233.71428571428572,NQ,360.0,484.0,467.4,919.8,1137.4,1118.683834984189
Cows,520+,Processor,D,2,211,209,236.0,276.0,266.0568720379147,-3.9,472.0,552.0,532.1,1260.0,1579.5,1446.9034365974896
Cows,520+,Processor,D,3,385,251,270.0,290.0,280.35844155844154,-16.4,540.0,580.0,560.7,1417.5,1667.3,1538.5219206574675
Cows,520+,Processor,D,4,105,-142,281.0,298.0,288.9238095238095,-23.2,562.0,596.0,577.8,1519.1,1939.7,1636.8660993303572
Cows,520+,Processor,D,5,8,NQ,230.0,280.0,271.25,NQ,460.0,560.0,542.5,1437.5,1554.0,1525.5625
Cows,520+,Restocker,D,2,10,NQ,196.0,236.0,232,NQ,392.0,472.0,464.0,1029.0,1309.8,1281.72001953125
Bulls,0-450,Feeder,C,2,25,-4,272.0,320.0,284.96,-52.6,503.7,592.6,527.7,994.0,1360.0,1187
Bulls,0-450,Feeder,C,3,4,NQ,322.0,325.0,323.5,NQ,596.3,601.9,599.1,1251.3,1368.5,1309.875
Bulls,0-450,Feeder,D,2,6,NQ,290.0,290.0,290,NQ,537.0,537.0,537.0,1232.5,1232.5,1232.5
Bulls,0-450,Processor,C,2,15,13,322.0,322.0,322,51.8,596.3,596.3,596.3,1143.1,1143.1,1143.1
Bulls,0-450,Restocker,C,2,50,-3,248.0,360.0,311.4,-43.4,459.3,666.7,576.7,632.4,1295.6,1029.9180078125
Bulls,450-600,Feeder,C,2,10,3,280.0,310.0,301.4,0.4,518.5,574.1,558.1,1274.0,1514.7,1420.0899658203125
Bulls,450-600,Processor,C,2,20,NQ,246.0,284.0,270.5,NQ,455.6,525.9,500.9,1217.7,1491.0,1409.0549926757812
Bulls,450-600,Processor,C,3,10,9,284.0,290.0,284.6,-7.6,525.9,537.0,527.0,1292.2,1696.5,1332.62998046875
Bulls,450-600,Restocker,C,3,1,NQ,300.0,300.0,300,NQ,555.6,555.6,555.6,1755.0,1755.0,1755
Bulls,600+,Processor,C,2,2,-4,274.0,274.0,274,-9.6,507.4,507.4,507.4,1712.5,1712.5,1712.5
Bulls,600+,Processor,C,3,73,28,210.0,318.0,284.9178082191781,-12.9,388.9,588.9,527.6,1642.2,3498.0,2248.778750066888
