Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Forbes
Report Date: 24/03/2025
Comparison Date: 17/03/2025
Total Yarding: 1236 (-894)
Commentary
"Numbers fell this sale with agents yarding 1236 head. Quality was mixed but fair with some good lines of well bred cattle offered along with the secondary types. The usual buyers were present and competing in a mostly dearer market. 

Yearling steers to feed were firm 5c dearer to sell from 355 to 405c/kg. Finished lines to processors ranged from 360 to 380c/kg. The heifer portion to processors sold from 300 to 365c/kg with plainer types to feed receiving 295 to 340c/kg. 

Heavy steers and bullocks reached 380c/kg. Grown heifers sold from 275 to 326c/kg.

Cows lifted 3c to 4c with heavy 2 score selling from 259 to 277c and 3 score sold from 275c to 295c/kg. The best heavy bull reached 297c/kg."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,3,1,NQ,350.0,350.0,350,NQ,648.1,648.1,648.1,805.0,805.0,805
Yearling Steer,280-330,Feeder,C,3,7,2,355.0,380.0,369.2857142857143,24.3,657.4,703.7,683.9,1136.0,1216.0,1181.7142857142858
Yearling Steer,330-400,Feeder,C,2,40,-193,355.0,395.0,376.75,-5.9,657.4,731.5,697.7,1332.0,1540.5,1438.3625
Yearling Steer,330-400,Feeder,C,3,82,10,355.0,400.0,391.7926829268293,13.0,657.4,740.7,725.5,1349.0,1600.0,1549.4268292682927
Yearling Steer,330-400,Feeder,D,2,12,NQ,320.0,320.0,320,NQ,592.6,592.6,592.6,1280.0,1280.0,1280
Yearling Steer,330-400,Processor,C,2,1,NQ,359.2,359.2,359.20001220703125,NQ,665.2,665.2,665.2,1365.0,1365.0,1364.9599609375
Yearling Steer,400+,Feeder,C,2,109,-28,350.2,405.0,386.69175118262615,-1.2,648.5,750.0,716.1,1455.5,1822.5,1679.9257118155103
Yearling Steer,400+,Feeder,C,3,124,-11,324.2,403.6,380.73226534935736,-4.3,600.4,747.4,705.1,1467.8,1938.0,1746.8922887002268
