Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Shepparton
Report Date: 03/12/2024
Comparison Date: 26/11/2024
Total Yarding: 1820 (-90)
Commentary
"There were 1345 exports and 475 trade cattle offered, as rain fell on and off during the sale. A wide range of rainfall reports were seen, but all  have the same conclusion, its wet underfoot and crops will suffer from it.  The buyer numbers were reduced as several exporters stayed away, this however failed to deter the silver lining, as prices across all the better shaped and conditioned grades jumped by 10c to 35c/kg. Cows were the biggest shacker and mover to see gains of 20c to 30c/kg across all grades. 

The trade cattle had a large line of vealers off one property that met strong competition from restockers and prices ranged from 310c to 350c/kg. The trade cattle had a few more better finished lines of supplementary fed cattle. The best of the vealers made from 320c to 376c/kg. The yearling steers ranged from 302c to 370c/kg, which was 15c to 30c/kg higher. The heifer portion to the trade made from 278c to 355c/kg.

The Friesian steer numbers were tight, with the best reaching 295c/kg. The 500 to 600kg steers C3 and C4 made from 322c to 345c/kg to average 333c/kg. The 600kg plus steers made from 310c to 350c/kg, which was 8c to 13c/kg better. The heavy, well conditioned beef cows made from 280c to a top of 319c/kg. The dairy cow numbers tightened and prices ranged from 245c to 300c/kg."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Steer,400-500,Processor,C,2,14,9,298.0,333.0,308,38.0,573.1,616.7,585.5,1445.3,1648.3,1503.3142787388392
Grown Steer,400-500,Processor,C,3,17,15,340.0,350.0,345.88235294117646,-4.1,641.5,660.4,652.6,1696.6,1732.5,1717.7176585477941
Grown Steer,400-500,Processor,C,4,15,4,330.0,330.0,330,4.5,622.6,622.6,622.6,1633.5,1633.5,1633.5
Grown Steer,400-500,Restocker,C,2,20,7,290.0,290.0,290,13.4,557.7,557.7,557.7,1319.5,1319.5,1319.5
Grown Steer,500-600,Processor,C,2,17,7,322.0,333.0,329.7647058823529,19.8,607.5,640.4,630.7,1722.7,1831.5,1799.5
Grown Steer,500-600,Processor,C,3,55,23,322.0,345.0,332.96363636363634,0.9,607.5,650.9,628.2,1690.5,2023.0,1834.7736150568182
Grown Steer,500-600,Processor,D,2,13,7,280.0,315.0,298.84615384615387,43.8,538.5,617.6,581.1,1442.0,1811.3,1640.826923076923
Grown Steer,600-750,Processor,B,2,1,NQ,350.0,350.0,350,NQ,614.0,614.0,614.0,2275.0,2275.0,2275
Grown Steer,600-750,Processor,C,3,65,14,320.0,330.0,326.9230769230769,8.4,592.6,622.6,613.4,2062.5,2080.0,2067.8846153846152
Grown Steer,600-750,Processor,C,4,26,-4,332.0,340.0,337.53846153846155,13.5,618.2,641.5,626.1,2191.2,2312.0,2219.907677283654
Grown Heifer,0-540,Feeder,C,3,12,NQ,313.0,313.0,313,NQ,590.6,590.6,590.6,1408.5,1408.5,1408.5
Grown Heifer,0-540,Processor,C,3,41,29,312.0,334.0,325.7560975609756,-1.2,588.7,626.4,614.9,1435.5,1726.4,1592.1805211509147
Grown Heifer,0-540,Processor,C,4,6,-2,325.0,325.0,325,10.0,613.2,613.2,613.2,1576.3,1576.3,1576.25
Grown Heifer,0-540,Processor,D,1,17,NQ,265.0,265.0,265,NQ,540.8,540.8,540.8,1258.8,1258.8,1258.75
Grown Heifer,0-540,Processor,D,2,17,8,290.0,311.0,297.5882352941176,69.8,557.7,609.8,583.7,1290.7,1406.5,1368.8970588235295
Grown Heifer,0-540,Processor,D,3,36,13,295.0,312.0,299.72222222222223,17.3,567.3,588.7,573.2,1430.8,1638.0,1488.3194444444443
Grown Heifer,0-540,Processor,D,4,20,-2,313.0,313.0,313,15.4,601.9,601.9,601.9,1561.9,1561.9,1561.87001953125
Grown Heifer,540+,Processor,C,3,26,NQ,322.0,366.0,352.84615384615387,NQ,596.3,677.8,653.4,1771.0,1994.7,1927.9845252403845
Grown Heifer,540+,Processor,C,4,7,-12,318.0,318.0,318,25.8,600.0,600.0,600.0,1749.0,1749.0,1749
Cows,0-400,Dairy,E,1,3,NQ,120.0,120.0,120,NQ,285.7,285.7,285.7,480.0,480.0,480
Cows,400-520,Dairy,D,1,16,7,250.0,250.0,250,48.3,555.6,581.4,562.0,1125.0,1247.5,1155.625
Cows,400-520,Processor,D,1,14,5,245.0,253.0,249,30.0,510.4,527.1,518.7,1212.8,1252.3,1232.550013950893
Cows,400-520,Processor,D,2,14,-1,272.0,285.0,276.64285714285717,54.6,555.1,593.8,568.9,1414.4,1467.8,1433.45361328125
Cows,400-520,Restocker,D,1,15,NQ,250.0,250.0,250,NQ,520.8,520.8,520.8,1125.0,1125.0,1125
Cows,400-520,Restocker,D,2,15,6,230.0,290.0,258,28.0,489.4,604.2,542.9,1046.5,1435.5,1228.0333333333333
Cows,520+,Dairy,D,1,44,8,245.0,270.0,255,36.3,551.1,600.0,572.0,1364.0,1579.5,1412.3181818181818
Cows,520+,Dairy,D,3,5,-10,300.0,300.0,300,45.0,625.0,625.0,625.0,1905.0,1905.0,1905
Cows,520+,Processor,C,4,34,25,300.0,319.0,310.8529411764706,40.9,566.0,601.9,586.5,2030.5,2296.8,2151.788258272059
Cows,520+,Processor,D,2,19,NQ,282.0,283.0,282.63157894736844,NQ,564.0,566.0,565.3,1522.8,1754.6,1669.1999897203948
Cows,520+,Processor,D,3,56,-13,280.0,305.0,293.01785714285717,30.8,538.5,622.4,579.7,1601.3,1711.0,1666.7544642857142
Cows,520+,Processor,D,4,15,-96,293.0,295.0,293.8,23.2,563.5,567.3,565.0,1816.6,1917.5,1856.9599609375
Bulls,600+,Processor,B,2,3,NQ,300.0,300.0,300,NQ,526.3,526.3,526.3,2409.0,2409.0,2409
Bulls,600+,Processor,B,3,4,NQ,302.0,302.0,302,NQ,529.8,529.8,529.8,2869.0,2869.0,2869
