Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Armidale
Report Date: 15/02/2024
Comparison Date: 01/02/2024
Total Yarding: 1600 (-380)
Commentary
"There was a lot less competition in front of a slightly reduced penning. Both young cattle and grown cattle were evenly represented with a great variation in quality and condition. Differing from the previous sale was the lack of good quality straight lines. The regular processors were in attendance with the reduced attendance coming from the large field of feedlot and restockers present at the previous sale.

Trends were cheaper through all classes of young cattle with a fortnight of falling markets contributing to some large price changes.there was also quality related change. Crossbred yearling steers heading to Northern paddocks and feed yards held up reasonably well. In a falling market the secondary quality yearling heifers attracted some of the larger price corrections.

Despite all being in attendance processor demand was weaker through all classes of grown cattle with the well finished heavy steers down by 16c to 20c/kg. The well finished grown heifers were less affected. Cows and bulls felt the brunt of the cheaper market with the well finished heavy weights as much as 35c/kg cheaper while the plainer conditioned cows experienced greater falls. Heavy bulls were also significantly cheaper with falls in excess of those of the cows."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,61,15,240.0,394.0,373.71475569928276,-41.6,461.5,757.7,718.8,672.0,1061.5,949.811475409836
Yearling Steer,280-330,Feeder,C,2,9,NQ,360.0,360.0,360,NQ,692.3,692.3,692.3,1188.0,1188.0,1188
Yearling Steer,280-330,Restocker,C,2,57,6,280.2,388.0,361.4912291409677,-55.6,518.9,746.2,693.0,840.6,1234.2,1120.6926376610472
Yearling Steer,330-400,Feeder,C,2,46,-94,300.0,362.0,343.32608695652175,-54.2,576.9,696.2,660.2,1155.0,1448.0,1303.375
Yearling Steer,330-400,Restocker,C,2,7,-70,310.0,354.0,347.7142857142857,-50.3,596.2,680.8,668.7,1178.0,1274.4,1260.628627232143
Yearling Steer,400+,Feeder,C,2,94,40,320.0,365.0,356.3085106382979,-24.3,615.4,701.9,685.2,1312.0,1669.8,1557.197888962766
Yearling Steer,400+,Feeder,C,3,6,-4,320.0,336.0,325.3333333333333,-45.1,592.6,622.2,602.5,1377.6,1536.0,1451.1999918619792
Yearling Heifer,200-280,Restocker,C,2,16,-6,254.2,292.0,283.7874984741211,-62.9,479.6,561.5,538.1,660.9,754.0,723.2474975585938
Yearling Heifer,200-280,Restocker,D,2,35,-11,256.0,294.0,277.48571428571427,-33.9,512.0,588.0,555.0,576.0,705.6,650.3714285714286
Yearling Heifer,280-330,Restocker,C,2,38,-1,270.0,292.0,286.05263157894734,-48.7,519.2,561.5,547.1,810.0,924.0,879.8157894736842
Yearling Heifer,330-400,Feeder,C,2,12,-44,290.0,290.0,290,-53.7,557.7,557.7,557.7,986.0,986.0,986
Yearling Heifer,330-400,Feeder,D,2,4,NQ,286.0,286.0,286,NQ,572.0,572.0,572.0,1058.2,1058.2,1058.199951171875
