Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Leongatha
Report Date: 01/04/2025
Comparison Date: 25/03/2025
Total Yarding: 2869 (+81)
Commentary
"There were approximately 2470 export and 400 young cattle penned representing an increase of 80 head week-on-week. All of the regular export and domestic orders were active and competing in a dearer market. Quality was mixed with plenty of manufacturing steers in the grown and more finish in the trade cattle. Most trade cattle sold 10c to 30c/kg dearer with some isolated sales even higher. Grown steers and bullocks gained 10c to 20c/kg. Heavy Grown heifers showing good finish improved 20c/kg. Manufacturing steers lifted 20c to 30c/kg. Cows kicked 20c to 30c and up to 45c/kg in places. Heavy bulls gained 5c/kg. 

Vealers sold from 340c to 434c/kg. Yearling trade steers made between 350c and 401c/kg. Yearling heifers to the trade sold between 348c and 398c after a top of 430c/kg. Grown steers made from 374c to 420c/kg. Bullocks sold from 385c to 425c/kg. Heavy grown heifers made between 355c and 392c/kg. 

Heavy Friesian manufacturing steers sold between 285c and 377c with the crossbred portion between 345c and 408c/kg. Most light and medium weight cows made from 246c to 314c/kg. Heavy weight cows sold mostly from 282c to 360c/kg. Heavy bulls made between 310c and 365c/kg. 

Market reporter: Brendan Fletcher."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Heifer,400+,Processor,D,4,4,3,330.0,352.0,346,20.0,611.1,651.9,640.7,1518.0,1584.0,1556.5
Yearling Heifer,400+,Restocker,D,2,11,NC,335.0,352.0,342.72727272727275,6.0,644.2,676.9,659.1,1474.0,1672.0,1564
Vealer Steer,330+,Feeder,C,2,3,NC,340.0,352.0,344,-6.0,618.2,640.0,625.5,1190.0,1320.0,1233.3333333333333
Vealer Steer,330+,Processor,B,2,2,NQ,395.0,395.0,395,NQ,693.0,693.0,693.0,1422.0,1422.0,1422
Vealer Steer,330+,Processor,B,3,6,5,400.0,434.0,414,26.0,689.7,724.1,705.5,1500.0,1634.0,1559.5833333333333
Vealer Steer,330+,Processor,C,3,3,-9,360.0,414.0,384.6666666666667,2.0,654.5,739.3,690.8,1332.0,1656.0,1471
Vealer Steer,330+,Restocker,C,2,5,NQ,300.0,330.0,324,NQ,545.5,600.0,589.1,1050.0,1155.0,1134
Vealer Heifer,280-330,Processor,D,2,7,NQ,310.0,310.0,310,NQ,574.1,574.1,574.1,1007.5,1007.5,1007.5
Vealer Heifer,330+,Processor,B,2,2,NQ,390.0,420.0,405,NQ,672.4,700.0,686.2,1482.0,1680.0,1581
Vealer Heifer,330+,Processor,C,3,13,5,386.0,396.0,392,16.6,689.3,707.1,700.0,1365.0,1450.4,1439.7923490084136
Manufacturing Steer,0-540,Dairy,D,1,5,NQ,290.0,290.0,290,NQ,630.4,630.4,630.4,1276.0,1276.0,1276
