Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Gunnedah
Report Date: 04/02/2025
Comparison Date: 28/01/2025
Total Yarding: 2590 (+240)
Commentary
"There was a small increase in numbers following the short week. Yearlings were well supplied. Apart from cows there were limited numbers of export cattle. The quality and condition of the offering varied with some of the young cattle looking to have slipped in the heat and deteriorating seasonal conditions. Not all processors participated and some of the feeder orders were subdued.

Restockers were active on the good quality light weight young cattle with the  better quality vealers to restock selling to a slightly dearer trend. Medium and heavy weight yearling steers to restock and feed improved slightly. The price gap between breeds minimal on the good quality lots, particularly the heavier weight feeders. Demand for heifer yearlings to restock and feed was weaker throughout. This resulted in cheaper trends with significant falls in places, more so on the secondary lots.

The weaker processor demand for export cattle resulted in the well finished heavy grown steers selling to cheaper trends. Those trends carried into the grown heifers. There were quality related price variations in some cow classes, most noticeable on the plainer condition lots to process. Overall however the trend was slightly cheaper, up to 13c on the well finished heavy weights. Heavy bulls were as much as 14c/kg cheaper on an improved quality offering."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Steer,500-600,Processor,C,2,14,NQ,318.0,318.0,318,NQ,588.9,588.9,588.9,1653.6,1653.6,1653.6000279017858
Grown Steer,500-600,Processor,C,3,9,7,306.0,325.0,314.8888888888889,-5.1,566.7,601.9,583.1,1713.6,1767.0,1737.933322482639
Grown Steer,500-600,Processor,C,4,1,NQ,338.0,338.0,338,NQ,625.9,625.9,625.9,1926.6,1926.6,1926.5999755859375
Grown Steer,600-750,Processor,C,3,3,NQ,326.0,335.0,332,NQ,603.7,620.4,614.8,2294.8,2347.2,2312.2333170572915
Grown Steer,600-750,Processor,C,4,12,11,346.0,354.0,348,2.0,640.7,655.6,644.4,2179.8,2655.0,2298.60009765625
Grown Heifer,0-540,Feeder,C,2,20,8,285.0,295.0,289,-17.7,567.3,570.0,568.9,1026.0,1327.5,1146.6
Grown Heifer,0-540,Feeder,C,3,15,6,290.0,332.0,320.4,-2.9,557.7,638.5,616.2,1334.0,1726.4,1595.5633463541667
Grown Heifer,0-540,Processor,C,3,16,14,280.0,318.0,293,-12.0,538.5,600.0,560.6,1367.7,1701.3,1494.7375030517578
Grown Heifer,0-540,Processor,C,4,1,NQ,285.0,285.0,285,NQ,548.1,548.1,548.1,1539.0,1539.0,1539
Grown Heifer,540+,Processor,C,4,10,4,285.0,300.0,294,-29.0,547.2,576.9,562.2,1595.0,1860.0,1750.5
