Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Forbes
Report Date: 07/04/2025
Comparison Date: 31/03/2025
Total Yarding: 2121 (+870)
Commentary
"Numbers lifted this sale with agents yarding 2121 head. Quality was mixed with a good offering of well bred cattle along with a large percentage of secondary types. The usual buyers were present and competing in a mostly dearer market. 

Yearling steers were 10 to 15c/kg better with feeders paying from 340 to 457c/kg for middle and heavyweights. Those to processors ranged in price from 300 to 396c/kg. The heifer portion was also dearer on an improved offering. Feeders paid from 334 to 370c with those to processors receiving from 290 to 374c/kg. 

Heavy steers and bullocks reached 386c/kg. Grown heifers sold from 305 to 368c/kg. An increased yarding of cows saw prices slip 15 to 20c/kg. Heavy 2 score sold from 276 to 320c with 3 score ranging from 290 to 336c/kg. The best heavy bull reached 330c/kg."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Restocker,C,2,7,NQ,450.2,450.2,450.2000209263393,NQ,833.7,833.7,833.7,900.4,900.4,900.4000418526786
Yearling Steer,200-280,Restocker,C,2,11,7,373.2,430.0,397.8545476740057,17.7,691.1,796.3,736.8,895.7,1204.0,1023.0327259410511
Yearling Steer,330-400,Feeder,C,2,195,177,340.0,457.6,382.7948725773738,16.5,629.6,847.4,708.9,1224.0,1693.1,1472.1873028094951
Yearling Steer,330-400,Feeder,C,3,56,19,354.0,425.8,419.2642735072545,10.2,655.6,788.5,776.4,1416.0,1660.6,1642.2264578683037
Yearling Steer,330-400,Processor,C,3,2,1,360.0,396.2,378.1000061035156,43.1,666.7,733.7,700.2,1332.0,1386.7,1359.3499755859375
Yearling Steer,330-400,Restocker,C,2,5,-8,337.2,337.2,337.2,-44.2,624.4,624.4,624.4,1146.5,1146.5,1146.480078125
Yearling Steer,400+,Feeder,C,2,178,87,350.0,424.2,396.3662973468223,24.2,648.1,785.6,734.0,1468.6,1826.0,1697.7749462341994
Yearling Steer,400+,Feeder,C,3,59,-97,403.2,423.2,419.31526003045553,20.3,746.7,783.7,776.5,1653.1,1909.9,1826.5498626191738
Yearling Steer,400+,Processor,C,2,4,NQ,300.2,315.0,307.6000061035156,NQ,555.9,583.3,569.6,1417.5,1441.0,1429.22998046875
Yearling Steer,400+,Processor,C,3,40,18,340.0,387.2,371.1800003051758,-2.6,629.6,717.0,687.4,1642.5,1961.0,1764.2170013427735
Yearling Heifer,0-200,Restocker,C,2,8,NQ,330.0,330.0,330,NQ,611.1,611.1,611.1,660.0,660.0,660
Yearling Heifer,200-280,Processor,C,3,5,NQ,320.0,326.2,324.960009765625,NQ,592.6,604.1,601.8,717.6,832.0,740.51201171875
Yearling Heifer,200-280,Restocker,C,2,4,-2,320.0,320.0,320,15.7,592.6,592.6,592.6,896.0,896.0,896
Yearling Heifer,200-280,Restocker,C,3,2,NQ,340.0,340.0,340,NQ,629.6,629.6,629.6,918.0,918.0,918
