Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Gunnedah
Report Date: 20/08/2024
Comparison Date: 13/08/2024
Total Yarding: 1450 (-650)
Commentary
"The numbers fell by about one third with wet weather and Ag-Quip the probable contributing factors. The offering consisted of very good lines of high quality well presented young cattle suitable to restocker and feedlot orders along with a few well finished grown steers. Cows and grown heifers were also well supplied. There was less export processor attendance while not all regular restocker and feedlot orders were in place.

The promise of excellent seasonal conditions going forward boosted confidence form restockers and resulted in the light and medium weight yearling steers selling to dearer trend with significant improvement on the lighter end. The heavy weight feeder steers recovered all of last weeks losses to record a dearer trend while there was some quality related price change. That was also the case on the heavyweight trade steers where the trend was firm to dearer. Good lines of high quality yearling heifers attracted strong competition from restockers and feedlots, this contributing to substantial price gains on an otherwise much dearer trend.

The few well finished heavy grown steers sold to a slightly dearer trend while a drop in quality contributed to negative price change. Well finished grown heifers were also keenly sought by the reduced field of processors. Despite the buying gallery being reduced the demand for cows was very strong with the medium and secondary quality cows showing the greatest improvement. The well finished heavyweight cows were as much as 10c/kg dearer."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,38,12,346.0,470.0,405.89473684210526,7.0,665.4,903.8,780.6,743.9,1081.0,944.0026341488486
Yearling Steer,280-330,Restocker,C,2,52,-30,358.0,430.0,408.7692307692308,15.4,688.5,826.9,786.1,1020.3,1376.0,1274.7173109788162
Yearling Steer,330-400,Feeder,C,2,60,-35,348.0,402.0,378.76666666666665,-4.3,669.2,773.1,728.4,1183.2,1587.9,1442.7666666666667
Yearling Steer,330-400,Feeder,C,3,4,NQ,362.0,362.0,362,NQ,670.4,670.4,670.4,1267.0,1267.0,1267
Yearling Steer,330-400,Processor,C,3,6,NQ,390.0,410.0,406.6666666666667,NQ,735.8,759.3,755.4,1365.0,1517.0,1491.6666666666667
Yearling Steer,330-400,Restocker,C,2,159,65,380.0,434.0,417.0691823899371,24.1,730.8,834.6,801.0,1283.1,1670.9,1501.387451939613
Yearling Steer,400+,Feeder,C,2,148,41,370.0,413.0,394.7364864864865,19.1,711.5,794.2,759.1,1533.4,1817.2,1664.5959522144215
Yearling Steer,400+,Feeder,C,3,36,10,365.0,400.0,384.55555555555554,2.1,675.9,740.7,712.1,1569.5,1840.0,1744.08056640625
Yearling Steer,400+,Processor,C,3,52,-2,346.0,416.0,398.34615384615387,10.3,640.7,770.4,737.7,1522.4,1961.0,1750.8577153132512
Yearling Heifer,200-280,Restocker,C,2,5,-27,332.0,332.0,332,29.4,638.5,638.5,638.5,913.0,913.0,913
Yearling Heifer,200-280,Restocker,D,2,29,NQ,290.0,310.0,301.3103448275862,NQ,580.0,620.0,602.6,694.6,806.0,746.2896518049569
