Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Warwick
Report Date: 28/01/2025
Comparison Date: 21/01/2025
Total Yarding: 1427 (-676)
Commentary
"Warwick agents penned 1,427 cattle down by 676 head. All the regular buyers attended and operated on a softer market across all classes with grown steers back 30c/kg cows eased from 4c to 14c/kg heavy feeder steers back by 33c/kg and domestic feeders reduced from 28c to 33c/kg with the better quality lines of restocker yearlings the least effected.

Light weight yearling steers to restockers made 399c to average 340c with those over 280kg at 400c to average 365c/kg. Yearling steers to feed for the domestic market made 376c with restockers paying 396c to average 374c/kg. Heavy yearling steers to feed sold to 350c and averaged from 335c to 338c/kg. Light weight yearling heifers to background made 320c to average 283c/kg. Yearling heifers to feed for the domestic market sold to 366c and averaged 320c/kg. Heavy yearling heifers to the wholesale meat trade made 382c to average 333c/kg.

Grown steers to processors made 345c to average 328c/kg. Grown heifers to processors sold to 336c/kg. Light weight cows to processors made 268c to average 239c/kg. Good heavy score 3 cows to processors sold to 287c with the best cows topping at 293c to average 285c/kg. Light weight bulls to restockers made 340c to average 308c/kg. Heavy bulls to processors made 297c to average 282c/kg.

Market Reporter Errol Luck."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Heifer,400+,Processor,C,3,28,-49,290.0,382.0,332.57142857142856,-28.2,537.0,707.4,615.9,1232.5,1738.1,1453.3071463448662
Yearling Heifer,400+,Restocker,C,2,2,-3,330.0,330.0,330,30.0,611.1,611.1,611.1,1402.5,1402.5,1402.5
Vealer Heifer,200-280,Processor,C,2,2,NQ,300.0,300.0,300,NQ,555.6,555.6,555.6,630.0,630.0,630
Manufacturing Steer,0-540,Processor,C,2,1,NQ,240.0,240.0,240,NQ,444.4,444.4,444.4,1226.4,1226.4,1226.4000244140625
Manufacturing Steer,540+,Processor,C,3,1,-9,271.0,271.0,271,-52.4,501.9,501.9,501.9,1512.2,1512.2,1512.1800537109375
Grown Steer,400-500,Feeder,C,2,1,-7,270.0,270.0,270,-60.0,500.0,500.0,500.0,1228.5,1228.5,1228.5
Grown Steer,400-500,Processor,C,3,2,NQ,240.0,240.0,240,NQ,444.4,444.4,444.4,1092.0,1092.0,1092
Grown Steer,500-600,Processor,C,2,11,8,246.0,308.0,268.6363636363636,-22.4,455.6,570.4,497.5,1257.1,1573.9,1372.731855912642
Grown Steer,500-600,Processor,C,3,22,-9,286.0,345.0,327.45454545454544,-32.7,529.6,638.9,606.4,1461.5,1889.6,1756.2200039950285
Grown Steer,500-600,Restocker,C,2,1,NQ,300.0,300.0,300,NQ,555.6,555.6,555.6,1533.0,1533.0,1533
Grown Steer,600-750,Processor,C,3,1,-23,308.0,308.0,308,-53.8,570.4,570.4,570.4,1894.2,1894.2,1894.199951171875
