Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: TRLX Tamworth
Report Date: 10/03/2025
Comparison Date: 03/03/2025
Total Yarding: 1210 (-1246)
Commentary
"The forecast of a large cyclonic rain event had a marked effect on numbers despite said event not yet eventuating. Those numbers reducing by more than half. The quality of the offering was very mixed and was reflected in price change, particularly in the young cattle. The usual buyers were in attendance however not all regular Queensland processors participated.

In the young cattle market the lightweight steers to restockers were much cheaper with breed and quality accounting for much of the price change. Medium weight steers to restock and feed were also affected by quality and breed with trends firm to slightly cheaper. The heavy weight feeder steers sold on a firm market trend. Good quality medium and heavy weight yearling heifers to feed were well sought after and sold on a firm to slightly dearer trend while the lessor quality heifers remained unchanged.

Heavy grown steers to process were keenly sought and sold to dearer trend. The supply not enough to satisfy demand. The same to be said in the cow market where trends were dearer for all but the plainest light and medium weights. Isolated sales of the better heavy weight cows recovering much of last weeks losses."
Yearling Heifer,330-400,Processor,C,3,1,NQ,320.0,320.0,320,NQ,615.4,615.4,615.4,1088.0,1088.0,1088
Yearling Heifer,330-400,Processor,D,3,3,NQ,240.0,240.0,240,NQ,470.6,470.6,470.6,912.0,912.0,912
Yearling Heifer,330-400,Restocker,C,2,1,-13,290.0,290.0,290,-19.6,557.7,557.7,557.7,1044.0,1044.0,1044
Yearling Heifer,330-400,Restocker,D,2,4,NQ,286.0,286.0,286,NQ,572.0,572.0,572.0,972.4,972.4,972.4000244140625
Yearling Heifer,400+,Feeder,C,2,10,-36,328.0,334.0,330.4,7.5,630.8,642.3,635.4,1344.8,1369.4,1354.6400390625
Yearling Heifer,400+,Feeder,C,3,46,NQ,310.0,356.0,339.0217391304348,NQ,596.2,684.6,651.5,1302.0,1608.9,1464.7815153702445
Yearling Heifer,400+,Processor,C,2,3,NQ,292.0,292.0,292,NQ,561.5,561.5,561.5,1197.2,1197.2,1197.199951171875
Yearling Heifer,400+,Processor,C,3,11,10,290.0,338.0,313.8181818181818,-10.2,557.7,637.7,597.1,1189.0,1487.2,1368.018144087358
Yearling Heifer,400+,Restocker,C,3,2,-3,320.0,320.0,320,8.0,615.4,615.4,615.4,1408.0,1408.0,1408
Vealer Steer,0-200,Restocker,C,1,6,NQ,305.0,395.0,365,NQ,586.5,759.6,701.9,427.0,592.5,537.3333333333334
Vealer Steer,0-200,Restocker,C,2,33,NQ,386.0,408.0,396,NQ,742.3,784.6,761.5,693.6,694.8,694.2545276988636
Vealer Steer,200-280,Feeder,C,2,15,-6,384.0,384.0,384,-56.0,738.5,738.5,738.5,1036.8,1036.8,1036.8000651041666
Vealer Steer,200-280,Restocker,C,2,33,6,388.0,400.0,391.27272727272725,18.5,746.2,769.2,752.4,840.0,931.2,906.3272964015151
Vealer Steer,280-330,Restocker,C,2,4,NQ,370.0,370.0,370,NQ,711.5,711.5,711.5,1054.5,1054.5,1054.5
Vealer Steer,330+,Feeder,C,2,9,NQ,358.0,380.0,377.55555555555554,NQ,688.5,730.8,726.1,1217.2,1292.0,1283.6888834635417
Vealer Heifer,0-200,Processor,C,2,3,NQ,320.0,320.0,320,NQ,615.4,615.4,615.4,528.0,528.0,528
Vealer Heifer,0-200,Restocker,C,1,18,NQ,385.0,385.0,385,NQ,740.4,740.4,740.4,539.0,539.0,539
Vealer Heifer,0-200,Restocker,C,2,29,NQ,332.0,332.0,332,NQ,638.5,638.5,638.5,547.8,547.8,547.7999898976293
Vealer Heifer,200-280,Feeder,C,2,9,7,344.0,344.0,344,-8.0,661.5,661.5,661.5,946.0,946.0,946
Vealer Heifer,200-280,Processor,C,2,6,1,310.0,310.0,310,18.0,596.2,596.2,596.2,837.0,837.0,837
Vealer Heifer,200-280,Restocker,C,2,45,35,310.0,330.0,317.1111111111111,73.1,596.2,634.6,609.8,690.8,784.0,749.8
Vealer Heifer,280-330,Processor,C,3,5,NQ,330.0,360.0,342,NQ,622.6,679.2,650.1,1056.0,1152.0,1107.6
Vealer Heifer,280-330,Restocker,C,2,8,NQ,300.0,320.0,317.5,NQ,576.9,615.4,610.6,930.0,1024.0,1012.25
Manufacturing Steer,0-540,Processor,C,2,2,NQ,252.0,252.0,252,NQ,484.6,484.6,484.6,932.4,932.4,932.4000244140625
Manufacturing Steer,540+,Processor,C,3,4,NQ,310.0,310.0,310,NQ,574.1,574.1,574.1,1953.0,1953.0,1953
Grown Steer,400-500,Feeder,C,3,3,NQ,316.0,345.0,335.3333333333333,NQ,585.2,638.9,621.0,1501.0,1673.3,1615.8333333333333
Grown Steer,400-500,Processor,C,3,2,1,320.0,320.0,320,60.0,592.6,592.6,592.6,1600.0,1600.0,1600
Grown Steer,500-600,Feeder,C,3,1,NQ,348.0,348.0,348,NQ,644.4,644.4,644.4,1809.6,1809.6,1809.5999755859375
Grown Steer,500-600,Processor,C,3,47,NQ,300.0,354.0,340.0851063829787,NQ,555.6,655.6,629.8,1620.0,2018.4,1884.7085064827127
Grown Steer,600-750,Processor,C,3,1,-1,330.0,330.0,330,20.0,611.1,611.1,611.1,2079.0,2079.0,2079
Grown Heifer,0-540,Feeder,C,2,8,3,288.0,336.0,324,52.6,553.8,646.2,623.1,1368.0,1428.0,1413
Grown Heifer,0-540,Processor,C,3,6,4,303.0,310.0,306.1666666666667,8.2,571.7,584.9,577.7,1545.0,1643.0,1576.63330078125
Grown Heifer,0-540,Processor,D,2,1,NQ,220.0,220.0,220,NQ,440.0,440.0,440.0,968.0,968.0,968
Grown Heifer,0-540,Processor,D,3,4,NQ,270.0,290.0,285,NQ,529.4,568.6,558.8,1269.0,1406.5,1372.125
Grown Heifer,540+,Processor,C,3,1,-32,310.0,310.0,310,-19.9,584.9,584.9,584.9,1689.5,1689.5,1689.5
Grown Heifer,540+,Processor,C,4,1,-1,320.0,320.0,320,NC,603.8,603.8,603.8,1760.0,1760.0,1760
Cows,0-400,Processor,D,2,26,NQ,150.0,204.0,197.76923076923077,NQ,333.3,453.3,439.5,555.0,816.0,785.8846153846154
Cows,400-520,Processor,D,2,40,-5,180.0,255.0,226.6,17.2,400.0,542.6,498.7,810.0,1275.0,1026.8450073242188
Cows,400-520,Processor,D,3,23,NQ,240.0,275.0,268.2608695652174,NQ,510.6,552.1,546.3,1163.8,1430.0,1381.7173913043478
Cows,400-520,Restocker,D,2,6,5,208.0,208.0,208,28.0,462.2,462.2,462.2,915.2,915.2,915.2000325520834
Cows,520+,Processor,D,3,36,-71,256.0,283.0,269.77777777777777,12.9,533.3,589.6,557.2,1378.0,1839.5,1491.2138807508682
Cows,520+,Processor,D,4,59,-131,275.0,306.0,289.47457627118644,20.7,550.0,612.0,580.9,1595.0,2131.2,1858.986458471266
Cows,520+,Processor,D,5,3,NQ,279.0,288.0,285,NQ,581.3,600.0,593.8,1841.4,2102.4,2015.3999430338542
Calves,0-80,Restocker,D,1,4,NQ,295.0,295.0,295,NQ,567.3,567.3,567.3,221.3,221.3,221.25
Calves,80+,Processor,D,1,2,NQ,300.0,300.0,300,NQ,600.0,600.0,600.0,255.0,255.0,255
Calves,80+,Restocker,D,1,4,NQ,412.0,412.0,412,NQ,824.0,824.0,824.0,370.8,370.8,370.79998779296875
Bulls,0-450,Processor,C,2,2,NQ,300.0,300.0,300,NQ,576.9,576.9,576.9,855.0,855.0,855
Bulls,450-600,Processor,C,2,7,NQ,275.0,275.0,275,NQ,509.3,509.3,509.3,1292.5,1650.0,1445.7142857142858
Bulls,600+,Processor,B,2,2,-10,290.0,292.0,291,65.9,517.9,521.4,519.6,2336.0,2436.0,2386
Bulls,600+,Processor,B,3,2,-25,290.0,290.0,290,5.0,517.9,517.9,517.9,2610.0,2610.0,2610
Bulls,600+,Processor,C,2,15,NQ,260.0,285.0,275.2,NQ,481.5,527.8,509.6,1870.0,2337.0,2067.233333333333
