Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Muchea
Report Date: 13/01/2025
Comparison Date: 06/01/2025
Total Yarding: 740 (+116)
Commentary
"Although the yarding was still relatively low, today’s sale saw an increase in numbers with just over 700 head mostly due to more pastoral and ex pastoral cattle with around the same volume of local supplies. The usual buying group was in attendance along with several extra store buyers bidding selectively. Weaner heifers enjoyed a 15/20c lift in values while the remaining market held ground to recent gains.
Vealer steers in store condition and lacking frame size were again at conservative rates selling from 100c to 210c and with bigger frame and quicker turnover potential sold from 254c to 340c/kg.  The same categories for heifers saw Light vealer heifers starting at 50c to 190c and with better weight and frame lifted 20c selling from 200c to 280c/kg.  Yearling steers showing store condition sold from 120c to 264c and with more cover returned 270c to 314c/kg remaining firm. Lighter yearling heifers sold from 60c to 192c while better heifers sold to a top of 278c/kg also remaining equal.
Grown steer Prices were down however this was a reflection on a decrease in quality more than lower values selling from 220c to 268c while grown heifers lifted slightly making from 248c to 274c/kg. The cow market held recent gains with Store’s selling from 80c to 180c, medium cows to 216c and prime cows sold to a top of 238c/kg. 
Bulls returning to the paddock sold from 50c to 180c while shipping bulls made 180c to 308c and slaughter bulls returned 160c to 230c/kg.
 Terry Birkin MLA."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Vealer Steer,200-280,Feeder,C,3,4,NQ,332.0,332.0,332,NQ,603.6,603.6,603.6,909.7,909.7,909.6799926757812
Vealer Steer,200-280,Restocker,C,2,6,-3,146.0,300.0,204.33333333333334,17.9,292.0,566.0,391.9,297.8,768.0,506.0399983723958
Vealer Steer,200-280,Restocker,C,3,35,23,254.0,340.0,320.4,43.2,461.8,618.2,582.5,533.4,897.1,820.2611328125
Vealer Steer,280-330,Feeder,C,3,6,-17,320.0,338.0,335,16.5,581.8,614.5,609.1,1056.0,1101.9,1094.2333170572917
Vealer Steer,280-330,Restocker,C,2,7,NQ,282.0,292.0,284.85714285714283,NQ,532.1,550.9,537.5,838.0,874.2,863.8685651506696
Vealer Steer,280-330,Restocker,C,3,24,12,280.0,340.0,325.8333333333333,45.8,509.1,618.2,592.4,845.6,996.2,965.6100158691406
Vealer Steer,330+,Feeder,C,3,23,20,300.0,336.0,326.2608695652174,12.9,545.5,610.9,593.2,1026.0,1230.0,1100.4869225543478
Vealer Steer,330+,Processor,C,3,1,NQ,280.0,280.0,280,NQ,509.1,509.1,509.1,1030.4,1030.4,1030.4000244140625
Vealer Heifer,0-200,Pastoral Cattle,D,2,10,NQ,108.0,108.0,108,NQ,225.0,225.0,225.0,157.7,157.7,157.67999267578125
Vealer Heifer,0-200,Processor,C,3,1,NQ,220.0,220.0,220,NQ,423.1,423.1,423.1,424.6,424.6,424.6000061035156
Vealer Heifer,0-200,Restocker,C,2,3,1,80.0,128.0,112,32.0,166.7,266.7,233.3,154.4,233.0,206.7733357747396
Vealer Heifer,200-280,Feeder,C,3,3,-1,230.0,270.0,256.6666666666667,-1.3,442.3,519.2,493.6,621.0,747.9,705.6000162760416
Vealer Heifer,200-280,Processor,C,3,3,NQ,248.0,248.0,248,NQ,476.9,476.9,476.9,597.7,597.7,597.6800130208334
Vealer Heifer,200-280,Restocker,C,2,9,2,150.0,190.0,177.55555555555554,85.6,300.0,380.0,355.1,345.0,464.8,416.4910956488715
Vealer Heifer,200-280,Restocker,C,3,34,13,150.0,278.0,261.70588235294116,27.9,300.0,534.6,503.6,360.0,767.3,680.0664780560662
Vealer Heifer,280-330,Feeder,C,3,30,NQ,230.0,280.0,266.5,NQ,442.3,538.5,512.5,662.4,910.0,838.6583333333333
Vealer Heifer,280-330,Processor,C,3,1,NQ,200.0,200.0,200,NQ,384.6,384.6,384.6,636.0,636.0,636
Vealer Heifer,280-330,Restocker,C,3,8,-9,250.0,272.0,269.25,52.8,480.8,523.1,517.8,725.0,797.0,787.9650268554688
Grown Steer,0-400,Pastoral Cattle,D,3,1,NQ,220.0,220.0,220,NQ,415.1,415.1,415.1,787.6,787.6,787.5999755859375
Grown Steer,400-500,Feeder,C,2,1,NQ,238.0,238.0,238,NQ,449.1,449.1,449.1,1137.6,1137.6,1137.6400146484375
Grown Steer,400-500,Feeder,C,3,3,NQ,260.0,268.0,265.3333333333333,NQ,472.7,487.3,482.4,1149.2,1321.2,1263.893310546875
Grown Steer,400-500,Pastoral Cattle,D,3,1,NQ,258.0,258.0,258,NQ,486.8,486.8,486.8,1279.7,1279.7,1279.6800537109375
Grown Steer,400-500,Processor,D,3,11,NQ,236.0,256.0,248.36363636363637,NQ,445.3,483.0,468.6,1034.4,1251.8,1157.6581920276988
Grown Steer,500-600,Feeder,C,3,3,2,268.0,268.0,268,NC,487.3,487.3,487.3,1401.6,1401.6,1401.6399739583333
Grown Steer,500-600,Processor,C,3,1,-2,262.0,262.0,262,8.7,476.4,476.4,476.4,1446.2,1446.2,1446.239990234375
Grown Steer,500-600,Processor,D,3,3,NQ,268.0,268.0,268,NQ,505.7,505.7,505.7,1452.6,1452.6,1452.56005859375
Grown Steer,600-750,Processor,C,3,1,-6,268.0,268.0,268,2.6,487.3,487.3,487.3,1854.6,1854.6,1854.56005859375
Grown Heifer,0-540,Feeder,C,2,3,NQ,266.0,266.0,266,NQ,532.0,532.0,532.0,1231.6,1231.6,1231.5799153645833
Grown Heifer,0-540,Processor,C,3,9,5,266.0,274.0,272.22222222222223,42.2,511.5,526.9,523.5,1372.6,1438.5,1423.8466796875
Grown Heifer,540+,Processor,C,3,1,-3,248.0,248.0,248,17.0,476.9,476.9,476.9,1597.1,1597.1,1597.1199951171875
Cows,0-400,Feeder,D,2,3,-32,80.0,100.0,93.33333333333333,-72.7,166.7,217.4,200.5,313.6,336.0,328.53333536783856
Cows,0-400,Feeder,D,3,11,NQ,190.0,198.0,193.63636363636363,NQ,395.8,412.5,403.4,708.7,754.4,729.4636452414773
Cows,0-400,Pastoral Cattle,D,2,8,NQ,100.0,100.0,100,NQ,217.4,217.4,217.4,312.0,316.0,314.5
Cows,0-400,Processor,D,2,4,2,80.0,120.0,100,20.0,173.9,260.9,217.4,300.8,457.2,379
Cows,400-520,Feeder,D,2,23,-2,80.0,204.0,180.95652173913044,-4.6,173.9,425.0,378.3,380.0,1056.7,904.3130333941916
Cows,400-520,Feeder,D,3,2,NC,198.0,198.0,198,6.0,396.0,396.0,396.0,867.2,867.2,867.239990234375
Cows,400-520,Live Export,D,3,11,NQ,216.0,228.0,223.63636363636363,NQ,432.0,456.0,447.3,939.4,1062.7,984.2181729403409
Cows,400-520,Processor,D,2,1,-6,80.0,80.0,80,-108.0,173.9,173.9,173.9,363.2,363.2,363.20001220703125
Cows,400-520,Processor,D,3,14,4,180.0,225.0,197.92857142857142,-6.5,375.0,450.0,401.3,806.4,1156.5,969.827130998884
Cows,520+,Feeder,D,2,11,NQ,180.0,208.0,198.54545454545453,NQ,375.0,433.3,410.6,968.4,1190.0,1098.7963423295455
Cows,520+,Feeder,D,3,3,NQ,208.0,208.0,208,NQ,416.0,416.0,416.0,1241.8,1241.8,1241.760009765625
Cows,520+,Processor,D,2,1,NC,200.0,200.0,200,16.0,416.7,416.7,416.7,1108.0,1108.0,1108
Cows,520+,Processor,D,3,103,-7,175.0,238.0,221.873786407767,-1.5,350.0,476.0,444.7,970.9,1944.8,1409.7235036312954
Bulls,0-450,Live Export,C,3,4,-13,280.0,288.0,284,6.0,509.1,523.6,516.4,835.2,901.6,868.3999938964844
Bulls,0-450,Live Export,D,3,11,NQ,224.0,248.0,233.45454545454547,NQ,422.6,467.9,440.5,714.6,967.2,809.781815962358
Bulls,0-450,Processor,C,3,6,NQ,220.0,220.0,220,NQ,400.0,400.0,400.0,778.8,778.8,778.7999674479166
Bulls,0-450,Processor,D,2,1,NQ,100.0,100.0,100,NQ,192.3,192.3,192.3,412.0,412.0,412
Bulls,0-450,Processor,D,3,8,NQ,228.0,228.0,228,NQ,430.2,430.2,430.2,923.4,923.4,923.4000244140625
Bulls,0-450,Restocker,C,2,4,-7,50.0,180.0,87.5,-10.3,96.2,339.6,166.6,88.5,295.2,144.65000343322754
Bulls,0-450,Restocker,C,3,6,NQ,160.0,308.0,283.3333333333333,NQ,290.9,560.0,515.2,297.6,813.1,727.2000172932943
Bulls,450-600,Live Export,C,3,3,-5,222.0,222.0,222,14.5,403.6,403.6,403.6,1125.5,1125.5,1125.5400390625
Bulls,450-600,Live Export,D,3,4,NQ,190.0,200.0,192.5,NQ,358.5,377.4,363.2,972.8,1152.0,1017.5999755859375
Bulls,450-600,Processor,C,3,1,-2,246.0,246.0,246,51.3,447.3,447.3,447.3,1141.4,1141.4,1141.43994140625
Bulls,450-600,Processor,D,3,1,NQ,198.0,198.0,198,NQ,373.6,373.6,373.6,1096.9,1096.9,1096.9200439453125
Bulls,600+,Processor,C,3,10,3,160.0,230.0,211.8,12.1,290.9,418.2,385.1,1090.8,2298.2,1968.184033203125
