Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: TRLX Tamworth
Report Date: 08/07/2024
Comparison Date: 01/07/2024
Total Yarding: 1948 (+848)
Commentary
"Tamworth offered 1948 mixed cattle which included an increase in the cow penning. The usual buyers attended plus an extra cow buyer. This resulted in much dearer trends for the cow product. Apart from the odd sale of plainer cattle being cheaper the trends for most other categories sold to a dearer market for feeders and backgrounders alike.

Sales for weaner steers were much dearer restockers paying up to 400c/kg with similar interest for the heifer drafts 273c to 314c/kg. Sales for light yearling feeder steers were considerably dearer however light background categories lost ground to be much cheaper selling to 262c/kg. A large portion of the medium weight steers gained 8c/kg while a similar number of backgrounders slipped substantially 320c to 360c/kg. Heavy yearling steers to feed on sold to 20c/kg dearer while processors pushed heavy steers to 366c/kg. Light background heifers were significantly dearer and the medium weights to feed improved 8c/kg. A draft of PTIC heifers sold 286c to 320c/kg.

Heavy grown steers were much dearer as were the heifers up 8c/kg ranging 263c to 310c/kg. The cow market very strong with medium cows 170c to 239c/kg. The heavy cows over 40c/kg dearer in places 249c to 280c/kg. The best bulls also dearer up to 23c/kg.

Stephen Adams MLA"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Steer,500-600,Processor,C,3,1,-4,274.0,274.0,274,-51.0,507.4,507.4,507.4,1479.6,1479.6,1479.5999755859375
Grown Steer,600-750,Processor,C,3,2,1,288.0,288.0,288,8.0,533.3,533.3,533.3,1958.4,1958.4,1958.4000244140625
Grown Steer,600-750,Processor,C,4,1,NQ,295.0,295.0,295,NQ,567.3,567.3,567.3,1917.5,1917.5,1917.5
Grown Steer,750+,Processor,C,4,1,NQ,282.0,282.0,282,NQ,522.2,522.2,522.2,2538.0,2538.0,2538
Grown Heifer,0-540,Feeder,C,2,3,NC,226.0,226.0,226,-94.0,426.4,426.4,426.4,813.6,813.6,813.5999348958334
Grown Heifer,0-540,Processor,C,2,9,7,225.0,275.0,251.11111111111111,-33.9,424.5,518.9,473.8,810.0,1485.0,1046.3333333333333
Grown Heifer,0-540,Processor,C,3,9,-21,275.0,275.0,275,-2.3,528.8,528.8,528.8,1375.0,1375.0,1375
Grown Heifer,540+,Feeder,C,2,9,NQ,220.0,270.0,264.44444444444446,NQ,423.1,509.4,499.8,1210.0,1620.0,1574.4444444444443
Grown Heifer,540+,Feeder,C,3,8,NQ,280.0,280.0,280,NQ,538.5,538.5,538.5,1568.0,1568.0,1568
Grown Heifer,540+,Processor,C,3,28,25,263.0,310.0,275.57142857142856,-12.4,505.8,596.2,529.9,1534.5,2046.0,1691.028573172433
Cows,0-400,Processor,D,2,12,NQ,165.0,165.0,165,NQ,366.7,366.7,366.7,627.0,627.0,627
Cows,400-520,Processor,D,2,94,58,170.0,237.0,207.68085106382978,13.2,369.6,515.2,452.0,850.0,1232.4,1032.6212911402924
Cows,400-520,Processor,D,3,27,-48,212.0,259.0,236,1.2,441.7,539.6,491.7,1102.4,1258.4,1187.3777850115741
Cows,400-520,Processor,E,2,1,NQ,155.0,155.0,155,NQ,337.0,337.0,337.0,713.0,713.0,713
Cows,400-520,Restocker,D,2,5,-5,173.0,173.0,173,-16.0,376.1,376.1,376.1,795.8,795.8,795.8
Cows,520+,Processor,D,2,43,NQ,180.0,232.0,208.27906976744185,NQ,391.3,504.3,452.8,961.0,1299.2,1115.6186125999272
Cows,520+,Processor,D,3,179,171,210.0,261.0,241.2290502793296,7.0,437.5,543.8,503.9,1113.0,1592.5,1384.9011203190469
Cows,520+,Processor,D,4,179,102,249.0,280.0,261.7039106145251,5.4,498.0,560.0,523.4,1371.6,2032.5,1635.0972157057438
Bulls,0-450,Processor,B,2,1,NQ,170.0,170.0,170,NQ,314.8,314.8,314.8,646.0,646.0,646
Bulls,0-450,Restocker,C,2,8,NQ,218.0,270.0,244,NQ,403.7,500.0,451.9,719.4,945.0,832.2000122070312
Bulls,450-600,Processor,B,2,2,NQ,185.0,228.0,206.5,NQ,342.6,393.1,367.8,1110.0,1276.8,1193.4000244140625
Bulls,600+,Processor,B,2,5,NC,198.0,252.0,220,-6.0,341.4,434.5,376.6,1643.4,2167.2,1862.6800048828125
Bulls,600+,Processor,B,3,19,NQ,190.0,260.0,235.78947368421052,NQ,316.7,433.3,393.6,1596.0,2375.0,2118.8526161595396
Bulls,600+,Restocker,B,3,1,NQ,250.0,250.0,250,NQ,416.7,416.7,416.7,2150.0,2150.0,2150
