Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Moss Vale
Report Date: 19/02/2025
Comparison Date: 12/02/2025
Total Yarding: 1908 (+1140)
Commentary
"High yielding yearling steers reaching 457c, and cows up to 30c/kg dearer, were the highlights of the 1900 mostly good quality cattle, an increase of 1140. There were some good pens of feeder steers, along with some good runs of yearling heifers and some outstanding lines of weaner heifers..There was an increased number of grown cattle and 375 cows. All the usual buyers, with the return of a Southern buyer, resulted in another strong market.

Yearlings to suit the trade lifted 5c, selling from 295c to 457c/kg. Feeder steers were also 5c better, making from 295c to 370c,/kg. Medium weight yearling heifers to feed were up to 8c dearer, averaging 324c, and those returning to the paddock reached 352c/kg. Lightweight weaners suiting the restockers continue to attract strong competition, with the steers ranging from 295c to 480c, and the heifers ranged from 242c to 418c/kg.

Heavy grown cattle were firm to a few cents dearer, with the steers selling from 295c to 350c, and the heifers made from 282c to 330c/kg. Cows were up to 30c dearer, with the 3 scores reaching 315c, and heavy 4 scores made from 298c to 334c/kg. Heavy bulls to process lifted 4c, topping at 316c/kg.
David Kent Market Reporter"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Vealer Steer,330+,Restocker,C,2,15,NQ,338.0,338.0,338,NQ,614.5,614.5,614.5,1402.7,1402.7,1402.7
Vealer Heifer,0-200,Restocker,C,2,19,1,300.0,418.0,393.1578947368421,14.0,576.9,788.7,744.1,405.0,522.5,497.7631578947368
Vealer Heifer,0-200,Restocker,D,2,6,NQ,242.0,285.0,263.5,NQ,456.6,537.7,497.2,447.7,555.8,501.7250162760417
Vealer Heifer,200-280,Processor,B,3,1,NQ,386.0,386.0,386,NQ,643.3,643.3,643.3,1061.5,1061.5,1061.5
Vealer Heifer,200-280,Restocker,C,2,88,48,265.0,380.0,353.4431818181818,40.0,490.7,692.6,646.1,622.8,969.0,901.6164883700284
Vealer Heifer,280-330,Processor,C,3,7,5,320.0,366.0,336,-16.0,581.8,631.0,598.0,957.0,1152.9,1041.6857212611608
Vealer Heifer,280-330,Restocker,C,2,88,70,280.0,405.0,373.5681818181818,68.8,518.5,736.4,679.3,840.0,1174.5,1109.1676025390625
Vealer Heifer,330+,Processor,C,3,2,NC,358.0,358.0,358,-17.0,639.3,639.3,639.3,1217.2,1217.2,1217.199951171875
Grown Steer,,Processor,C,3,4,NQ,325.0,325.0,325,NQ,601.9,601.9,601.9,3071.3,3071.3,3071.25
Grown Steer,400-500,Dairy,D,1,5,NQ,180.0,180.0,180,NQ,375.0,375.0,375.0,729.0,729.0,729
