Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: CQLX Gracemere
Report Date: 05/02/2025
Comparison Date: 29/01/2025
Total Yarding: 1248 (-2051)
Commentary
"Numbers at CQLX Gracemere Sale decreased following useful falls of rain in some coastal areas with 1248 head penned - some 2051 less than last week. Most cattle came from local areas to the west and coastal districts south to Miriamvale and included a draft from one recently sold property. Quality and condition varied as did the prices realised, however well presented lines sold at, or above last sale rates, despite some regular buyers not operating.

Light weight yearling steers sold to 445c/kg with well-bred pens averaging 408c/kg. Medium weight pens topped at 437c/kg to return averages from 367c to 428c/kg. Light weight yearling heifers averaged 237c to 321c/kg with the best making 355c/kg. Medium weight lines topped at 341c/kg, averaging 280c to 289c/kg for best-bred pens.

A few grown steers to processors sold from 314c to 349c/kg, whilst feeder weight pens. made from 325c to 354c/kg average. Trade weight grown heifers, well finished rose to a top price of 331c/kg, averaging 297c to 315c/kg.         

Processor cows made to 297c/kg, averaging 285c to 288c/kg - an improvement of 14 to 19c/kg on last sale. Heavy bulls to livex averaged 229c to 235c/kg. Cows and calves made $1,200 to $1,820 per unit.  Reporter: Richard Thomson"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Vealer Steer,0-200,Restocker,C,2,1,NQ,380.0,380.0,380,NQ,730.8,730.8,730.8,703.0,703.0,703
Vealer Steer,0-200,Restocker,D,2,2,1,350.0,350.0,350,55.0,673.1,673.1,673.1,612.5,612.5,612.5
Vealer Heifer,0-200,Processor,D,2,2,NC,240.0,240.0,240,-10.0,461.5,461.5,461.5,420.0,420.0,420
Vealer Heifer,0-200,Restocker,D,2,2,-11,251.0,251.0,251,-22.8,482.7,482.7,482.7,476.9,476.9,476.8999938964844
Grown Steer,0-400,Feeder,C,3,4,NQ,335.0,335.0,335,NQ,632.1,632.1,632.1,1306.5,1306.5,1306.5
Grown Steer,0-400,Processor,E,2,5,NQ,240.0,240.0,240,NQ,461.5,461.5,461.5,900.0,900.0,900
Grown Steer,0-400,Restocker,D,2,2,-61,339.0,339.0,339,-0.1,651.9,651.9,651.9,898.3,949.2,923.7749938964844
Grown Steer,400-500,Feeder,C,2,26,-28,317.0,335.0,325,-28.5,609.6,644.2,625.0,1388.9,1521.6,1460.826923076923
Grown Steer,400-500,Feeder,C,3,16,NQ,351.0,357.0,354,NQ,662.3,673.6,667.9,1509.3,1713.6,1611.4500122070312
Grown Steer,400-500,Feeder,E,1,4,NQ,239.0,239.0,239,NQ,519.6,519.6,519.6,1051.6,1051.6,1051.5999755859375
Grown Steer,400-500,Processor,D,2,1,NQ,306.0,306.0,306,NQ,588.5,588.5,588.5,1426.0,1426.0,1425.9599609375
Grown Steer,400-500,Restocker,C,2,1,-10,335.0,335.0,335,-24.0,644.2,644.2,644.2,1457.3,1457.3,1457.25
Grown Steer,500-600,Feeder,C,3,7,-27,328.0,328.0,328,-24.6,618.9,618.9,618.9,1804.0,1804.0,1804
Grown Steer,500-600,Processor,C,3,5,NQ,341.0,341.0,341,NQ,643.4,643.4,643.4,1841.4,1841.4,1841.4
Grown Steer,500-600,Processor,C,4,4,-7,349.0,349.0,349,11.5,646.3,646.3,646.3,1867.2,1867.2,1867.1500244140625
Grown Steer,500-600,Processor,D,2,3,NQ,270.0,270.0,270,NQ,519.2,519.2,519.2,1579.5,1579.5,1579.5
