Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: TRLX Tamworth
Report Date: 15/04/2024
Comparison Date: 08/04/2024
Total Yarding: 2725 (+1360)
Commentary
"The numbers more than double in what was a very mixed quality penning. Young cattle were well supplied along with cows. There were limited supplies of well finished heavy grown steers and heifers.The usual processors were in attendance however there were several of the regular restocker and feedlot orders absence.

Demand was weaker through the young cattle to restock and feed with quality also having an impact on the negative market trends. Weaner steers to restockers saw a cheaper trend of 10c/kg and more in places. The heifer weaners lost all of last weeks strong gains to show a cheaper trend of at least 30c/kg. Cheaper trends also for medium and heavy weight yearling feeder steers with the heavy weights least affected. Light weight yearling heifers were much cheaper with most of the plainer quality lines selling for less than 200c/kg. Medium and heavy weight yearling heifers also sold to cheaper trends. It should be noted that selected pens of well bred yearling steers and heifers in the heavy weight classes remained firm.

Heavy grown steers and heifers to process met with weaker demand to sell to cheaper trends. The cow market met with reduced demand from processors and very little restocker competition. As a result trends were 20c to 30c/kg cheaper."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Vealer Heifer,280-330,Processor,C,2,3,NQ,300.0,300.0,300,NQ,576.9,576.9,576.9,930.0,930.0,930
Vealer Heifer,280-330,Restocker,C,2,62,33,260.0,294.0,280.5,-33.6,500.0,565.4,539.4,780.0,894.6,836.1193532636089
Vealer Heifer,330+,Feeder,C,2,8,NQ,310.0,310.0,310,NQ,596.2,596.2,596.2,1054.0,1054.0,1054
Vealer Heifer,330+,Processor,C,3,2,NC,310.0,310.0,310,-18.0,596.2,596.2,596.2,1116.0,1116.0,1116
Vealer Heifer,330+,Restocker,C,3,5,NQ,300.0,300.0,300,NQ,576.9,576.9,576.9,1080.0,1080.0,1080
Manufacturing Steer,0-540,Dairy,D,2,37,NQ,177.0,210.0,195.16216216216216,NQ,354.0,420.0,390.3,778.8,924.0,852.5513355152027
Manufacturing Steer,540+,Processor,C,3,2,NQ,268.0,268.0,268,NQ,496.3,496.3,496.3,1661.6,1661.6,1661.5999755859375
Grown Steer,0-400,Feeder,C,2,5,NQ,260.0,300.0,268,NQ,500.0,576.9,515.4,988.0,1050.0,1000.4
Grown Steer,0-400,Processor,C,2,2,NQ,200.0,235.0,217.5,NQ,384.6,451.9,418.3,700.0,799.0,749.5
Grown Steer,400-500,Feeder,C,2,26,19,285.0,360.0,348.46153846153845,28.5,548.1,692.3,670.1,1282.5,1620.0,1568.076923076923
