Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Charters Towers
Report Date: 08/05/2024
Comparison Date: 01/05/2024
Total Yarding: 1122 (-646)
Commentary
"With much of the industry focussed on Beef Week, the supply of cattle reduced significantly on last week, with 1122 cattle penned in a combined prime and store sale. Quality was variable with a smaller offering of heavy prime cattle, however there were some good lines of store steers and heifers.  Buyer representation was limited to two processors, one live exporter and opportunity feeders, backgrounders and restockers.  Cattle were drawn from as far west as Boulia to Mt Isa, Normanton Georgetown and the local area.

The limited demand saw values ease across most categories, with quality a factor, however prime lightweight cows, and best quality store steers improved by 10c to 16c on last sale. 

Best quality yearling steers above 280kg returning to the paddock averaged 221c, selling to 284c, steers above 330kg averaged 276c/kg. Steers above 330kg to feed averaged 234c/kg. A limited supply of yearling heifers sold relative to quality - a small sample above 330kg to the trade made 208c/kg. 
Many small lines of grown steers met limited demand, single sales of trade types made to 238c, ranging from 228c to 234c/kg.  A limited sample of grown heifers to the trade reached 232c to average 198c/kg. 

There was only a small offering of heavy bullocks for export slaughter, making to 234c to average 230c/kg. Lights weight score cows to processors sold to 180c to average 168, medium weight 3 score cows sold to 210c to average 189c, a small number of prime heavyweight cows topped at 218c/kg.
Bulls above 280kg to live export reached 244c to average 222c, heavy bulls to feed destined for live export sold to 222c to average from 183c to 209c/kg.

Market Reporter, Mick Kingham"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Restocker,D,1,10,NQ,268.0,268.0,268,NQ,525.5,525.5,525.5,509.2,509.2,509.2
Yearling Steer,200-280,Feeder,D,2,16,NQ,150.0,210.0,168.75,NQ,294.1,403.8,328.4,382.5,514.5,423.75
Yearling Steer,200-280,Processor,D,2,4,NQ,140.0,140.0,140,NQ,269.2,269.2,269.2,392.0,392.0,392
Yearling Steer,200-280,Restocker,D,2,17,NQ,230.0,230.0,230,NQ,442.3,442.3,442.3,644.0,644.0,644
Yearling Steer,280-330,Feeder,D,2,83,81,102.0,210.0,154.55421686746988,-51.4,196.2,403.8,298.1,316.2,673.2,480.41542145143075
Yearling Steer,280-330,Processor,D,2,7,6,218.0,218.0,218,68.0,419.2,419.2,419.2,697.6,697.6,697.5999581473214
Yearling Steer,280-330,Restocker,C,2,45,NQ,242.0,266.0,254.8,NQ,465.4,511.5,490.0,706.6,837.9,776.6453776041667
Yearling Steer,280-330,Restocker,D,2,150,NQ,160.0,284.0,220.64,NQ,307.7,546.2,424.3,472.0,894.6,683.6053226725261
Yearling Steer,330-400,Feeder,C,2,25,20,220.0,240.0,233.6,133.6,423.1,461.5,449.2,759.0,876.0,838.56
Yearling Steer,330-400,Feeder,D,2,26,25,102.0,210.0,125.46153846153847,-54.5,200.0,403.8,244.2,346.8,745.5,432.29615431565503
Yearling Steer,330-400,Restocker,C,2,51,NQ,266.0,282.0,275.4117647058824,NQ,511.5,542.3,529.6,891.1,972.9,939.2176393995098
Yearling Steer,330-400,Restocker,D,2,18,NQ,160.0,212.0,209.11111111111111,NQ,313.7,407.7,402.5,544.0,720.8,710.9777560763889
Yearling Heifer,200-280,Feeder,D,2,3,2,126.0,150.0,134,10.0,242.3,288.5,257.7,352.8,390.0,365.1999918619792
Yearling Heifer,200-280,Processor,D,2,6,NQ,150.0,176.0,171.66666666666666,NQ,288.5,338.5,330.1,360.0,457.6,441.3333333333333
Yearling Heifer,200-280,Restocker,D,2,2,NQ,80.0,80.0,80,NQ,153.8,153.8,153.8,196.0,196.0,196
Yearling Heifer,280-330,Feeder,D,2,2,NC,108.0,108.0,108,-64.0,207.7,207.7,207.7,351.0,351.0,351
Yearling Heifer,280-330,Processor,C,2,5,NQ,170.0,190.0,186,NQ,326.9,365.4,357.7,518.5,570.0,559.7
Yearling Heifer,280-330,Processor,D,2,4,NQ,156.0,156.0,156,NQ,300.0,300.0,300.0,475.8,475.8,475.79998779296875
Yearling Heifer,280-330,Restocker,C,2,15,NQ,206.0,206.0,206,NQ,396.2,396.2,396.2,607.7,607.7,607.7
Yearling Heifer,330-400,Feeder,C,2,8,NQ,142.0,142.0,142,NQ,273.1,273.1,273.1,518.3,518.3,518.2999877929688
Yearling Heifer,330-400,Feeder,D,2,1,-10,162.0,162.0,162,-38.0,311.5,311.5,311.5,567.0,567.0,567
