Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Shepparton
Report Date: 08/10/2024
Comparison Date: 01/10/2024
Total Yarding: 2100 (+140)
Commentary
"Numbers jump significantly as 1480 exports and 685 trade cattle  were penned. It was a very mixed offering of cattle particularly across the trade cattle section. Opportunistic produces grabbed several lines of the large frame heavier unfinished steers. The beef and dairy cows bucketed the trend to hold firm or even selling at slightly dearer rates. 

There were very limited numbers of vealers and prices made to 320c/kg. The yearling steers made from 330 to a top of 405c/kg. The yearling heifers ranged from 290c to 373c/kg and went back to processors.

The Friesian steers made from 252c to 305c/kg. The 500 to 600kg steers made from 313c to 380c/kg. The 600kg plus steers made from 310 to 375c/kg. The heavy beef cows made from 270c to 324c/kg. The heavy dairy cows made from 240c to 290c/kg."
Yearling Steer,400+,Processor,C,2,2,NQ,320.0,320.0,320,NQ,603.8,603.8,603.8,1440.0,1440.0,1440
Yearling Steer,400+,Processor,C,3,9,-5,345.0,370.0,348.3333333333333,-25.2,648.1,685.2,654.4,1431.8,1609.5,1461.5833333333333
Yearling Steer,400+,Restocker,C,2,7,NC,310.0,330.0,315.7142857142857,-25.0,596.2,634.6,607.1,1286.5,1369.5,1310.2142857142858
Yearling Heifer,200-280,Restocker,D,1,38,NQ,140.0,240.0,170.8421052631579,NQ,280.0,500.0,346.4,371.0,636.0,445.7526212993421
Yearling Heifer,280-330,Restocker,C,2,2,NQ,240.0,240.0,240,NQ,461.5,461.5,461.5,792.0,792.0,792
Yearling Heifer,330-400,Feeder,C,1,9,NQ,375.0,375.0,375,NQ,721.2,721.2,721.2,1331.3,1331.3,1331.25
Yearling Heifer,330-400,Feeder,C,2,24,NQ,290.0,340.0,307.0833333333333,NQ,557.7,641.5,590.8,1029.5,1309.0,1139.3125
Yearling Heifer,330-400,Feeder,D,2,7,-1,271.0,292.0,286,14.0,542.0,584.0,572.0,948.5,1095.0,1053.142857142857
Yearling Heifer,330-400,Feeder,D,3,34,NQ,270.0,297.0,284.29411764705884,NQ,519.2,571.2,546.7,958.5,1113.8,1040.6911764705883
Yearling Heifer,330-400,Processor,C,2,11,5,264.0,368.0,349.09090909090907,-10.9,498.1,707.7,669.6,937.2,1380.0,1299.4909113103693
Yearling Heifer,330-400,Processor,C,3,73,44,310.0,393.0,354.3972602739726,11.2,584.9,741.5,667.2,1131.5,1501.5,1278.1047948549872
Yearling Heifer,330-400,Processor,C,4,9,NQ,340.0,360.0,342.22222222222223,NQ,629.6,679.2,635.1,1309.0,1436.4,1323.1555582682292
Yearling Heifer,330-400,Processor,D,1,6,NQ,290.0,290.0,290,NQ,568.6,568.6,568.6,1000.5,1000.5,1000.5
Yearling Heifer,330-400,Processor,D,3,28,NQ,270.0,290.0,280.42857142857144,NQ,517.0,557.7,536.0,985.5,1078.0,1018.0999930245536
Yearling Heifer,330-400,Restocker,C,2,18,NQ,290.0,310.0,295.55555555555554,NQ,568.6,596.2,576.3,1015.0,1038.5,1021.5277777777778
Yearling Heifer,400+,Processor,C,2,11,NQ,340.0,340.0,340,NQ,653.8,653.8,653.8,1581.0,1581.0,1581
Yearling Heifer,400+,Processor,C,3,16,NQ,350.0,370.0,357.5,NQ,660.4,698.1,674.5,1572.5,1620.0,1602.96875
Yearling Heifer,400+,Restocker,C,2,11,NQ,301.0,301.0,301,NQ,578.8,578.8,578.8,1459.8,1459.8,1459.8499644886363
Vealer Steer,200-280,Restocker,B,1,5,NQ,310.0,310.0,310,NQ,584.9,584.9,584.9,821.5,821.5,821.5
Vealer Steer,200-280,Restocker,C,1,3,-2,280.0,280.0,280,NC,528.3,528.3,528.3,672.0,672.0,672
Vealer Heifer,280-330,Processor,C,3,4,NQ,310.0,320.0,315,NQ,584.9,603.8,594.3,1023.0,1056.0,1039.5
Manufacturing Steer,0-540,Dairy,D,1,78,43,252.0,282.0,261.53846153846155,-36.5,511.8,552.9,518.7,1087.3,1508.7,1306.3871506911057
Manufacturing Steer,0-540,Dairy,D,2,33,19,282.0,300.0,290.1818181818182,20.6,542.3,576.9,558.0,1367.7,1575.0,1461.9272608901515
Manufacturing Steer,540+,Restocker,D,1,4,NQ,305.0,305.0,305,NQ,586.5,586.5,586.5,1662.3,1662.3,1662.25
Grown Steer,400-500,Feeder,C,2,20,NQ,334.0,375.0,354.5,NQ,642.3,707.5,674.9,1619.9,1818.8,1719.325
Grown Steer,400-500,Feeder,D,1,24,NQ,305.0,322.0,313.5,NQ,598.0,631.4,614.7,1387.8,1465.1,1426.4249674479167
Grown Steer,400-500,Processor,C,2,30,NQ,350.0,350.0,350,NQ,660.4,660.4,660.4,1697.5,1697.5,1697.5
Grown Steer,400-500,Restocker,C,2,19,7,295.0,334.0,311.6842105263158,-14.3,567.3,642.3,599.4,1386.1,1520.0,1448.8578844572369
Grown Steer,400-500,Restocker,D,2,5,-4,290.0,290.0,290,-27.0,557.7,557.7,557.7,1406.5,1406.5,1406.5
Grown Steer,500-600,Processor,B,3,9,NQ,380.0,380.0,380,NQ,690.9,690.9,690.9,2147.0,2147.0,2147
Grown Steer,500-600,Processor,C,1,4,NQ,329.0,329.0,329,NQ,632.7,632.7,632.7,1694.3,1694.3,1694.3499755859375
Grown Steer,500-600,Processor,C,2,46,NQ,313.0,335.0,324.1521739130435,NQ,601.9,634.6,622.3,1721.5,1881.0,1817.25
Grown Steer,500-600,Processor,C,3,36,-10,340.0,372.0,348.6111111111111,-8.2,641.5,688.9,654.3,1908.5,2052.8,1984.5319417317708
Grown Steer,500-600,Processor,C,4,15,-31,375.0,375.0,375,7.0,707.5,707.5,707.5,2246.3,2246.3,2246.25
Grown Steer,600-750,Processor,C,2,32,NQ,310.0,315.0,313.125,NQ,594.3,596.2,595.0,1906.5,2189.3,2083.21875
Grown Steer,600-750,Processor,C,4,50,-5,330.0,375.0,360.1,-1.7,611.1,694.4,666.9,2128.5,2418.8,2307.645
Grown Heifer,0-540,Dairy,D,1,10,NQ,280.0,280.0,280,NQ,560.0,560.0,560.0,1218.0,1218.0,1218
Grown Heifer,0-540,Dairy,D,2,25,NQ,280.0,280.0,280,NQ,549.0,549.0,549.0,1358.0,1358.0,1358
Grown Heifer,0-540,Feeder,D,2,8,-4,260.0,295.0,286.25,-17.8,500.0,578.4,558.8,1105.0,1430.8,1349.3125
Grown Heifer,0-540,Processor,C,3,19,11,324.0,358.0,341.4736842105263,19.5,611.3,675.5,644.3,1474.2,1664.7,1572.5052297491777
Grown Heifer,0-540,Processor,D,1,8,1,200.0,200.0,200,-129.0,416.7,416.7,416.7,670.0,670.0,670
Grown Heifer,0-540,Processor,D,2,35,NQ,264.0,325.0,272.7142857142857,NQ,507.7,625.0,524.5,1201.2,1608.8,1259.4214285714286
Grown Heifer,0-540,Processor,D,3,15,NQ,310.0,330.0,321,NQ,596.2,634.6,617.3,1317.5,1468.5,1397.0166666666667
Cows,0-400,Dairy,D,1,10,NQ,240.0,240.0,240,NQ,500.0,500.0,500.0,936.0,936.0,936
Cows,400-520,Dairy,D,1,50,41,247.0,265.0,255.18,21.2,519.6,574.4,549.8,1109.3,1277.1,1199.36099609375
Cows,400-520,Dairy,D,2,18,-15,244.0,280.0,264,29.8,542.2,622.2,586.7,1134.6,1302.0,1227.5999891493057
Cows,400-520,Dairy,D,3,20,NQ,272.0,278.0,275,NQ,591.3,591.5,591.4,1319.2,1348.3,1333.75
Cows,400-520,Dairy,E,1,27,24,228.0,235.0,231.88888888888889,36.9,542.9,587.5,567.7,969.0,998.8,985.5277777777778
Cows,400-520,Processor,D,1,9,-31,265.0,265.0,265,3.7,563.8,563.8,563.8,1311.8,1311.8,1311.75
Cows,400-520,Processor,D,2,27,NQ,265.0,280.0,272.77777777777777,NQ,552.1,571.4,562.1,1232.3,1386.0,1311.9722222222222
Cows,400-520,Processor,D,3,13,-10,294.0,294.0,294,-0.9,612.5,612.5,612.5,1425.9,1425.9,1425.9000901442307
Cows,400-520,Processor,D,4,10,NQ,265.0,265.0,265,NQ,509.6,509.6,509.6,1285.3,1285.3,1285.25
Cows,400-520,Processor,E,1,6,-29,240.0,240.0,240,26.1,533.3,533.3,533.3,1140.0,1140.0,1140
Cows,520+,Dairy,D,1,87,28,240.0,286.0,261.0919540229885,5.0,533.3,635.6,586.2,1404.0,1859.0,1570.7844827586207
Cows,520+,Dairy,D,2,35,6,278.0,288.0,283.7142857142857,2.6,553.8,619.6,598.2,1512.0,1748.4,1633.9628348214285
Cows,520+,Dairy,D,3,8,NQ,290.0,290.0,290,NQ,604.2,604.2,604.2,2001.0,2001.0,2001
Cows,520+,Dairy,E,1,8,NQ,236.0,236.0,236,NQ,548.8,548.8,548.8,1427.8,1427.8,1427.800048828125
Cows,520+,Processor,C,2,2,NQ,320.0,320.0,320,NQ,615.4,615.4,615.4,1744.0,1744.0,1744
Cows,520+,Processor,D,1,17,NQ,270.0,270.0,270,NQ,574.5,574.5,574.5,1417.5,1417.5,1417.5
Cows,520+,Processor,D,2,17,-28,286.0,286.0,286,7.9,583.7,583.7,583.7,1573.0,1573.0,1573
Cows,520+,Processor,D,3,98,73,290.0,312.0,297.9387755102041,-3.1,571.2,612.2,590.7,1575.0,1784.3,1677.0397799744899
Cows,520+,Processor,D,4,68,-6,315.0,324.0,319.5882352941176,5.5,605.8,623.1,614.6,1732.5,1955.7,1853.1485380284926
Bulls,0-450,Processor,B,2,4,NQ,355.0,355.0,355,NQ,645.5,645.5,645.5,1366.8,1366.8,1366.75
