Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Muchea
Report Date: 06/01/2025
Comparison Date: 16/12/2024
Total Yarding: 624 (-598)
Commentary
"The first sale for 2025 presented light supplies made up mostly of mixed quality local cattle and very few pastoral stocks.  Local cattle showing good fat cover and weight along with a breeding component were sought after by the reasonably full buying gallery however store cattle lacking condition or breeding or both were difficult to sell.
Vealer steers in store condition or with smaller frames were selling cheap from 80c to 192c however with more weight and better breeding rates improved dramatically to sell from 242c up to 336c/kg. It was a similar story with vealer heifers lacking weight, size or condition ranging from 40c to 158c and with weight and frame sold from 220c to 262c/kg. Store yearling steers again showing poor breeding or condition sold from 50c to 200c and with more weight and fat cover returned 220c to 366c/kg. Lighter yearling heifers sold from 78c to 190c while better heifers sold to a top of 282c/kg.
Grown steers sold well returning 248c to 310c while grown heifers also held firm making 218c to 258c/kg.  Light framed plain cows struggled to attract bids starting from 20c to 100c while bigger framed store condition cows ranged from 132c to 188c and medium to prime cows sold from 192c to 236c/kg. 
Bulls returning to the paddock sold from 50c to 150c while shipping bulls made 180c to 304c and slaughter bulls returned 162c to 216c/kg.
Terry Birkin MLA."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Vealer Heifer,200-280,Restocker,C,1,1,NQ,40.0,40.0,40,NQ,83.3,83.3,83.3,84.0,84.0,84
Vealer Heifer,200-280,Restocker,C,2,7,-1,50.0,150.0,92,-85.5,100.0,300.0,184.0,106.0,330.0,217.8971426827567
Vealer Heifer,200-280,Restocker,C,3,21,-34,220.0,240.0,233.8095238095238,1.4,423.1,461.5,449.6,542.4,669.6,625.2999965122768
Vealer Heifer,200-280,Restocker,D,3,4,NQ,100.0,112.0,103,NQ,192.3,215.4,198.1,217.0,244.2,223.79000091552734
Vealer Heifer,280-330,Restocker,C,2,1,NC,64.0,64.0,64,-120.0,128.0,128.0,128.0,186.9,186.9,186.8800048828125
Vealer Heifer,280-330,Restocker,C,3,17,6,128.0,262.0,216.47058823529412,11.0,246.2,503.8,416.3,362.2,780.8,638.3341136259191
Grown Steer,400-500,Processor,C,3,5,1,310.0,310.0,310,90.0,563.6,563.6,563.6,1444.6,1444.6,1444.6
Grown Steer,500-600,Feeder,C,3,1,NQ,268.0,268.0,268,NQ,487.3,487.3,487.3,1366.8,1366.8,1366.800048828125
Grown Steer,500-600,Processor,C,3,3,-3,250.0,260.0,253.33333333333334,11.7,454.5,472.7,460.6,1257.5,1404.0,1306.3333333333333
Grown Steer,600-750,Processor,C,3,7,5,248.0,270.0,265.42857142857144,19.4,450.9,490.9,482.6,1666.6,1900.8,1858.7657296316963
Grown Heifer,0-540,Feeder,D,3,10,NQ,250.0,258.0,255.6,NQ,480.8,496.2,491.5,932.5,1166.2,1089.8699951171875
Grown Heifer,0-540,Processor,C,3,4,-16,230.0,230.0,230,-18.3,442.3,442.3,442.3,1129.3,1228.2,1154.0250244140625
Grown Heifer,0-540,Processor,D,3,1,NQ,238.0,238.0,238,NQ,457.7,457.7,457.7,728.3,728.3,728.280029296875
Grown Heifer,540+,Processor,C,3,4,NC,218.0,256.0,231,4.5,419.2,492.3,444.2,1334.2,1541.1,1405.0000305175781
