Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Leongatha
Report Date: 21/01/2025
Comparison Date: 14/01/2025
Total Yarding: 3256 (-414)
Commentary
"There were approximately 2660 export and 600 young cattle penned representing a decrease of 410 head week-on-week. The usual buying group was present and operating in a cheaper market in places. Quality was good with plenty of finish throughout. Trade cattle eased 5c to 15c while feeder steers sold close to firm. Grown steers and bullocks sold firm. Heavy Grown heifers lost 17c/kg. Manufacturing steers eased 5c to 10c/kg. Heavy beef cows eased 2c while the remainder of the cows gave back 5c to 10c/kg. Heavy bulls lost 10c/kg. 

Vealers sold from 280c to 388c/kg. Yearling trade steers made between 340c and 385c/kg. Yearling heifers to the trade sold between 310c and 373c/kg. Grown steers made from 344c to 386c/kg. Bullocks sold from 375c to 400c/kg. Heavy grown heifers showing good finish made between 305c and 337c/kg. 

Heavy Friesian manufacturing steers sold between 286c and 320c with the crossbred portion between 306c and 384c/kg. Most light and medium weight cows made from 210c to 296c/kg. Heavy weight cows sold mostly from 250c to 320c/kg. Heavy bulls made mostly between 260c and 312c/kg. 

Market reporter: Brendan Fletcher."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Vealer Steer,330+,Feeder,C,2,2,-8,322.0,335.0,328.5,-1.9,596.3,609.1,602.7,1159.2,1206.0,1182.5999755859375
Vealer Steer,330+,Processor,B,2,6,3,335.0,355.0,350.8333333333333,-13.2,598.2,625.0,611.9,1172.5,1278.0,1245.75
Vealer Steer,330+,Processor,B,3,13,-6,345.0,388.0,364.53846153846155,-14.4,594.8,669.0,630.2,1350.0,1540.0,1431.4153864933894
Vealer Steer,330+,Processor,C,2,1,NQ,320.0,320.0,320,NQ,581.8,581.8,581.8,1152.0,1152.0,1152
Vealer Steer,330+,Processor,C,3,15,5,340.0,360.0,345,-5.2,607.1,642.9,616.1,1207.5,1440.0,1297.1333333333334
Vealer Steer,330+,Processor,D,3,1,NQ,342.0,342.0,342,NQ,633.3,633.3,633.3,1197.0,1197.0,1197
Vealer Steer,330+,Restocker,C,2,6,NQ,330.0,332.0,331.6666666666667,NQ,611.1,614.8,614.2,1228.4,1254.0,1232.6666666666667
Vealer Heifer,200-280,Processor,C,2,3,NQ,280.0,280.0,280,NQ,509.1,509.1,509.1,770.0,770.0,770
Vealer Heifer,200-280,Processor,D,2,4,NQ,244.0,244.0,244,NQ,469.2,469.2,469.2,610.0,610.0,610
Vealer Heifer,280-330,Processor,D,3,3,-1,320.0,320.0,320,2.5,592.6,592.6,592.6,1056.0,1056.0,1056
Vealer Heifer,330+,Feeder,B,2,5,NQ,310.0,310.0,310,NQ,553.6,553.6,553.6,1178.0,1178.0,1178
Vealer Heifer,330+,Processor,C,3,24,6,330.0,357.0,346.4166666666667,-4.5,589.3,637.5,620.8,1221.0,1518.0,1386.2916666666667
Vealer Heifer,330+,Processor,D,3,38,33,288.0,335.0,319.42105263157896,-7.2,533.3,620.4,591.5,1080.0,1288.0,1202.7236842105262
Manufacturing Steer,0-540,Dairy,E,1,7,NQ,280.0,280.0,280,NQ,608.7,608.7,608.7,1232.0,1232.0,1232
Manufacturing Steer,0-540,Dairy,E,2,5,2,282.0,282.0,282,-38.0,613.0,613.0,613.0,1339.5,1339.5,1339.5
Manufacturing Steer,0-540,Processor,D,2,18,17,300.0,320.0,312.6666666666667,0.7,576.9,615.4,601.3,800.0,1575.0,1453.5
Manufacturing Steer,0-540,Restocker,D,2,10,NQ,280.0,314.0,301.4,NQ,538.5,608.3,584.3,1109.6,1601.3,1436.9099975585937
Manufacturing Steer,540+,Dairy,D,1,101,42,286.0,307.0,296.2277227722772,-11.5,595.8,625.0,611.6,1584.0,2149.0,1775.72325572401
Manufacturing Steer,540+,Dairy,D,2,261,-52,294.0,320.0,310.17241379310343,-6.6,562.3,615.4,596.7,1764.0,2418.0,2203.6917617037834
Manufacturing Steer,540+,Dairy,D,3,38,29,276.0,295.0,288.9736842105263,9.0,542.3,567.3,556.8,1932.0,2286.3,2228.6513157894738
Manufacturing Steer,540+,Dairy,E,2,12,NQ,291.0,296.0,294.3333333333333,NQ,592.0,606.3,596.8,1891.5,2146.0,2061.1666666666665
Manufacturing Steer,540+,Processor,D,2,79,21,306.0,340.0,325.26582278481015,-9.2,588.5,644.2,617.7,1716.0,2392.5,2067.6468552215188
Manufacturing Steer,540+,Processor,D,3,140,-9,340.0,384.0,358.02142857142854,-1.2,629.6,720.8,664.4,1983.8,2737.5,2445.3560712541853
Manufacturing Steer,540+,Restocker,D,1,25,NQ,290.0,317.0,301.88,NQ,604.2,634.0,617.3,1595.0,1743.5,1660.34
Manufacturing Steer,540+,Restocker,D,2,4,NQ,290.0,324.0,304.75,NQ,557.7,611.3,583.1,1677.5,1863.0,1751.375
Grown Steer,0-400,Processor,C,2,7,NQ,360.0,360.0,360,NQ,666.7,666.7,666.7,990.0,990.0,990
Grown Steer,500-600,Processor,B,2,2,-7,352.0,352.0,352,-9.9,628.6,628.6,628.6,2112.0,2112.0,2112
Grown Steer,500-600,Processor,C,2,20,18,349.0,365.0,353.8,-44.2,646.3,675.9,655.2,2006.8,2190.0,2061.725
Grown Steer,500-600,Processor,C,3,35,15,358.0,386.0,377.2857142857143,-5.0,650.9,701.8,683.9,1969.0,2316.0,2217.6857142857143
Grown Steer,500-600,Processor,C,4,1,NQ,350.0,350.0,350,NQ,636.4,636.4,636.4,2100.0,2100.0,2100
Grown Steer,500-600,Processor,D,3,27,NQ,326.0,350.0,337.6666666666667,NQ,620.4,648.1,631.3,1825.6,2040.0,1937.0259331597222
Grown Steer,500-600,Processor,D,4,3,NQ,310.0,310.0,310,NQ,596.2,596.2,596.2,1782.5,1782.5,1782.5
Grown Steer,500-600,Restocker,C,2,4,-13,344.0,344.0,344,-3.4,637.0,637.0,637.0,1857.6,1857.6,1857.5999755859375
Grown Steer,600-750,Processor,B,3,17,NQ,374.0,375.0,374.3529411764706,NQ,656.1,657.9,656.8,2431.0,2812.5,2565.6470588235293
Grown Steer,600-750,Processor,C,3,3,1,388.0,388.0,388,23.0,705.5,705.5,705.5,2716.0,2716.0,2716
Grown Steer,600-750,Processor,C,4,102,-19,383.0,400.0,389.9019607843137,2.5,675.4,716.4,699.9,2489.5,2887.5,2666.343137254902
Grown Steer,600-750,Processor,D,3,17,4,330.0,377.0,374.2352941176471,0.7,611.1,698.1,693.0,2145.0,2639.0,2609.9411764705883
Grown Steer,750+,Processor,C,4,19,-27,375.0,380.0,377.63157894736844,4.8,657.9,669.6,663.1,2906.3,3040.0,3016.1184210526317
