Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: TRLX Tamworth
Report Date: 24/06/2024
Comparison Date: 17/06/2024
Total Yarding: 1540 (-707)
Commentary
"Tamworth penned 1547 mixed quality cattle which was 700 less than last week. There were drafts of better quality pens in the yearling steer and heifer drafts and these sold to dearer trends for the most part. Weaners and plainer yearlings were harder to sell. Heavy cows to process were dearer with not all operators competing. There was a major feeder operator absent.

Steer weaners were considerably cheaper and this followed onto the heifers which slipped 18c/kg. Most weaners were purchased by restockers. Light yearling steers to background were significantly dearer to top at 422/kg. Similar weights to feed on resulted in a loss of 16c/kg. Medium feeders saw a modest rise 270c to 402c/kg. Heavy feeders also dearer. 

Plainer quality light yearling heifers sold to cheaper trends and were purchased by backgrounder interests. There were quite a few lapses in quality through these drafts. With a lift in quality of the medium weight feeder heifers they followed the steer portion to a modest rise and prices ranged 202c to 341c/kg. Heavy feeder heifers also dearer.

Heavy grown heifers showed a rise in places of up to 12c/kg. Medium weight cows managed a solid rise. The heavy cows increased their trends with a 9c to 12c/kg improvement and sold up to 231c/kg.

Stephen Adams MLA"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Feeder,C,2,14,-7,282.0,324.0,294.85714285714283,-16.3,522.2,600.0,546.0,761.4,907.2,809.4857352120536
Yearling Steer,200-280,Feeder,D,2,1,NQ,110.0,110.0,110,NQ,207.5,207.5,207.5,297.0,297.0,297
Yearling Steer,200-280,Restocker,C,2,30,-9,240.0,422.0,346.26666666666665,43.0,444.4,781.5,641.2,600.0,1097.2,921.3799641927084
Yearling Steer,280-330,Feeder,C,2,107,51,170.0,360.0,332.06542056074767,3.8,314.8,666.7,614.9,510.0,1180.8,1034.2158927560968
Yearling Steer,280-330,Processor,C,2,3,NQ,330.0,351.0,340.3333333333333,NQ,611.1,650.0,630.2,1020.0,1140.8,1072.25
Yearling Steer,280-330,Restocker,C,2,45,18,225.0,406.0,310.9111111111111,-20.2,416.7,751.9,575.8,742.5,1218.0,933.4355360243055
Yearling Steer,330-400,Feeder,C,2,132,-19,270.0,402.0,370.75757575757575,3.7,500.0,744.4,686.6,999.0,1487.4,1366.5227420691288
Yearling Steer,330-400,Feeder,C,3,1,NQ,305.0,305.0,305,NQ,564.8,564.8,564.8,1037.0,1037.0,1037
Yearling Steer,330-400,Processor,C,2,5,NQ,150.0,360.0,252.4,NQ,277.8,666.7,467.4,522.0,1332.0,927.2800048828125
Yearling Steer,330-400,Restocker,C,2,40,22,236.0,394.0,379.1,-5.4,437.0,729.6,702.0,802.4,1379.0,1319.6950103759766
Yearling Steer,400+,Feeder,C,2,20,10,328.0,375.0,349.75,9.6,607.4,694.4,647.7,1429.5,2175.0,1864.9580078125
Yearling Steer,400+,Feeder,C,3,8,6,326.0,327.0,326.625,103.4,603.7,605.6,604.9,1499.6,1569.6,1543.3499755859375
Yearling Steer,400+,Processor,C,2,1,NQ,190.0,190.0,190,NQ,351.9,351.9,351.9,1064.0,1064.0,1064
Yearling Steer,400+,Processor,C,3,7,1,265.0,270.0,265.7142857142857,12.4,500.0,500.0,500.0,1296.0,1537.0,1502.5714285714287
