Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Gunnedah
Report Date: 16/07/2024
Comparison Date: 09/07/2024
Total Yarding: 1585 (-50)
Commentary
"There was a small reduction in supply. Young cattle and cows made up the bulk of the offering along with a fair supply of grown steers and heifers. The quality of the offering was fair to good while condition also varied. The full field of buyers were in attendance.

Restockers were active through the light and medium weight young cattle however market trends were generally firm to slightly cheaper for the steers. Heavy weight yearling steers to feed also sold to cheaper trends while a drop in quality within specific breeds saw price change greater than the actual trend. Well finished heavy trade steers remained firm. Light and medium weight yearling heifers remained firm for the most part with an odd dearer sale at the top end of the weight range. Heavy weight heifers to feed sold to a dearer trend with quality and breed contributing.

Heavy grown steers suitable to processors were considerably dearer. The well finished heavy grown heifers saw a trend only slightly dearer. There was little change in the heavy weight cow market while odd pens of medium weights carrying strong condition sold strongly."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Cows,400-520,Processor,D,2,10,-32,200.0,236.0,215.6,-24.9,444.4,524.4,479.1,950.0,1196.0,1057.2400024414062
Cows,400-520,Processor,D,3,84,83,242.0,282.0,261.4642857142857,107.5,514.9,587.5,554.3,1210.0,1375.0,1292.5821591331846
Cows,400-520,Processor,D,4,5,NQ,275.0,275.0,275,NQ,572.9,572.9,572.9,1320.0,1320.0,1320
Cows,520+,Processor,C,3,1,NQ,300.0,300.0,300,NQ,600.0,600.0,600.0,2250.0,2250.0,2250
Cows,520+,Processor,D,3,61,-37,220.0,297.0,282.37704918032784,26.8,468.1,604.2,582.3,1188.0,1722.6,1532.286901255123
Cows,520+,Processor,D,4,160,-143,244.0,299.0,289.24375,8.6,530.4,610.4,587.1,1366.4,2006.0,1710.753126525879
Bulls,0-450,Processor,C,2,8,7,214.0,250.0,236.5,16.5,396.3,463.0,438.0,885.6,950.0,930.4000091552734
Bulls,450-600,Processor,C,2,2,NQ,216.0,216.0,216,NQ,400.0,400.0,400.0,1080.0,1080.0,1080
Bulls,600+,Processor,B,2,2,-1,180.0,200.0,190,-12.3,321.4,357.1,339.3,1350.0,1560.0,1455
Bulls,600+,Processor,B,3,1,-25,220.0,220.0,220,-19.9,392.9,392.9,392.9,1914.0,1914.0,1914
Bulls,600+,Processor,C,2,3,NQ,210.0,220.0,216.66666666666666,NQ,388.9,407.4,401.2,1638.0,1727.0,1697.3333333333333
Bulls,600+,Processor,C,3,1,NQ,210.0,210.0,210,NQ,388.9,388.9,388.9,1512.0,1512.0,1512
