Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Leongatha
Report Date: 18/02/2025
Comparison Date: 11/02/2025
Total Yarding: 2823 (-87)
Commentary
"There were approximately 2400 export and 420 young cattle penned representing a decrease of 90 head week-on-week. The usual buying group was present and operating in a dearer market. Quality was good in the bullocks while the young cattle were very mixed. Well finished trade cattle sold 10c to 15c/kg dearer and more in places while secondary young lots sold to stronger competition from restockers. Grown steers and bullocks improved slightly. Manufacturing steers gained 10c to 15c/kg. Heavy grown heifers showing good finish lifted 17c/kg. Cows kicked 15c to 30c/kg. Heavy bulls gained 5c to 10c/kg. 

Vealers sold from 310c to 390c/kg. Yearling trade steers made between 330c and 386c/kg. Yearling heifers to the trade sold between 310c and 375c/kg. Grown steers made from 334c to 382c/kg. Bullocks sold from 356c to 405c/kg. Heavy grown heifers made between 316c and 360c/kg. 

Heavy Friesian manufacturing steers sold between 270c and 330c with the crossbred portion between 305c and 374c/kg. Most light and medium weight cows made from 220c to 288c/kg. Heavy weight cows sold mostly from 270c to 330c/kg. Heavy bulls made between 270c and 330c/kg."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Heifer,400+,Processor,C,2,1,NQ,341.0,341.0,341,NQ,631.5,631.5,631.5,1534.5,1534.5,1534.5
Yearling Heifer,400+,Processor,C,3,30,22,369.0,375.0,371.73333333333335,33.2,658.9,681.8,668.7,1628.0,1660.5,1645.4666666666667
Yearling Heifer,400+,Processor,D,2,7,NQ,290.0,305.0,300.7142857142857,NQ,566.0,586.5,576.8,1305.0,1342.0,1327.2857142857142
Yearling Heifer,400+,Processor,D,3,18,-2,312.0,360.0,333.3333333333333,1.8,588.7,666.7,622.8,1360.0,1643.5,1505.8222249348958
Yearling Heifer,400+,Processor,D,4,2,-8,300.0,300.0,300,3.0,576.9,576.9,576.9,1275.0,1275.0,1275
Yearling Heifer,400+,Restocker,D,2,3,NQ,310.0,310.0,310,NQ,596.2,596.2,596.2,1317.5,1317.5,1317.5
Yearling Heifer,400+,Restocker,D,3,3,2,320.0,320.0,320,2.0,603.8,603.8,603.8,1440.0,1440.0,1440
Yearling Heifer,400+,Restocker,D,4,1,NQ,310.0,310.0,310,NQ,574.1,574.1,574.1,1426.0,1426.0,1426
Vealer Steer,330+,Feeder,B,2,11,-8,348.0,348.0,348,-6.0,621.4,621.4,621.4,1252.8,1252.8,1252.8000710227273
Vealer Steer,330+,Processor,B,3,6,-6,365.0,390.0,373.8333333333333,-2.3,629.3,672.4,644.5,1387.0,1488.0,1466.9166666666667
Vealer Steer,330+,Processor,C,3,1,-5,355.0,355.0,355,14.3,633.9,633.9,633.9,1331.3,1331.3,1331.25
Vealer Steer,330+,Restocker,B,2,2,-2,322.0,322.0,322,-23.5,575.0,575.0,575.0,1094.8,1094.8,1094.800048828125
Vealer Heifer,330+,Feeder,C,2,2,-2,310.0,310.0,310,-3.8,574.1,574.1,574.1,1054.0,1054.0,1054
Vealer Heifer,330+,Processor,B,3,3,-1,372.0,374.0,372.6666666666667,17.7,641.4,656.1,646.3,1488.0,1496.0,1490.6666666666667
Vealer Heifer,330+,Processor,C,3,20,2,320.0,370.0,361,12.9,571.4,660.7,644.6,1152.0,1440.0,1335.5
Vealer Heifer,330+,Restocker,B,2,6,NQ,340.0,340.0,340,NQ,607.1,607.1,607.1,1224.0,1224.0,1224
Manufacturing Steer,0-540,Processor,D,1,2,NQ,293.0,293.0,293,NQ,586.0,586.0,586.0,1318.5,1318.5,1318.5
Manufacturing Steer,0-540,Processor,D,2,19,10,280.0,320.0,297.6842105263158,-3.2,538.5,615.4,585.4,1330.0,1680.0,1447.2368421052631
Manufacturing Steer,0-540,Processor,E,1,4,NQ,220.0,220.0,220,NQ,478.3,478.3,478.3,825.0,825.0,825
Manufacturing Steer,540+,Dairy,D,1,14,-42,270.0,300.0,296.07142857142856,17.1,540.0,625.0,606.4,1650.0,1770.0,1695.5357142857142
Manufacturing Steer,540+,Dairy,D,2,160,30,300.0,330.0,319.31875,15.0,576.9,639.2,608.1,1800.0,2592.0,2361.115625
Manufacturing Steer,540+,Dairy,D,3,10,NC,280.0,290.0,286.5,4.5,528.3,547.2,540.6,2208.8,2380.0,2298.625
Manufacturing Steer,540+,Dairy,E,2,23,2,285.0,296.0,291.2173913043478,15.7,592.0,616.7,600.3,1567.5,1894.4,1671.1913213315217
Manufacturing Steer,540+,Processor,C,2,8,NQ,333.0,333.0,333,NQ,616.7,616.7,616.7,1914.8,1914.8,1914.75
Manufacturing Steer,540+,Processor,C,5,12,NQ,340.0,340.0,340,NQ,618.2,618.2,618.2,3230.0,3230.0,3230
Manufacturing Steer,540+,Processor,D,2,102,-86,305.0,345.0,333.6372549019608,9.8,603.8,650.9,634.7,1753.8,2512.5,2094.752450980392
Manufacturing Steer,540+,Processor,D,3,180,96,330.0,374.0,356.1,13.8,611.1,692.6,662.6,1881.0,2840.0,2385.472222222222
Manufacturing Steer,540+,Processor,D,4,13,1,270.0,341.0,324.3076923076923,52.8,540.0,631.5,608.9,1890.0,2728.0,2437.3076923076924
Manufacturing Steer,540+,Processor,E,2,1,NQ,320.0,320.0,320,NQ,615.4,615.4,615.4,1760.0,1760.0,1760
Manufacturing Steer,540+,Restocker,D,2,10,-3,310.0,346.0,319.2,15.3,596.2,652.8,612.6,1747.2,2015.0,1813.969921875
Grown Steer,500-600,Feeder,C,2,41,NQ,340.0,382.0,364.9756097560976,NQ,629.6,707.4,675.9,1904.0,2292.0,2127.731707317073
Grown Steer,500-600,Processor,B,2,1,NQ,345.0,345.0,345,NQ,616.1,616.1,616.1,1983.8,1983.8,1983.75
Grown Steer,500-600,Processor,C,2,3,-18,334.0,340.0,336,-19.7,618.5,629.6,622.2,1870.0,2004.0,1959.3333333333333
Grown Steer,500-600,Processor,C,3,11,-3,360.0,375.0,362.6363636363636,-8.2,654.5,681.8,659.3,2070.0,2250.0,2151.2727272727275
Grown Steer,500-600,Restocker,C,2,14,11,346.0,346.0,346,3.3,640.7,640.7,640.7,1868.4,1868.4,1868.3999720982142
Grown Steer,500-600,Restocker,D,2,2,NQ,326.0,326.0,326,NQ,626.9,626.9,626.9,1793.0,1793.0,1793
Grown Steer,600-750,Feeder,C,2,24,NQ,356.0,358.0,357,NQ,659.3,663.0,661.1,2314.0,2416.5,2365.25
Grown Steer,600-750,Processor,C,4,146,69,380.0,405.0,396.0890410958904,2.8,678.6,723.2,710.6,2535.0,2985.0,2810.8918022260273
Grown Steer,750+,Processor,C,4,16,2,377.0,398.0,384.875,-10.1,685.5,710.7,694.9,2921.8,3084.5,2982.78125
Grown Heifer,0-540,Dairy,D,1,28,NQ,200.0,270.0,213.92857142857142,NQ,434.8,587.0,461.8,760.0,1350.0,904.2142857142857
Grown Heifer,0-540,Processor,D,1,4,NQ,196.0,196.0,196,NQ,435.6,435.6,435.6,735.0,735.0,735
Grown Heifer,0-540,Processor,D,2,4,NC,270.0,310.0,287.5,10.0,540.0,596.2,569.0,1068.8,1674.0,1290.375
Grown Heifer,0-540,Processor,D,4,2,NQ,295.0,296.0,295.5,NQ,567.3,569.2,568.3,1327.5,1332.0,1329.75
Grown Heifer,0-540,Restocker,D,2,1,-1,290.0,290.0,290,6.0,604.2,604.2,604.2,1450.0,1450.0,1450
Grown Heifer,540+,Dairy,D,2,19,5,280.0,295.0,287.10526315789474,-4.5,583.3,590.0,586.5,1568.0,1652.0,1607.7894736842106
Grown Heifer,540+,Dairy,D,3,1,NQ,310.0,310.0,310,NQ,596.2,596.2,596.2,2092.5,2092.5,2092.5
Grown Heifer,540+,Processor,C,2,10,9,326.0,338.0,335.6,25.6,603.7,625.9,621.5,1874.5,1943.5,1929.7
Grown Heifer,540+,Processor,D,2,59,43,290.0,317.0,307.77966101694915,23.8,557.7,620.0,598.6,1650.0,1981.3,1766.5889830508474
Grown Heifer,540+,Processor,D,3,99,66,316.0,360.0,332.77777777777777,16.8,603.7,666.7,621.6,1769.6,2197.0,1947.0151465830177
Grown Heifer,540+,Processor,D,4,25,-4,290.0,328.0,317.64,10.0,557.7,630.8,608.1,1696.3,2119.5,1990.726015625
Grown Heifer,540+,Restocker,D,2,4,-4,280.0,315.0,288.75,10.0,560.0,630.0,577.5,1540.0,1811.3,1607.8125
Cows,0-400,Dairy,E,1,14,-27,185.0,210.0,200,30.2,462.5,526.3,516.9,693.8,840.0,741.9642857142857
Cows,0-400,Restocker,E,1,4,-27,138.0,148.0,140.5,-14.7,363.2,370.0,364.9,386.4,592.0,437.79998779296875
Cows,400-520,Dairy,E,1,9,-80,236.0,236.0,236,17.4,561.9,561.9,561.9,1180.0,1180.0,1180
Cows,400-520,Dairy,E,2,16,-32,260.0,268.0,267.5,27.7,577.8,595.6,594.4,1273.0,1300.0,1274.6875
Cows,400-520,Processor,D,1,12,-19,260.0,268.0,263.3333333333333,13.1,577.8,595.6,585.2,1170.0,1273.0,1212.9166666666667
Cows,400-520,Processor,D,2,24,15,270.0,288.0,281.75,25.8,574.5,608.5,596.9,1296.0,1456.0,1412.0833333333333
Cows,400-520,Processor,E,1,29,14,220.0,254.0,241.3793103448276,20.8,523.8,577.3,554.3,968.0,1270.0,1124.986227101293
Cows,400-520,Restocker,D,2,9,NQ,292.0,292.0,292,NQ,621.3,621.3,621.3,1460.0,1460.0,1460
Cows,520+,Dairy,D,1,31,16,255.0,266.0,259.1290322580645,16.7,554.3,578.3,567.4,1430.0,1529.5,1463.4242061491937
Cows,520+,Dairy,D,2,54,-29,270.0,290.0,277.962962962963,5.5,574.5,617.0,587.7,1581.3,2025.0,1785.4166666666667
Cows,520+,Dairy,D,3,8,NQ,316.0,316.0,316,NQ,607.7,607.7,607.7,2686.0,2686.0,2686
Cows,520+,Dairy,E,1,44,-15,220.0,260.0,254.79545454545453,19.8,511.4,590.9,580.2,1210.0,1560.0,1450.0227272727273
Cows,520+,Processor,B,3,4,NQ,330.0,330.0,330,NQ,611.1,611.1,611.1,2227.5,2227.5,2227.5
Cows,520+,Processor,C,2,1,-3,305.0,305.0,305,25.0,610.0,610.0,610.0,1753.8,1753.8,1753.75
Cows,520+,Processor,C,3,5,-36,323.0,323.0,323,15.1,621.2,621.2,621.2,2099.5,2099.5,2099.5
Cows,520+,Processor,D,1,8,-22,289.0,289.0,289,37.6,628.3,628.3,628.3,1661.8,1661.8,1661.75
Cows,520+,Processor,D,2,64,-47,275.0,316.0,296.984375,23.4,585.1,644.9,615.8,1485.0,1817.0,1670.078125
Cows,520+,Processor,D,3,56,-25,298.0,318.0,314.5892857142857,31.3,596.0,649.0,636.5,1713.5,2067.0,1947.169642857143
Cows,520+,Processor,D,4,64,-13,310.0,336.0,326.1875,32.1,615.4,656.0,636.2,2015.0,2560.0,2288.0906372070312
Bulls,0-450,Dairy,D,2,2,NQ,250.0,250.0,250,NQ,520.8,520.8,520.8,1100.0,1100.0,1100
Bulls,0-450,Processor,B,2,3,NQ,310.0,325.0,315,NQ,534.5,570.2,546.4,1054.0,1462.5,1190.1666666666667
Bulls,0-450,Processor,C,2,6,NQ,250.0,280.0,272.5,NQ,463.0,518.5,504.6,937.5,1260.0,1067.9166666666667
Bulls,0-450,Processor,C,3,1,NQ,290.0,290.0,290,NQ,517.9,517.9,517.9,1305.0,1305.0,1305
Bulls,0-450,Restocker,C,1,27,NQ,240.0,254.0,247.25925925925927,NQ,500.0,508.0,504.1,840.0,1079.5,964.1851851851852
Bulls,450-600,Dairy,D,2,5,-9,270.0,280.0,274.4,-11.0,540.0,562.5,553.3,1485.0,1610.0,1536.7
Bulls,450-600,Processor,B,2,4,NQ,288.0,310.0,297.5,NQ,505.3,534.5,524.2,1368.0,1860.0,1584
Bulls,450-600,Processor,C,2,4,-6,300.0,320.0,313.75,27.6,535.7,571.4,560.3,1725.0,1840.0,1804.0625
Bulls,450-600,Processor,C,3,5,2,300.0,314.0,306.4,4.7,539.3,560.7,549.1,1491.5,1812.0,1679.660009765625
Bulls,450-600,Processor,D,2,1,-1,270.0,270.0,270,20.0,540.0,540.0,540.0,1350.0,1350.0,1350
Bulls,450-600,Restocker,C,2,6,NQ,288.0,288.0,288,NQ,533.3,533.3,533.3,1368.0,1368.0,1368
Bulls,600+,Dairy,D,1,2,NQ,270.0,279.0,274.5,NQ,562.5,581.3,571.9,1813.5,1890.0,1851.75
Bulls,600+,Dairy,D,2,4,-2,280.0,291.0,286.25,5.1,549.1,570.0,558.7,1820.0,2328.0,2078.125
Bulls,600+,Processor,B,2,9,NQ,318.0,330.0,321.3333333333333,NQ,530.0,555.2,545.8,2093.0,3300.0,2537.5555555555557
Bulls,600+,Processor,C,2,18,-14,290.0,312.0,299.05555555555554,8.6,517.9,547.4,533.5,1917.5,2448.0,2076.5833333333335
Bulls,600+,Processor,C,3,15,-5,290.0,320.0,309.46666666666664,5.9,517.2,557.9,540.4,2015.0,3100.0,2463.9
Bulls,600+,Processor,D,2,1,NQ,295.0,295.0,295,NQ,546.3,546.3,546.3,1917.5,1917.5,1917.5
