Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Gunnedah
Report Date: 09/07/2024
Comparison Date: 
Total Yarding: 1635 (NQ)
Commentary
"Gunnedah penned 1635 mostly good quality cattle 456 less than last week. There were pens of plainer types included in the offering. The cow penning resulted in much dearer trends for that category to top at 299c/kg. There were pens of medium weight yearling steers up to 400c/kg and yearling steers in excess of 500kgs also making to 400c/kg. The regular buyers attended and included an extra cow buyer.

Weaner steers 274c to 402c/kg and the heifer portion 23c/kg dearer 294c to 325c/kg. Light steers to feed 312c to 410c/kg and backgrounders to 407c/kg. Medium feeders sold to strong trends and the heavy categories saw a moderate quality correction. Light background heifers sold to a modest rise however medium weights slipped 16c/kg plainer types affecting averages.

Grown heifers to feed were considerably dearer making to 340c/kg. The same applied to the heavy grown processor heifers which sold to very competitive demand. Cows trends improved with medium weights making to 250c/kg and heavy cows to 22c/kg dearer 260c to 299c/kg.

Stephen Adams MLA"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Cows,400-520,Processor,D,2,42,-1,206.0,250.0,240.5,14.1,447.8,543.5,522.8,1005.3,1237.6,1175.9371570405506
Cows,400-520,Processor,D,3,1,-141,154.0,154.0,154,-85.0,334.8,334.8,334.8,693.0,693.0,693
Cows,520+,Processor,D,2,14,NQ,208.0,244.0,223.07142857142858,NQ,452.2,530.4,484.9,1185.6,1293.2,1228.0857107979912
Cows,520+,Processor,D,3,98,60,226.0,267.0,255.55102040816325,13.6,470.8,556.3,532.4,1265.6,1521.9,1445.9795719068877
Cows,520+,Processor,D,4,303,195,260.0,299.0,280.66996699669966,22.8,520.0,598.0,561.3,1489.6,2037.0,1766.003772093518
Cows,520+,Processor,D,5,13,NQ,278.0,278.0,278,NQ,556.0,556.0,556.0,2085.0,2085.0,2085
Bulls,0-450,Processor,C,2,1,NC,220.0,220.0,220,30.0,407.4,407.4,407.4,748.0,748.0,748
Bulls,600+,Grainfed,B,3,1,NQ,230.0,230.0,230,NQ,383.3,383.3,383.3,1840.0,1840.0,1840
Bulls,600+,Processor,B,2,3,-9,180.0,219.0,202.33333333333334,-41.4,310.3,377.6,344.9,1440.0,1927.2,1746.3999837239583
Bulls,600+,Processor,B,3,26,24,210.0,261.0,239.8846153846154,-10.1,350.0,435.0,399.8,1750.0,2479.5,2101.7730947641226
