Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Echuca
Report Date: 06/11/2024
Comparison Date: 23/10/2024
Total Yarding: 1850 (+110)
Commentary
"Numbers remained high with another 1850 cattle filling the yards to near capacity. There was some stand-out trade steers and heifers of a higher standard than a fortnight ago, while the export run included the usual mix of cows, manufacturing and grown steers. Demand from domestic processors was more energetic, and helped by some outstanding quality, prices averaged dearer after reaching a top of 411c/kg. The main grades of heavy beef cows sold at modestly dearer levels by 3-10c/kg. But there was still some dull spots in the sale, with grown steers, grown heifers and any secondary bred or shaped cattle averaging cheaper compared to the last market at Echuca on October 23.

Competition was keener on good trade cattle, with the lead run mostly in the range of 350c to 380c/kg but with some exceptional Limousin steers and heifers offering high carcass yields pushing above 390c to a top of 411c/kg. The best run of yearling steers in the 400-480kg weight range averaged 365c/kg. Buyers did tend to be weight sensitive and bidding wasn’t as strong on cattle weighing over 520kg. Well bred yearlings and vealers with not quite as much carcass potential or finish from 310c to 345c/kg, with restockers and feeders operating in this price band. Young cattle which sold under 300c/kg tended to be lighter or lack breed quality at 240c to 290c/kg.

The best heavy grown steers were similar to 9c/kg off on some of the bigger types at 320c to 355.6c/kg.  Grown heifers performed around quality at 260 to 320c/kg for most - but noting buyers were selective on plainer shaped grassy types or young females showing signs of being in calf which were discounted down to 240c/kg. 

The cow marked showed consistency at 270c to 290c/kg for most of the lead beef pens, with just occasional sales higher to 306c/kg.  Leaner beef cows 240c to 280c/kg; plainest cows down to 168.6c.

Market reporter: Jenny Kelly"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Heifer,330-400,Processor,D,3,16,-24,265.0,322.0,293.56250190734863,12.6,509.4,607.5,557.6,999.0,1271.9,1108.8196487426758
Yearling Heifer,330-400,Processor,D,4,3,-3,312.0,312.0,312,16.2,588.7,588.7,588.7,1241.8,1241.8,1241.760009765625
Yearling Heifer,330-400,PTIC,D,2,2,NQ,280.0,280.0,280,NQ,538.5,538.5,538.5,1036.0,1036.0,1036
Yearling Heifer,330-400,Restocker,D,2,1,-14,247.6,247.6,247.60000610351562,-5.3,485.5,485.5,485.5,953.3,953.3,953.260009765625
Yearling Heifer,330-400,Restocker,D,3,8,-3,227.6,282.6,275.7250099182129,16.4,446.3,543.5,531.3,785.2,1090.8,1052.6340637207031
Yearling Heifer,400+,Feeder,C,2,5,NC,322.0,322.0,322,7.8,607.5,607.5,607.5,1423.2,1423.2,1423.2400390625
Yearling Heifer,400+,Processor,B,3,13,NQ,365.0,390.0,374.969231238732,NQ,663.6,706.5,677.0,1547.9,1817.4,1691.3661639873799
Yearling Heifer,400+,Processor,C,3,5,-14,335.0,358.0,343,-13.6,609.1,650.9,628.3,1516.5,1700.5,1561.1
Yearling Heifer,400+,Processor,C,4,3,-10,335.0,340.0,338.3333333333333,11.4,620.4,629.6,626.5,1457.3,1615.0,1562.4166666666667
Yearling Heifer,400+,Processor,D,3,40,14,224.0,317.0,277.26500244140624,-19.4,430.8,598.1,528.9,898.2,1401.1,1232.0933349609375
Yearling Heifer,400+,Processor,D,4,1,NC,290.0,290.0,290,40.0,547.2,547.2,547.2,1247.0,1247.0,1247
Yearling Heifer,400+,Restocker,D,3,1,NQ,320.0,320.0,320,NQ,603.8,603.8,603.8,1440.0,1440.0,1440
Vealer Steer,200-280,Processor,D,2,2,NQ,320.2,320.2,320.20001220703125,NQ,640.4,640.4,640.4,870.9,870.9,870.944091796875
Vealer Steer,200-280,Restocker,C,2,5,NQ,380.6,380.6,380.6,NQ,761.2,761.2,761.2,974.3,974.3,974.33603515625
Vealer Steer,200-280,Restocker,E,1,2,NQ,216.5,216.5,216.5,NQ,481.1,481.1,481.1,519.6,519.6,519.5999755859375
Vealer Steer,280-330,Restocker,C,2,3,NQ,326.6,340.6,331.93333943684894,NQ,628.1,655.0,638.3,987.7,1051.5,1028.1266682942708
Vealer Steer,280-330,Restocker,D,2,1,NQ,300.0,300.0,300,NQ,600.0,600.0,600.0,975.0,975.0,975
Vealer Steer,330+,Processor,B,2,9,NQ,340.0,388.2,382.71111382378473,NQ,618.2,693.2,676.5,1156.0,1691.7,1571.1044921875
Vealer Steer,330+,Processor,C,2,1,NQ,340.0,340.0,340,NQ,629.6,629.6,629.6,1190.0,1190.0,1190
Vealer Steer,330+,Processor,C,3,9,8,368.0,378.0,372.6666666666667,24.1,669.1,687.3,677.6,1295.4,1517.0,1390.4022216796875
Vealer Heifer,200-280,Restocker,D,2,9,7,300.6,300.6,300.6000162760417,86.0,601.2,601.2,601.2,688.4,688.4,688.3739691840278
Vealer Heifer,280-330,Processor,C,3,4,NQ,340.0,375.0,366.25,NQ,629.6,681.8,668.8,1037.0,1200.0,1159.25
Vealer Heifer,280-330,Processor,D,3,1,NQ,265.0,265.0,265,NQ,500.0,500.0,500.0,848.0,848.0,848
Vealer Heifer,280-330,Restocker,C,2,1,NQ,252.3,252.3,252.3000030517578,NQ,485.2,485.2,485.2,719.1,719.1,719.0549926757812
Vealer Heifer,280-330,Restocker,C,3,4,NQ,334.2,334.2,334.20001220703125,NQ,630.6,630.6,630.6,939.1,939.1,939.10205078125
Vealer Heifer,280-330,Restocker,D,2,4,NQ,255.0,290.0,268.3499984741211,NQ,510.0,557.7,528.5,780.0,845.5,823.8025054931641
Vealer Heifer,330+,Processor,B,2,3,NQ,380.0,380.0,380,NQ,690.9,690.9,690.9,1406.0,1406.0,1406
Vealer Heifer,330+,Processor,B,3,10,NQ,396.0,396.0,396,NQ,694.7,694.7,694.7,1603.8,1603.8,1603.800048828125
Vealer Heifer,330+,Processor,C,2,1,NQ,312.6,312.6,312.6000061035156,NQ,589.8,589.8,589.8,1094.1,1094.1,1094.0999755859375
Vealer Heifer,330+,Processor,C,3,7,-1,350.0,358.0,353.0857151576451,26.1,648.1,663.0,653.9,1242.5,1492.9,1332.1114327566963
Vealer Heifer,330+,Processor,D,3,5,3,316.6,316.6,316.6000122070312,-1.2,586.3,597.4,592.9,1184.1,1184.1,1184.083984375
Manufacturing Steer,0-540,Dairy,D,2,21,8,250.0,274.2,256.8952404203869,-4.6,510.2,548.4,520.1,1165.0,1392.9,1236.035435267857
Manufacturing Steer,0-540,Feeder,D,2,13,NQ,278.2,278.2,278.2000075120192,NQ,535.0,535.0,535.0,1279.7,1279.7,1279.7201021634614
Manufacturing Steer,0-540,Processor,D,2,13,-3,252.2,252.2,252.19998873197116,0.5,504.4,504.4,504.4,1160.1,1160.1,1160.1199669471155
Manufacturing Steer,0-540,Processor,D,3,25,18,270.0,316.6,304.7760009765625,14.2,519.2,597.4,574.5,1242.0,1709.6,1584.38041015625
Manufacturing Steer,0-540,Restocker,D,2,46,-27,240.0,299.6,271.61304639733356,-13.1,500.0,599.2,537.9,708.0,1597.5,1141.164163340693
Manufacturing Steer,0-540,Restocker,D,3,1,NQ,280.0,280.0,280,NQ,538.5,538.5,538.5,1344.0,1344.0,1344
Manufacturing Steer,0-540,Restocker,E,2,4,NQ,220.0,220.0,220,NQ,431.4,431.4,431.4,968.0,968.0,968
Manufacturing Steer,540+,Dairy,D,2,25,-10,265.0,295.0,281.927998046875,5.6,530.0,578.4,555.7,1550.3,1725.8,1691.0183984375
Manufacturing Steer,540+,Dairy,D,3,7,-14,260.0,292.0,278.2857142857143,-32.4,500.0,550.9,529.1,1638.0,1868.8,1769.8857421875
