Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Shepparton
Report Date: 11/02/2025
Comparison Date: 04/02/2025
Total Yarding: 1600 (+80)
Commentary
"There were 1200 exports of that 760 were cows, with the majority of those being beefies. There was a good mix of buyers and 455 trade cattle were also penned. Quality is becoming very mixed due to the hot, dry, rainless conditions and scarcity of dry feed within the surrounding areas and much of Victoria. 

A large percentage of the young cattle were light weighted calves, straight off cows, weighing 200 to 285kg live weight. The best of the heavier vealers made from 297c to 359c/kg. There were a few excellent pens of supplementary fed steers and heifers that made from 332c to 398c/kg. The top of the finished grain lots sold at dearer rates, plainer cattle had mixed interest depending on weight. The yearling heifer portion to the trade made from 310c to 392c/kg to average 345c/kg. 

Not as many bullocks on show this sale as the export numbers consisted mainly of cows. Feedlotters had very limited pickings in the heavy cattle section. The grown steers and bullocks with some quality and finnish sold at dearer rates of 15c/kg. Steers under 500kg reached 378c/kg, the 500 to 600kg steers to processors made from 327c to a top of 359c/kg, while the 600kg plus bullocks ranged from 316c to 372c/kg. The beef cows showed mixed pricing trends with the heavy types making from 261c to 294c/kg.  The dairy cows ranged from 215c to 268c/kg."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Restocker,C,2,6,NQ,273.0,273.0,273,NQ,535.3,535.3,535.3,791.7,791.7,791.7000325520834
Yearling Steer,280-330,Restocker,D,1,4,NQ,239.0,239.0,239,NQ,487.8,487.8,487.8,788.7,788.7,788.7000122070312
Yearling Steer,330-400,Feeder,C,1,7,-7,300.0,300.0,300,7.7,576.9,576.9,576.9,1020.0,1020.0,1020
Yearling Steer,330-400,Processor,C,3,9,-3,350.0,398.0,375.3333333333333,39.4,660.4,737.0,689.2,1347.5,1532.3,1457.7000054253472
Yearling Steer,330-400,Restocker,C,1,9,NQ,297.0,359.0,345.22222222222223,NQ,571.2,690.4,663.9,1143.4,1256.5,1231.3777669270833
Yearling Steer,330-400,Restocker,D,1,7,-11,290.0,296.0,292.2857142857143,17.5,561.5,592.0,573.3,1012.3,1058.5,1039.0485665457588
Yearling Steer,400+,Feeder,D,1,6,NQ,286.0,286.0,286,NQ,560.8,560.8,560.8,1272.7,1272.7,1272.699951171875
Yearling Steer,400+,Processor,B,2,6,2,397.0,397.0,397,27.0,708.9,708.9,708.9,1778.6,1778.6,1778.56005859375
Yearling Steer,400+,Processor,C,3,12,3,332.0,332.0,332,-16.8,626.4,626.4,626.4,1411.0,1411.0,1411
Yearling Heifer,200-280,Restocker,D,1,12,NQ,275.0,275.0,275,NQ,550.0,550.0,550.0,701.3,701.3,701.25
Yearling Heifer,280-330,Restocker,D,1,2,-2,180.0,180.0,180,-58.0,383.0,383.0,383.0,594.0,594.0,594
Yearling Heifer,330-400,Feeder,D,1,9,NQ,274.0,274.0,274,NQ,559.2,559.2,559.2,945.3,945.3,945.3000217013889
