Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Armidale
Report Date: 21/03/2024
Comparison Date: 14/03/2024
Total Yarding: 315 (-715)
Commentary
"This sale was scheduled in the off week to avoid clashing with Easter. There was a greatly reduced supply with quality and condition very mixed. All categories were represented however there were not many straight lines. There was a reduced buying presence with the lack of numbers contributing to that.

There were not many positive market trends through the young cattle where quality was a factor. A small number of weaner steers to restockers remained firm while the heifer portion were cheaper. Yearling steers to restock and feed were considerably cheaper with quality the lack of supply and restricted competition factors. The market trend for yearling heifers took the greatest hit with prices for all those going to restock and feed significantly cheaper.

Heavy grown steers sold to cheaper trends. A small number of well finished grown heifers sold to a slightly dearer trend. There was little change in the cow market when taking quality into account."
Vealer Steer,280-330,Restocker,C,2,5,NC,348.0,348.0,348,42.8,669.2,669.2,669.2,991.8,991.8,991.8
Vealer Heifer,200-280,Processor,C,2,1,NQ,150.0,150.0,150,NQ,288.5,288.5,288.5,322.5,322.5,322.5
Vealer Heifer,200-280,Restocker,C,2,4,-18,220.0,222.0,220.5,-13.3,423.1,426.9,424.0,462.0,621.6,501.8999938964844
Manufacturing Steer,540+,Processor,C,3,1,NQ,250.0,250.0,250,NQ,463.0,463.0,463.0,1912.5,1912.5,1912.5
Grown Steer,0-400,Processor,C,2,1,NQ,240.0,240.0,240,NQ,461.5,461.5,461.5,960.0,960.0,960
Grown Steer,400-500,Feeder,C,2,4,2,260.0,274.0,268,-64.0,500.0,526.9,515.4,1092.0,1328.9,1267.4500122070312
Grown Steer,400-500,Processor,C,3,3,NQ,266.0,266.0,266,NQ,492.6,492.6,492.6,1330.0,1330.0,1330
Grown Steer,500-600,Feeder,C,3,14,13,270.0,281.0,274.7142857142857,-15.3,500.0,520.4,508.7,1431.0,1573.6,1492.1142578125
Grown Steer,500-600,Processor,C,2,1,NQ,230.0,230.0,230,NQ,425.9,425.9,425.9,1265.0,1265.0,1265
Grown Steer,600-750,Processor,C,4,6,NQ,268.0,268.0,268,NQ,496.3,496.3,496.3,1876.0,1876.0,1876
Grown Heifer,0-540,Feeder,C,2,3,2,216.0,216.0,216,-74.0,415.4,415.4,415.4,972.0,972.0,972
Grown Heifer,0-540,Feeder,C,3,5,-6,260.0,270.0,268,17.3,500.0,519.2,515.4,1296.0,1350.0,1307.6
Grown Heifer,0-540,Processor,C,2,1,NC,230.0,230.0,230,10.0,442.3,442.3,442.3,1196.0,1196.0,1196
Grown Heifer,0-540,Processor,C,3,6,-17,253.0,255.0,253.33333333333334,30.5,486.5,490.4,487.2,1236.8,1340.9,1323.5416666666667
Grown Heifer,0-540,Processor,C,4,6,5,269.0,269.0,269,19.0,507.5,507.5,507.5,1345.0,1398.8,1389.8333333333333
Grown Heifer,0-540,Processor,D,3,1,-16,200.0,200.0,200,-11.5,400.0,400.0,400.0,820.0,820.0,820
Grown Heifer,0-540,Restocker,D,2,7,NQ,160.0,160.0,160,NQ,320.0,320.0,320.0,680.0,680.0,680
Grown Heifer,540+,Processor,C,3,11,7,254.0,268.0,262.90909090909093,12.9,488.5,515.4,505.6,1422.4,1500.8,1447.2818381569602
Cows,400-520,Processor,D,2,12,4,80.0,212.0,163,-8.5,177.8,471.1,362.2,336.0,1060.0,777.6166687011719
Cows,400-520,Processor,D,3,5,-53,200.0,214.0,204.6,8.1,425.5,455.3,435.3,954.1,1005.8,967.6199584960938
Cows,400-520,Processor,D,5,2,NQ,200.0,200.0,200,NQ,425.5,425.5,425.5,970.0,970.0,970
Cows,400-520,Restocker,D,2,16,-93,175.0,208.0,194.5625,3.6,388.9,462.2,432.4,787.5,988.0,888.84375
Cows,520+,Processor,D,3,9,-27,201.0,225.0,215.22222222222223,9.7,427.7,468.8,455.7,1085.4,1237.5,1174.4333360460068
Cows,520+,Processor,D,4,6,-72,210.0,222.0,214.83333333333334,-4.9,437.5,452.1,441.4,1260.0,1420.8,1316.0333455403645
Bulls,450-600,Processor,C,2,1,NQ,190.0,190.0,190,NQ,351.9,351.9,351.9,988.0,988.0,988
Bulls,600+,Processor,B,2,3,-2,210.0,224.0,216.33333333333334,-9.9,375.0,400.0,386.3,1720.0,1971.2,1825.3999837239583
Bulls,600+,Processor,C,2,7,-11,170.0,210.0,198.57142857142858,-12.3,314.8,388.9,367.7,1292.0,2068.5,1660.7571498325892
