Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: IRLX Inverell
Report Date: 16/07/2024
Comparison Date: 09/07/2024
Total Yarding: 1004 (-74)
Commentary
"Inverell penned 1004 good quality cattle with a larger offering of cows available.Trends improved throughout particularly with the cow category which saw a very marked improvement to top at 312c/kg. 

Steers to background gained 13c/kg and steers under 330kgs also to backgrounders competition sold to 11c/kg better. Medium weight steers to feed on were significantly dearer gaining 28c/kg. Heavy yearling steers to feed to a positive trend 328c to 336/kg. Light background heifers lost 8c/kg due to a quality correction however similar weight feeders were up to 20c/kg dearer ranging 270c to 296c/kg. Medium feeders were 13c/kg back.The same weight heifers to process made 335/kg.

Heavy grown steers for processing rose 6c/kg and topped at 320c/kg with similar heifers also dearer 206c to 294c/kg. The cow market dearer medium cows 175c to 274c/kg. Heavy three and four score cows exceptionally dearer 280c to 312c/kg. Bulls sold to dearer trends topping at 272c/kg.

Stephen  Adams MLA"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Cows,400-520,Processor,D,2,32,NQ,175.0,274.0,229.03125,NQ,380.4,595.7,497.9,840.0,1424.8,1142.1124954223633
Cows,400-520,Processor,D,3,3,-2,250.0,250.0,250,12.2,520.8,520.8,520.8,1250.0,1250.0,1250
Cows,400-520,Processor,E,2,4,NQ,230.0,230.0,230,NQ,500.0,500.0,500.0,1150.0,1150.0,1150
Cows,400-520,Restocker,D,2,17,5,198.0,198.0,198,-38.0,430.4,430.4,430.4,910.8,910.8,910.7999770220588
Cows,520+,Processor,D,2,51,NQ,236.0,269.0,255.66666666666666,NQ,513.0,584.8,555.8,1250.8,1470.6,1428.0784241919423
Cows,520+,Processor,D,3,142,NQ,260.0,299.0,281.38028169014086,NQ,541.7,622.9,587.2,1399.2,1885.0,1638.6647811674736
Cows,520+,Processor,D,4,104,45,280.0,312.0,303.75,35.2,560.0,624.0,607.5,1624.0,2059.2,1901.0663358248198
Cows,520+,Processor,E,3,4,NQ,283.0,283.0,283,NQ,589.6,589.6,589.6,1698.0,1698.0,1698
Bulls,0-450,Feeder,B,2,2,NQ,210.0,210.0,210,NQ,388.9,388.9,388.9,798.0,798.0,798
Bulls,0-450,Processor,C,2,2,NQ,230.0,230.0,230,NQ,425.9,425.9,425.9,713.0,713.0,713
Bulls,0-450,Restocker,C,2,7,3,300.0,300.0,300,26.0,555.6,555.6,555.6,780.0,780.0,780
Bulls,450-600,Processor,B,2,2,NQ,236.0,236.0,236,NQ,437.0,437.0,437.0,1298.0,1298.0,1298
Bulls,600+,Processor,B,2,5,-1,230.0,255.0,241,-3.0,396.6,439.7,415.5,1586.0,2041.6,1767.7199951171874
Bulls,600+,Processor,B,3,12,NQ,238.0,272.0,257,NQ,396.7,453.3,428.3,1876.0,2670.0,2232.683308919271
