Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: HRLX Singleton
Report Date: 18/09/2024
Comparison Date: 11/09/2024
Total Yarding: 634 (+16)
Commentary
"With light frosts still occurring throughout the drawing area agents yarded 634 cattle similar numbers to last week. Quality was fair, not all of the regular processing orders were at the rail whilst there was a greater selection of high yielding grain assisted Butcher calves on offer and the highlight of the day were the best of these topping at 400c/kg. There were very few export cattle in the yarding the balance made up of very mixed yearlings and some bigger lines of well-bred weaners.

 Light steer weaners were 3c to 7c/kg dearer selling from 324c to 468c/kg the few over 330kg making from 336c to 428c/kg. Light heifer weaners held firm selling from 270c to 338c/kg B muscles to 340c/kg. Heavier types over 330kg 300c to 348c/kg with trade butcher heifer calves making up to 380c/kg.

Too few yearlings mainly sold in singles to gain a real feel for the market however medium weight heifers to the lot feeders sold to dearer trends trading from 246c to 352c/kg. 2 score Cows only medium frame 198c to 272c/kg, the odd heavy prime Cow 270c to 290c/kg. The best heavy Bull made 260c/kg.

Angus Barlow for MLA at Singleton."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Processor,C,3,1,NQ,338.0,338.0,338,NQ,637.7,637.7,637.7,1064.7,1064.7,1064.699951171875
Yearling Steer,330-400,Feeder,C,2,3,-2,270.0,414.0,366,-34.0,519.2,796.2,703.8,985.5,1449.0,1294.5
Yearling Steer,330-400,Feeder,C,3,4,-2,398.0,398.0,398,40.0,750.9,750.9,750.9,1412.9,1412.9,1412.9000244140625
Yearling Steer,330-400,Processor,B,3,3,NQ,374.0,374.0,374,NQ,692.6,692.6,692.6,1309.0,1309.0,1309
Yearling Steer,330-400,Restocker,C,3,3,-15,390.0,390.0,390,18.0,735.8,735.8,735.8,1384.5,1384.5,1384.5
Yearling Steer,400+,Feeder,C,2,3,-22,364.0,364.0,364,19.6,700.0,700.0,700.0,1692.6,1692.6,1692.5999348958333
Yearling Steer,400+,Feeder,C,3,2,-6,346.0,346.0,346,29.5,652.8,652.8,652.8,1487.8,1487.8,1487.800048828125
Yearling Steer,400+,Restocker,C,3,1,NQ,350.0,350.0,350,NQ,660.4,660.4,660.4,1417.5,1417.5,1417.5
Yearling Heifer,280-330,Restocker,C,2,1,NQ,230.0,230.0,230,NQ,451.0,451.0,451.0,701.5,701.5,701.5
Yearling Heifer,330-400,Feeder,C,2,5,4,226.0,326.0,285.2,-44.8,452.0,639.2,560.3,768.4,1175.3,1011.860009765625
Yearling Heifer,330-400,Feeder,C,3,20,17,246.0,352.0,327.2,25.9,464.2,664.2,617.4,861.0,1237.5,1134.2650085449218
Yearling Heifer,330-400,Processor,C,3,8,NQ,238.0,344.0,316.5,NQ,457.7,649.1,596.4,844.9,1221.2,1123.5749816894531
Yearling Heifer,330-400,Restocker,C,3,7,NQ,298.0,298.0,298,NQ,562.3,562.3,562.3,1013.2,1013.2,1013.1999860491071
Yearling Heifer,400+,Feeder,C,3,2,-9,292.0,332.0,312,-13.8,561.5,626.4,594.0,1357.8,1460.8,1409.300048828125
Yearling Heifer,400+,Processor,C,4,6,NQ,334.0,334.0,334,NQ,618.5,618.5,618.5,1469.6,1503.0,1491.8666585286458
Vealer Steer,0-200,Restocker,C,2,22,17,300.0,420.0,372,-55.6,600.0,823.5,741.1,510.0,756.0,632.5773037997159
Vealer Steer,200-280,Restocker,B,2,6,NQ,366.0,366.0,366,NQ,690.6,690.6,690.6,969.9,969.9,969.9000651041666
Vealer Steer,200-280,Restocker,C,2,65,-51,324.0,468.0,418,7.8,623.1,936.0,812.0,849.2,1240.3,1046.0526113656852
Vealer Steer,280-330,Feeder,C,2,15,NQ,430.0,430.0,430,NQ,826.9,826.9,826.9,1367.4,1367.4,1367.4
Vealer Steer,280-330,Restocker,B,2,1,NQ,380.0,380.0,380,NQ,717.0,717.0,717.0,1140.0,1140.0,1140
Vealer Steer,280-330,Restocker,B,3,4,1,388.0,388.0,388,-14.0,746.2,746.2,746.2,1105.8,1105.8,1105.800048828125
Vealer Steer,280-330,Restocker,C,2,55,45,372.0,462.0,429.1272727272727,3.1,715.4,871.7,821.0,1196.6,1388.8,1321.0291370738637
Vealer Steer,280-330,Restocker,C,3,9,-17,360.0,372.0,362.6666666666667,-73.0,692.3,701.9,694.4,1134.0,1153.2,1138.2666558159722
Vealer Steer,330+,Feeder,C,2,15,NQ,424.0,424.0,424,NQ,815.4,815.4,815.4,1568.8,1568.8,1568.8
Vealer Steer,330+,Processor,B,3,2,-2,374.0,400.0,387,13.0,680.0,701.8,690.9,1271.6,1460.0,1365.7999877929688
Vealer Steer,330+,Restocker,B,3,4,NQ,384.0,384.0,384,NQ,698.2,698.2,698.2,1401.6,1401.6,1401.5999755859375
Vealer Steer,330+,Restocker,C,2,9,NQ,348.0,404.0,377.55555555555554,NQ,669.2,776.9,726.1,1230.8,1414.0,1332.5777994791667
Vealer Steer,330+,Restocker,C,3,11,4,336.0,428.0,397.09090909090907,29.9,634.0,807.5,749.2,1125.6,1540.8,1446.0727761008523
Vealer Heifer,0-200,Restocker,C,2,14,-8,252.0,336.0,300.57142857142856,-12.5,494.1,658.8,592.4,459.0,638.4,557.44287109375
Vealer Heifer,200-280,Restocker,B,2,5,2,340.0,340.0,340,18.0,653.8,653.8,653.8,867.0,867.0,867
Vealer Heifer,200-280,Restocker,B,3,8,4,326.0,326.0,326,-20.0,615.1,615.1,615.1,880.2,880.2,880.2000122070312
Vealer Heifer,200-280,Restocker,C,2,73,-22,270.0,338.0,321.2054794520548,-0.1,519.2,672.0,623.4,662.4,907.2,797.2863083930865
Vealer Heifer,200-280,Restocker,C,3,3,-2,332.0,332.0,332,12.0,638.5,638.5,638.5,879.8,879.8,879.7999674479166
Vealer Heifer,280-330,Restocker,C,2,5,NQ,300.0,306.0,302.4,NQ,576.9,588.5,581.5,887.4,900.0,894.960009765625
Vealer Heifer,280-330,Restocker,C,3,21,NQ,320.0,342.0,332.57142857142856,NQ,615.4,657.7,639.6,960.0,1043.1,1007.4856770833334
