Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Shepparton
Report Date: 29/10/2024
Comparison Date: 22/10/2024
Total Yarding: 1800 (-200)
Commentary
"The numbers were back slightly, however the quality of the export run improved significantly as greater numbers of finished heavy bullocks were offered. There were 1300 exports and 565 trade cattle penned. Returning export operators kept the bidding spirited and prices for the majority of the heavy cattle showed a firm to dearer trend. 

The trade cattle were a mix of both finished and under done types. Feedlotters and store buyers picked through the offering. The best of the vealers made to 387c/kg. The yearling steers to the trade ranged from 325c to 370c/kg. The yearling heifer portion made from 265c to 345c/kg to average 326c/kg. 

The 500 to 600kg steers attracted both the feedlotter and processor interest and prices strengthened for the better bred and finished lines. The C3 and C4’s made from 305c to 370c/kg, while the heavy bullocks over 600kg, with several lots well over the 700kg mark, making from 280c to 370c/kg, with the majority around 340c/kg. The grown heifers reached 344c/kg. There were greater numbers of Friesian steers and the heavier end made from 254c to 301c/kg. Heavy beef cows made from 280c to 298c/kg. The dairy portion ranged from 235c to 266c/kg."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Manufacturing Steer,540+,Dairy,D,3,2,NQ,280.0,280.0,280,NQ,538.5,538.5,538.5,2310.0,2310.0,2310
Grown Steer,400-500,Feeder,C,2,7,-8,270.0,270.0,270,-45.0,519.2,519.2,519.2,1174.5,1174.5,1174.5
Grown Steer,400-500,Feeder,D,2,26,NQ,290.0,302.0,296.9230769230769,NQ,568.6,592.2,582.2,1348.5,1404.3,1380.6923076923076
Grown Steer,400-500,Processor,C,2,22,NQ,313.0,329.0,320.27272727272725,NQ,601.9,620.8,610.5,1480.5,1518.1,1500.9818892045455
Grown Steer,400-500,Processor,C,3,18,10,335.0,336.0,335.44444444444446,20.4,620.4,634.0,626.4,1495.2,1591.3,1548.5610894097222
Grown Steer,400-500,Processor,C,4,87,NQ,325.0,360.0,329.5402298850575,NQ,613.2,666.7,619.9,1462.5,1796.4,1523.8770092492816
Grown Steer,500-600,Processor,C,3,75,1,305.0,370.0,334.48,-2.0,586.5,672.7,630.2,1642.2,1979.5,1834.77091796875
Grown Steer,500-600,Processor,C,4,14,NC,342.0,352.0,347,21.9,645.3,651.9,648.6,1863.9,1918.4,1891.1499720982142
Grown Steer,600-750,Processor,C,2,2,NQ,280.0,280.0,280,NQ,538.5,538.5,538.5,1778.0,1778.0,1778
Grown Steer,600-750,Processor,C,3,41,35,324.0,335.0,331.9756097560976,32.0,611.3,632.1,622.7,2029.5,2160.8,2111.491449123476
Grown Steer,600-750,Processor,C,4,81,47,316.0,370.0,343.34567901234567,-9.2,596.2,685.2,639.3,2128.5,2534.5,2370.4814814814813
Grown Steer,750+,Processor,C,2,3,NQ,330.0,330.0,330,NQ,622.6,622.6,622.6,2491.5,2491.5,2491.5
Grown Heifer,0-540,Dairy,D,1,11,6,246.0,246.0,246,-24.0,502.0,502.0,502.0,1217.7,1217.7,1217.6999289772727
Grown Heifer,0-540,Feeder,D,1,11,NQ,285.0,285.0,285,NQ,558.8,558.8,558.8,1453.5,1453.5,1453.5
Grown Heifer,0-540,Feeder,D,2,3,NQ,322.0,322.0,322,NQ,631.4,631.4,631.4,1400.7,1400.7,1400.6998697916667
Grown Heifer,0-540,Processor,C,4,36,8,320.0,344.0,331.9166666666667,14.6,603.8,637.0,619.0,1680.0,1840.4,1753.0736219618057
Grown Heifer,0-540,Processor,D,3,10,-7,316.0,316.0,316,21.8,596.2,596.2,596.2,1611.6,1611.6,1611.6
Grown Heifer,0-540,Processor,D,4,15,NQ,290.0,290.0,290,NQ,557.7,557.7,557.7,1551.5,1551.5,1551.5
Grown Heifer,540+,Dairy,D,1,3,-6,241.0,241.0,241,-39.0,472.5,472.5,472.5,1325.5,1325.5,1325.5
Grown Heifer,540+,Dairy,D,3,2,NQ,296.0,296.0,296,NQ,569.2,569.2,569.2,1998.0,1998.0,1998
Grown Heifer,540+,Feeder,D,3,5,NQ,307.0,307.0,307,NQ,602.0,602.0,602.0,1673.2,1673.2,1673.15
Grown Heifer,540+,Processor,C,3,2,-8,332.0,332.0,332,-4.0,626.4,626.4,626.4,1809.4,1809.4,1809.4000244140625
Grown Heifer,540+,Processor,D,3,4,NQ,332.0,332.0,332,NQ,626.4,626.4,626.4,1869.2,1869.2,1869.1600341796875
Grown Heifer,540+,Processor,D,4,2,NQ,326.0,326.0,326,NQ,615.1,615.1,615.1,1776.7,1776.7,1776.699951171875
Cows,400-520,Dairy,D,1,25,-33,226.0,255.0,243.4,18.7,525.6,554.3,542.8,1141.3,1287.8,1229.17
Cows,400-520,Dairy,D,2,6,NC,228.0,228.0,228,-4.0,506.7,506.7,506.7,1037.4,1037.4,1037.4000651041667
