Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Shepparton
Report Date: 14/01/2025
Comparison Date: 07/01/2025
Total Yarding: 2880 (+1430)
Commentary
"Numbers jumped significantly as 1870 exports and 955 trade cattle were penned amongst the exports were 870 cows. There was a much larger gallery of buyers this week. The shear swell of numbers coming out across the states took its toll on prices as most grades of stock lost some of the ground from last week’s opening bids.  The trade cattle quality was very mixed, as a lot of under done or plainer bred cattle were presented. 

Young cattle received a lot of attention from feedlotters and store buyers, with the heavier weighted steers and heifers attracting the most competition, helping buffer any price falls. Trade cattle to kill were 5c to 15c/kg back. Vealers were scarce. Processors struggled to find quality. The yearling steers ranged from 330c to 370c/kg lwt, while the heifer portion made from 305c to 366c/kg. 

The Friesian steers reached a top of 330c/kg for some excellent covered and shaped types, the majority made between 260c to 310c/kg. The grown cattle 500 to 600kg  made from 312c to 370c/kg to be 9c/kg back. The 600kg plus bullocks ranged from 317c to 372c/kg to average 360c/kg, which was 17c/kg back on last week. Heavy beef cows were 6c to 8c/kg cheaper and made from 290c to 320c/kg to av 310c/kg. The heavy dairy portion were 3c to 6c/kg down and made from 230c to 296c/kg."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,D,1,5,1,278.0,278.0,278,47.0,567.3,567.3,567.3,764.5,764.5,764.5
Yearling Steer,280-330,Dairy,D,1,14,NQ,230.0,260.0,245,NQ,479.2,541.7,510.4,747.5,845.0,796.25
Yearling Steer,280-330,Processor,B,2,1,NQ,355.0,355.0,355,NQ,657.4,657.4,657.4,1153.8,1153.8,1153.75
Yearling Steer,330-400,Dairy,D,1,12,NQ,255.0,255.0,255,NQ,520.4,520.4,520.4,981.8,981.8,981.75
Yearling Steer,330-400,Feeder,C,1,3,-13,333.0,333.0,333,-14.5,628.3,628.3,628.3,1315.3,1315.3,1315.3499348958333
Yearling Steer,330-400,Feeder,C,2,31,NQ,321.0,340.0,330.8709677419355,NQ,605.7,641.5,628.9,1107.4,1270.5,1183.311271421371
Yearling Steer,330-400,Processor,B,1,1,NQ,370.0,370.0,370,NQ,698.1,698.1,698.1,1276.5,1276.5,1276.5
Yearling Steer,330-400,Processor,C,1,7,NQ,350.0,350.0,350,NQ,660.4,660.4,660.4,1347.5,1347.5,1347.5
Yearling Steer,330-400,Processor,C,2,6,-12,330.0,330.0,330,-6.1,622.6,622.6,622.6,1105.5,1105.5,1105.5
Yearling Steer,330-400,Processor,C,3,5,4,340.0,340.0,340,-30.0,641.5,641.5,641.5,1241.0,1241.0,1241
Yearling Steer,330-400,Restocker,C,1,17,-4,323.0,360.0,342.47058823529414,7.0,621.2,692.3,663.7,1114.3,1278.0,1168.8588436351104
Yearling Steer,330-400,Restocker,D,1,23,NQ,280.0,338.0,294.3478260869565,NQ,560.0,650.0,587.6,952.0,1199.9,1073.5000265370245
