Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Shepparton
Report Date: 14/01/2025
Comparison Date: 07/01/2025
Total Yarding: 2880 (+1430)
Commentary
"Numbers jumped significantly as 1870 exports and 955 trade cattle were penned amongst the exports were 870 cows. There was a much larger gallery of buyers this week. The shear swell of numbers coming out across the states took its toll on prices as most grades of stock lost some of the ground from last week’s opening bids.  The trade cattle quality was very mixed, as a lot of under done or plainer bred cattle were presented. 

Young cattle received a lot of attention from feedlotters and store buyers, with the heavier weighted steers and heifers attracting the most competition, helping buffer any price falls. Trade cattle to kill were 5c to 15c/kg back. Vealers were scarce. Processors struggled to find quality. The yearling steers ranged from 330c to 370c/kg lwt, while the heifer portion made from 305c to 366c/kg. 

The Friesian steers reached a top of 330c/kg for some excellent covered and shaped types, the majority made between 260c to 310c/kg. The grown cattle 500 to 600kg  made from 312c to 370c/kg to be 9c/kg back. The 600kg plus bullocks ranged from 317c to 372c/kg to average 360c/kg, which was 17c/kg back on last week. Heavy beef cows were 6c to 8c/kg cheaper and made from 290c to 320c/kg to av 310c/kg. The heavy dairy portion were 3c to 6c/kg down and made from 230c to 296c/kg."
Yearling Steer,400+,Feeder,C,2,10,NQ,352.0,352.0,352,NQ,676.9,676.9,676.9,1425.6,1425.6,1425.6
Yearling Steer,400+,Processor,B,2,1,-5,355.0,355.0,355,-6.7,645.5,645.5,645.5,1615.3,1615.3,1615.25
Yearling Steer,400+,Processor,C,2,9,NQ,335.0,335.0,335,NQ,632.1,632.1,632.1,1366.8,1366.8,1366.800021701389
Yearling Steer,400+,Processor,C,3,9,-5,342.0,355.0,353.55555555555554,-19.1,645.3,657.4,656.1,1419.3,1473.3,1467.2555609809028
Yearling Heifer,280-330,Processor,D,3,6,NQ,299.0,300.0,299.3333333333333,NQ,575.0,576.9,575.6,986.7,990.0,987.8000081380209
Yearling Heifer,280-330,Restocker,D,1,23,17,249.0,270.0,253.56521739130434,32.6,508.2,551.0,517.5,821.7,850.5,827.9608950407609
Yearling Heifer,330-400,Feeder,C,1,23,NQ,332.0,358.0,343.30434782608694,NQ,651.0,688.5,667.3,1112.2,1288.8,1188.9825917119565
Yearling Heifer,330-400,Feeder,C,2,13,NQ,313.0,313.0,313,NQ,601.9,601.9,601.9,1236.3,1236.3,1236.3499849759614
Yearling Heifer,330-400,Feeder,D,2,17,NQ,332.0,332.0,332,NQ,651.0,651.0,651.0,1311.4,1311.4,1311.4000459558824
Yearling Heifer,330-400,Feeder,D,3,6,NQ,317.0,317.0,317,NQ,609.6,609.6,609.6,1061.9,1061.9,1061.949951171875
Yearling Heifer,330-400,Processor,C,2,3,1,338.0,348.0,344.6666666666667,14.7,637.7,656.6,650.3,1235.4,1267.5,1246.1000162760417
Yearling Heifer,330-400,Processor,C,3,15,-14,335.0,366.0,346.06666666666666,-28.8,632.1,690.6,653.0,1222.8,1409.1,1282.6633463541666
Yearling Heifer,330-400,Processor,D,2,9,NQ,265.0,290.0,276.1111111111111,NQ,509.6,557.7,531.0,927.5,1116.5,1011.5
Yearling Heifer,330-400,Processor,D,3,31,-29,320.0,335.0,331.61290322580646,12.1,603.8,644.2,635.8,1136.0,1189.3,1174.032258064516
Yearling Heifer,330-400,Restocker,C,1,6,NQ,313.0,313.0,313,NQ,601.9,601.9,601.9,1048.6,1048.6,1048.550048828125
Yearling Heifer,330-400,Restocker,D,1,66,NQ,249.0,335.0,270.09090909090907,NQ,508.2,656.9,546.3,884.0,1189.3,955.1545632102273
Yearling Heifer,400+,Feeder,C,2,10,NQ,320.0,320.0,320,NQ,615.4,615.4,615.4,1344.0,1344.0,1344
Yearling Heifer,400+,Feeder,D,2,6,NQ,280.0,280.0,280,NQ,538.5,538.5,538.5,1162.0,1162.0,1162
Yearling Heifer,400+,Feeder,D,3,2,NQ,315.0,315.0,315,NQ,605.8,605.8,605.8,1307.3,1307.3,1307.25
Yearling Heifer,400+,Processor,C,2,10,NQ,342.0,342.0,342,NQ,633.3,633.3,633.3,1556.1,1556.1,1556.1
Yearling Heifer,400+,Processor,C,3,1,-15,330.0,330.0,330,-32.5,622.6,622.6,622.6,1402.5,1402.5,1402.5
Yearling Heifer,400+,Processor,D,2,7,NQ,300.0,300.0,300,NQ,588.2,588.2,588.2,1350.0,1350.0,1350
Yearling Heifer,400+,Processor,D,3,22,NQ,305.0,320.0,312.3636363636364,NQ,586.5,615.4,600.7,1265.8,1440.0,1330.5772816051137
Vealer Steer,330+,Feeder,B,1,6,NQ,377.0,377.0,377,NQ,725.0,725.0,725.0,1262.9,1262.9,1262.949951171875
Manufacturing Steer,0-540,Dairy,D,1,49,30,260.0,270.0,262.6938775510204,5.7,524.0,551.0,530.4,1313.0,1390.5,1358.8163265306123
Manufacturing Steer,0-540,Dairy,D,3,11,NQ,298.0,298.0,298,NQ,596.0,596.0,596.0,1594.3,1594.3,1594.3000710227273
Manufacturing Steer,0-540,Processor,D,1,13,NQ,282.0,282.0,282,NQ,564.0,564.0,564.0,1226.7,1226.7,1226.699969951923
Manufacturing Steer,0-540,Processor,D,3,12,NQ,310.0,310.0,310,NQ,596.2,596.2,596.2,1395.0,1395.0,1395
Manufacturing Steer,540+,Dairy,D,1,48,31,290.0,302.0,292.875,-10.1,580.0,595.9,587.1,1591.4,2159.3,1663.0625406901042
Manufacturing Steer,540+,Dairy,D,2,2,-34,280.0,280.0,280,-30.0,538.5,538.5,538.5,2002.0,2002.0,2002
Manufacturing Steer,540+,Dairy,D,3,7,NQ,290.0,330.0,312.85714285714283,NQ,557.7,622.6,594.8,1638.5,1798.5,1729.9285714285713
Manufacturing Steer,540+,Processor,D,1,6,NQ,288.0,288.0,288,NQ,564.7,564.7,564.7,1725.1,1725.1,1725.1199544270833
Grown Steer,0-400,Feeder,C,2,3,NQ,320.0,320.0,320,NQ,615.4,615.4,615.4,1232.0,1232.0,1232
Grown Steer,0-400,Processor,C,2,6,NQ,302.0,302.0,302,NQ,580.8,580.8,580.8,1102.3,1102.3,1102.300048828125
Grown Steer,400-500,Dairy,D,2,8,NQ,310.0,310.0,310,NQ,596.2,596.2,596.2,1503.5,1503.5,1503.5
Grown Steer,400-500,Feeder,C,2,39,24,310.0,335.0,328.84615384615387,8.8,596.2,638.5,631.1,1338.8,1524.3,1465.2371794871794
Grown Steer,400-500,Feeder,C,3,12,NQ,345.0,345.0,345,NQ,650.9,650.9,650.9,1466.3,1604.3,1569.75
Grown Steer,400-500,Processor,B,2,8,NQ,360.0,360.0,360,NQ,654.5,654.5,654.5,1620.0,1620.0,1620
Grown Steer,400-500,Processor,C,1,12,NQ,290.0,335.0,312.5,NQ,557.7,644.2,601.0,1305.0,1624.8,1464.875
Grown Steer,400-500,Processor,C,2,32,NQ,295.0,350.0,314.0625,NQ,567.3,660.4,602.4,1430.8,1592.5,1510.078125
Grown Steer,400-500,Processor,C,3,38,17,342.0,369.0,350.44736842105266,-13.8,645.3,696.2,661.2,1569.8,1826.3,1654.6050061677631
Grown Steer,400-500,Processor,C,4,7,NC,365.0,365.0,365,-15.0,675.9,675.9,675.9,1624.3,1624.3,1624.25
Grown Steer,500-600,Dairy,D,2,11,NQ,301.0,301.0,301,NQ,590.2,590.2,590.2,1655.5,1655.5,1655.5
Grown Steer,500-600,Processor,C,2,19,NQ,320.0,328.0,325.05263157894734,NQ,615.4,630.8,625.1,1689.2,1760.0,1715.2841282894738
Grown Steer,500-600,Processor,C,3,83,74,314.0,362.0,345.87951807228916,-34.1,592.5,683.0,652.6,1727.0,1972.9,1874.801204819277
Grown Steer,500-600,Processor,C,4,39,7,342.0,370.0,364.0769230769231,-9.4,645.3,685.2,676.4,1881.0,2146.0,2068.0448717948716
Grown Steer,500-600,Processor,D,3,24,NQ,312.0,314.0,313.25,NQ,592.5,600.0,595.3,1700.4,1727.0,1717.0250244140625
Grown Steer,600-750,Processor,C,2,13,NQ,300.0,300.0,300,NQ,576.9,576.9,576.9,1875.0,1875.0,1875
Grown Steer,600-750,Processor,C,3,43,34,317.0,345.0,326.1860465116279,-50.6,609.6,650.9,618.7,2060.5,2465.0,2193.5069835574127
Grown Steer,600-750,Processor,C,4,50,40,320.0,372.0,359.8,-17.7,603.8,688.9,668.6,2187.5,2352.0,2286.63
Grown Steer,600-750,Processor,D,4,11,NQ,335.0,335.0,335,NQ,632.1,632.1,632.1,2294.8,2294.8,2294.75
Grown Heifer,0-540,Dairy,D,3,16,NQ,318.0,318.0,318,NQ,623.5,623.5,623.5,1669.5,1669.5,1669.5
Grown Heifer,0-540,Feeder,D,2,16,NQ,322.0,322.0,322,NQ,631.4,631.4,631.4,1400.7,1400.7,1400.699951171875
Grown Heifer,0-540,Feeder,D,3,12,NQ,308.0,308.0,308,NQ,592.3,592.3,592.3,1370.6,1370.6,1370.5999348958333
Grown Heifer,0-540,Processor,C,3,30,18,330.0,340.0,333.7,9.7,622.6,641.5,629.6,1477.4,1683.0,1582.2850260416667
Grown Heifer,0-540,Processor,C,4,5,-12,338.0,338.0,338,-15.5,637.7,637.7,637.7,1639.3,1639.3,1639.3
Grown Heifer,0-540,Processor,D,3,61,54,320.0,340.0,331.04918032786884,-24.0,607.5,641.5,627.4,1392.0,1748.3,1560.9950851690573
Grown Heifer,0-540,Restocker,D,2,28,NQ,310.0,316.0,312.4642857142857,NQ,607.8,632.0,615.3,1264.0,1561.9,1408.1275111607142
Grown Heifer,0-540,Restocker,D,3,9,NQ,309.0,309.0,309,NQ,594.2,594.2,594.2,1498.7,1498.7,1498.6500651041667
Grown Heifer,540+,Dairy,D,1,25,NQ,295.0,295.0,295,NQ,590.0,590.0,590.0,1607.8,1607.8,1607.75
Grown Heifer,540+,Processor,C,4,19,5,335.0,335.0,335,-39.3,632.1,632.1,632.1,1825.8,1943.0,1918.3157894736842
Cows,400-520,Dairy,D,1,24,19,248.0,272.0,262,-28.0,576.7,591.3,585.2,1264.8,1357.3,1318.7466634114583
Cows,400-520,Dairy,E,1,35,-2,222.0,230.0,226.9142857142857,4.2,516.3,547.6,532.8,999.0,1105.8,1066.9142857142858
Cows,400-520,Processor,D,1,59,32,257.0,282.0,264.8813559322034,-5.0,546.8,585.1,563.1,1156.5,1372.3,1241.8347126588983
Cows,400-520,Processor,D,2,29,16,252.0,287.0,275.6551724137931,-12.3,525.0,597.9,574.3,1197.0,1432.1,1360.9206627155172
Cows,400-520,Processor,D,3,37,NQ,274.0,298.0,283.0810810810811,NQ,570.8,596.0,579.1,1386.0,1504.9,1436.0945945945946
Cows,400-520,Restocker,E,1,10,NQ,230.0,230.0,230,NQ,511.1,511.1,511.1,1035.0,1035.0,1035
Cows,520+,Dairy,D,1,96,20,250.0,268.0,263.84375,-6.0,566.7,595.6,580.4,1402.5,1768.8,1621.8468627929688
Cows,520+,Dairy,D,3,19,9,296.0,296.0,296,-3.6,616.7,616.7,616.7,2146.0,2146.0,2146
Cows,520+,Dairy,E,1,33,-23,232.0,235.0,233.8181818181818,-24.1,539.5,559.5,549.7,1257.3,1281.5,1269.9772727272727
Cows,520+,Processor,C,4,36,NQ,315.0,320.0,317.0833333333333,NQ,594.3,615.4,603.1,2047.5,2157.8,2094.7291666666665
Cows,520+,Processor,D,3,25,-2,295.0,308.0,301.24,-6.9,567.3,603.9,584.9,1755.3,2002.0,1873.69
Cows,520+,Processor,D,4,49,-23,290.0,315.0,305.16326530612247,-8.4,568.6,596.2,587.9,1638.5,1921.5,1802.7000159438776
