Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Muchea
Report Date: 11/11/2024
Comparison Date: 04/11/2024
Total Yarding: 1958 (+684)
Commentary
"It was a larger sale with 1958 today at Muchea. The sale comprised of several excellent runs of European and British bred weaners, healthy stocks of grown and yearling cattle and again large lines of pastoral steers, cows and bulls. A full buying field were in attendance and were keen on weaners lifting steers up 20c and heifers up 10c while Yearlings generally eased around 10c/kg. Store and medium cows were also slightly softer and Live exporters were strong on bulls over a wide weight range.
Weaner steers showing leaner fat cover were selling from 220c to 292c and with better cover from 300c to 366c and plainer weaner heifers from 170c to 210c and in better condition up to 298c/kg. Apart from the odd plain body yearling steers were mostly in feedlot or slaughter condition and sold consistently from 280c to 340c while yearling heifers started from 180c up to 288c depending on quality.
    Grown steers remained firm selling from 200c up to 288c while grown heifers lifted 10c making 216c to 272c/kg. store cows eased 10c selling from 50c to 138c while medium cows were slightly softer returning 140c to 200c and heavy cows peaked at 220c/kg.
Shipping bulls ranged from 160c to 264c and slaughter bulls were a little softer selling from 170c to 212c/kg
Terry Birkin NLIS."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Vealer Steer,200-280,Restocker,B,3,8,NQ,280.0,280.0,280,NQ,500.0,500.0,500.0,588.0,588.0,588
Vealer Steer,200-280,Restocker,C,3,32,13,242.0,332.0,307.75,-32.0,440.0,603.6,559.5,503.4,909.7,784.5212497711182
Vealer Steer,280-330,Feeder,C,3,97,91,280.0,352.0,339.25773195876286,5.3,509.1,640.0,616.8,862.4,1155.0,1043.812773085132
Vealer Steer,280-330,Pastoral Cattle,D,3,10,NQ,210.0,210.0,210,NQ,396.2,396.2,396.2,621.6,621.6,621.6
Vealer Steer,280-330,Processor,B,3,13,NQ,300.0,300.0,300,NQ,535.7,535.7,535.7,855.0,912.0,881.3076923076923
Vealer Steer,280-330,Processor,C,3,2,NQ,320.0,320.0,320,NQ,581.8,581.8,581.8,1001.6,1001.6,1001.5999755859375
Vealer Steer,280-330,Restocker,C,3,22,NQ,300.0,346.0,333.45454545454544,NQ,545.5,629.1,606.3,885.0,1006.9,973.6254438920455
Vealer Steer,330+,Feeder,C,3,43,NQ,270.0,366.0,347.7674418604651,NQ,490.9,665.5,632.3,1098.8,1312.2,1225.8706906340842
Vealer Heifer,0-200,Feeder,C,3,1,NQ,210.0,210.0,210,NQ,403.8,403.8,403.8,399.0,399.0,399
Vealer Heifer,0-200,Pastoral Cattle,D,2,26,20,140.0,182.0,165.84615384615384,107.8,280.0,364.0,331.7,271.6,314.9,298.22152944711536
Vealer Heifer,0-200,Restocker,B,3,10,NQ,170.0,210.0,194,NQ,314.8,388.9,359.3,321.3,394.8,365.3999755859375
Vealer Heifer,200-280,Feeder,B,3,19,NQ,210.0,220.0,214.73684210526315,NQ,388.9,407.4,397.7,495.6,576.4,538.5158048930921
Vealer Heifer,200-280,Live Export,C,3,8,NQ,262.0,262.0,262,NQ,503.8,503.8,503.8,618.3,618.3,618.3200073242188
Vealer Heifer,200-280,Pastoral Cattle,D,2,8,-6,140.0,140.0,140,33.7,280.0,280.0,280.0,312.2,312.2,312.20001220703125
Vealer Heifer,200-280,Processor,C,3,10,NQ,222.0,232.0,225,NQ,426.9,446.2,432.7,503.9,505.8,504.4860107421875
Vealer Heifer,280-330,Feeder,C,3,19,13,240.0,260.0,251.3684210526316,-8.6,461.5,500.0,483.4,710.9,767.0,741.8568500719572
Vealer Heifer,280-330,Restocker,C,2,11,NQ,220.0,258.0,247.63636363636363,NQ,440.0,516.0,495.3,695.2,768.8,748.7563920454545
Vealer Heifer,280-330,Restocker,C,3,22,20,240.0,272.0,266.3636363636364,122.4,461.5,523.1,512.2,674.4,884.0,848.4000022194602
Vealer Heifer,330+,Feeder,C,3,19,12,250.0,270.0,260.7368421052632,-25.3,480.8,519.2,501.4,836.6,904.5,873.6999897203947
Vealer Heifer,330+,Processor,C,3,6,NQ,298.0,298.0,298,NQ,573.1,573.1,573.1,1093.7,1093.7,1093.6599934895833
Manufacturing Steer,540+,Processor,D,3,5,NQ,234.0,254.0,244,NQ,441.5,479.2,460.4,1488.2,1559.6,1545.056005859375
Grown Steer,0-400,Feeder,C,3,1,NC,280.0,280.0,280,50.0,509.1,509.1,509.1,1120.0,1120.0,1120
Grown Steer,400-500,Feeder,C,2,7,NQ,278.0,278.0,278,NQ,524.5,524.5,524.5,1248.2,1248.2,1248.220005580357
Grown Steer,400-500,Feeder,C,3,9,4,240.0,288.0,272.8888888888889,12.5,436.4,523.6,496.2,969.6,1437.1,1292.328857421875
Grown Steer,400-500,Feeder,D,3,14,3,200.0,258.0,246.42857142857142,-23.6,377.4,486.8,465.0,864.0,1213.4,1094.0014038085938
Grown Steer,400-500,Processor,C,3,1,-3,250.0,250.0,250,-15.0,454.5,454.5,454.5,1220.0,1220.0,1220
Grown Steer,400-500,Processor,D,3,3,-12,240.0,260.0,246.66666666666666,18.8,452.8,490.6,465.4,1029.6,1258.4,1105.8666585286458
Grown Steer,500-600,Feeder,C,3,4,NQ,278.0,278.0,278,NQ,505.5,505.5,505.5,1428.9,1428.9,1428.9200439453125
Grown Steer,500-600,Feeder,D,3,4,NQ,230.0,230.0,230,NQ,434.0,434.0,434.0,1175.3,1175.3,1175.300048828125
Grown Steer,500-600,Processor,C,3,10,-18,248.0,264.0,255.4,-0.7,450.9,480.0,464.4,1404.5,1488.0,1452.8519897460938
Grown Steer,600-750,Processor,C,3,2,-3,256.0,262.0,259,7.8,465.5,476.4,470.9,1655.8,1771.5,1713.6799926757812
Grown Steer,600-750,Processor,D,3,2,1,250.0,250.0,250,-16.0,471.7,471.7,471.7,1522.5,1522.5,1522.5
Grown Steer,750+,Processor,C,3,1,NQ,250.0,250.0,250,NQ,454.5,454.5,454.5,1995.0,1995.0,1995
Grown Heifer,0-540,Processor,C,3,39,33,220.0,272.0,264.87179487179486,35.5,423.1,523.1,509.4,829.4,1431.1,1186.9358958708933
Grown Heifer,540+,Processor,C,3,7,NQ,216.0,252.0,241.14285714285714,NQ,415.4,484.6,463.7,1342.3,1455.0,1386.7885567801338
Cows,0-400,Feeder,D,1,3,NQ,50.0,50.0,50,NQ,108.7,108.7,108.7,174.0,197.0,181.66666666666666
Cows,0-400,Feeder,D,2,3,-48,130.0,130.0,130,-7.7,270.8,270.8,270.8,462.8,462.8,462.7999674479167
