Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Naracoorte
Report Date: 08/10/2024
Comparison Date: 01/10/2024
Total Yarding: 579 (-395)
Commentary
"Naracoorte agents yarded 579 cattle this week, a drop of 395/head. The yarding was made up of 349 young cattle, 194 cows, 13 grown bulls and 23 open auction young cattle. Quality ranged from average to good with several pens of grain fed steers presenting in excellent condition, and a range of cattle suiting both the trade and feeders. The regular buying group operated in a market either side of firm. Yearlings sold to the trade to 378c to be firm with feeders paying 260c to 378c to be 10c/kg easier. The few better vealers sold to feeders to 311c/kg. Grown steers sold to 380c for the medium weights to be 10c stronger with heavy weights selling 390c/kg to be 10c/kg stronger. Heavy Grown heifers sold 10c/kg dearer. Heavy cows eased 10c to 15c selling from 280c to 322c/kg. 

Vealers and yearlings sold from 330c to 378c to the trade with feeders paying from 260c to 378c/kg. 

Medium and heavy steers sold to the trade from 330c to 390c with feeders paying from 330c to 360c/kg. Medium grown heifers sold from 250c to 338c, with heavier weights selling from 318c to 360c, feeders paid to 325c/kg. Light cows sold from 150c to 180c, medium 2 and 3 score cows sold from 150c to 286c/kg. Heavy 3 and 4 score cows sold from 280c to 322c/kg. Medium bulls sold to 282 with heavy bulls selling from 230c to 330c/kg. 


Market Reporter - Graham Pymer."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Cows,400-520,Feeder,D,1,5,NQ,223.0,223.0,223,NQ,484.8,484.8,484.8,1115.0,1115.0,1115
Cows,400-520,Feeder,D,2,4,NQ,233.0,255.0,244,NQ,485.4,531.3,508.3,1165.0,1262.3,1213.625
Cows,400-520,Pastoral Cattle,D,1,9,NQ,230.0,230.0,230,NQ,522.7,522.7,522.7,1092.5,1092.5,1092.5
Cows,400-520,Processor,D,1,6,NQ,168.0,238.0,212.16666666666666,NQ,381.8,528.9,472.5,840.0,1190.0,1060.8333333333333
Cows,400-520,Processor,D,2,2,NQ,290.0,290.0,290,NQ,604.2,604.2,604.2,1479.0,1479.0,1479
Cows,520+,Processor,D,1,3,-3,150.0,150.0,150,-87.0,333.3,333.3,333.3,787.5,787.5,787.5
Cows,520+,Processor,D,2,69,-3,150.0,286.0,269.5072463768116,-7.6,312.5,583.3,544.6,817.5,1644.5,1505.9579759680707
Cows,520+,Processor,D,3,66,-52,280.0,315.0,293.6515151515151,-17.6,538.5,583.3,557.9,1638.0,1890.0,1758.0621226917613
Cows,520+,Processor,D,4,46,-39,290.0,322.0,311.3478260869565,-15.3,537.0,596.3,577.5,1957.5,2254.0,2090.473914104959
Bulls,450-600,Feeder,C,2,2,NQ,282.0,282.0,282,NQ,542.3,542.3,542.3,1395.9,1395.9,1395.9000244140625
Bulls,600+,Processor,B,2,9,5,248.0,330.0,291.22222222222223,15.0,442.9,589.3,520.0,1860.0,3300.0,2518.2666693793403
Bulls,600+,Processor,C,1,1,NQ,230.0,230.0,230,NQ,425.9,425.9,425.9,1610.0,1610.0,1610
Bulls,600+,Processor,C,2,6,4,150.0,320.0,251.66666666666666,-21.8,272.7,571.4,454.1,1012.5,3040.0,2060.4166666666665
