Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Not Selected
Report Date: 
Comparison Date: Date not set
Please complete selections
Commentary


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Cows,400-520,Dairy,D,2,6,-2,229.0,230.0,229.66666666666666,39.3,477.1,479.2,478.5,1179.3,1184.5,1182.7833251953125
Cows,400-520,Processor,D,2,73,19,233.0,271.0,255.3972602739726,23.2,485.4,542.0,513.8,1199.9,1395.7,1311.9353361782962
Cows,400-520,Processor,D,3,20,7,268.0,289.0,274.85,4.7,536.0,578.0,549.7,1380.2,1488.3,1415.4775024414062
Cows,400-520,Processor,D,4,9,5,301.0,301.0,301,14.0,602.0,602.0,602.0,1550.2,1550.2,1550.1500651041667
Cows,400-520,Restocker,D,2,10,1,190.0,251.0,208.3,-26.9,395.8,502.0,427.7,978.5,1292.7,1072.74501953125
Cows,520+,Dairy,D,2,1,-6,210.0,210.0,210,-23.3,437.5,437.5,437.5,1123.5,1123.5,1123.5
Cows,520+,Processor,D,2,22,-2,260.0,280.0,272.72727272727275,21.6,520.0,560.0,545.5,1417.8,1554.0,1504
Cows,520+,Processor,D,3,69,31,270.0,296.0,283.2173913043478,9.0,540.0,592.0,566.4,1438.5,1642.8,1566.7898603798687
Cows,520+,Processor,D,4,163,85,290.0,319.0,304.79754601226995,14.2,580.0,638.0,609.6,1626.2,1968.8,1717.8177969528854
Cows,520+,Restocker,D,2,6,NC,255.0,255.0,255,18.0,510.0,510.0,510.0,1338.8,1338.8,1338.75
Bulls,0-450,Processor,C,2,5,4,302.0,306.0,305.2,-0.8,559.3,566.7,565.2,1208.7,1283.5,1223.6599609375
Bulls,0-450,Restocker,C,2,4,-11,334.0,336.0,335,51.1,618.5,622.2,620.4,890.4,1185.7,1038.0499877929688
Bulls,450-600,Feeder,C,2,1,NQ,280.0,280.0,280,NQ,518.5,518.5,518.5,1638.0,1638.0,1638
Bulls,450-600,Processor,C,2,4,NC,306.0,312.0,307.5,32.0,566.7,577.8,569.4,1392.3,1513.2,1422.5250854492188
Bulls,450-600,Processor,C,3,2,NQ,290.0,290.0,290,NQ,537.0,537.0,537.0,1609.5,1609.5,1609.5
Bulls,450-600,Restocker,C,2,1,-2,316.0,316.0,316,63.0,585.2,585.2,585.2,1437.8,1437.8,1437.800048828125
Bulls,600+,Dairy,D,3,1,NQ,219.0,219.0,219,NQ,405.6,405.6,405.6,1806.8,1806.8,1806.75
Bulls,600+,Processor,C,2,1,NC,260.0,260.0,260,30.0,481.5,481.5,481.5,1963.0,1963.0,1963
Bulls,600+,Processor,C,3,16,3,270.0,338.0,309.0625,22.5,500.0,625.9,572.3,1845.0,2867.5,2217.534423828125
