Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Heifer,330-400,Feeder,D,2,16,-6,184.0,210.0,194.375,-34.5,353.8,403.8,373.8,625.6,745.5,686.5812530517578
Yearling Heifer,330-400,Processor,C,2,16,NQ,180.0,192.0,186,NQ,346.2,369.2,357.7,684.0,691.2,687.6000061035156
Yearling Heifer,330-400,Processor,C,3,2,NQ,188.0,188.0,188,NQ,361.5,361.5,361.5,733.2,733.2,733.2000122070312
Yearling Heifer,330-400,Processor,D,2,5,-10,196.0,196.0,196,-26.0,376.9,376.9,376.9,676.2,676.2,676.2
Yearling Heifer,330-400,Processor,D,3,1,NQ,160.0,160.0,160,NQ,307.7,307.7,307.7,576.0,576.0,576
Vealer Steer,0-200,Restocker,D,2,2,NQ,220.0,220.0,220,NQ,423.1,423.1,423.1,385.0,385.0,385
Vealer Steer,200-280,Restocker,C,2,11,NQ,232.0,232.0,232,NQ,446.2,446.2,446.2,626.4,626.4,626.4000355113636
Vealer Steer,200-280,Restocker,D,2,18,NQ,210.0,226.0,216.22222222222223,NQ,403.8,434.6,415.8,430.5,542.4,474.0166829427083
Vealer Steer,280-330,Feeder,C,2,3,NQ,210.0,210.0,210,NQ,403.8,403.8,403.8,598.5,598.5,598.5
Vealer Heifer,0-200,Processor,C,2,20,NQ,190.0,190.0,190,NQ,365.4,365.4,365.4,351.5,351.5,351.5
Vealer Heifer,0-200,Restocker,D,2,20,NQ,100.0,150.0,135,NQ,192.3,288.5,259.6,190.0,292.5,261.75
Vealer Heifer,200-280,Processor,C,2,70,NQ,162.0,190.0,176,NQ,311.5,365.4,338.5,340.2,432.0,379.84286063058033
Manufacturing Steer,0-540,Feeder,D,1,1,NQ,20.0,20.0,20,NQ,40.0,40.0,40.0,68.0,68.0,68
Manufacturing Steer,0-540,Feeder,D,3,7,NQ,230.0,230.0,230,NQ,434.0,434.0,434.0,1173.0,1173.0,1173
Manufacturing Steer,0-540,Feeder,E,2,1,NQ,120.0,120.0,120,NQ,235.3,235.3,235.3,444.0,444.0,444
Manufacturing Steer,0-540,Processor,D,2,14,12,184.0,200.0,194.14285714285714,-46.9,353.8,384.6,373.4,863.3,883.2,867.1071297781808
Manufacturing Steer,0-540,Processor,D,3,27,-60,180.0,248.0,204.96296296296296,-42.0,339.6,459.3,386.5,820.0,1277.2,1022.7999945746528
Manufacturing Steer,540+,Processor,C,4,6,NQ,248.0,248.0,248,NQ,450.9,450.9,450.9,1587.2,1587.2,1587.1998697916667
Grown Steer,0-400,Feeder,D,2,3,-1,160.0,206.0,190.66666666666666,-55.3,307.7,396.2,366.7,608.0,803.4,738.2666829427084
Grown Steer,0-400,Live Export,D,2,17,NQ,222.0,222.0,222,NQ,426.9,426.9,426.9,854.7,854.7,854.7000229779412
Grown Steer,0-400,Processor,D,2,6,5,200.0,212.0,202,-44.0,384.6,407.7,388.5,740.0,805.6,750.9333292643229
Grown Steer,0-400,Processor,E,2,5,NQ,164.0,164.0,164,NQ,315.4,315.4,315.4,639.6,639.6,639.6
Grown Steer,0-400,Restocker,D,2,19,NQ,180.0,180.0,180,NQ,346.2,346.2,346.2,648.0,648.0,648
Grown Steer,400-500,Feeder,C,2,13,6,222.0,240.0,223.3846153846154,-38.6,418.9,452.8,421.5,1021.2,1176.0,1033.1077223557693
Grown Steer,400-500,Feeder,D,2,3,-28,200.0,222.0,209.33333333333334,-28.8,384.6,418.9,399.9,860.0,968.2,912.8000081380209
Grown Steer,400-500,Feeder,E,3,1,NQ,180.0,180.0,180,NQ,346.2,346.2,346.2,828.0,828.0,828
Grown Steer,400-500,Live Export,C,2,119,NQ,192.0,240.0,236.8403361344538,NQ,369.2,452.8,447.0,854.4,1142.4,1087.0184890362395
Grown Steer,400-500,Live Export,D,2,34,NQ,236.0,236.0,236,NQ,445.3,453.8,448.6,1026.6,1121.0,1062.6941061580883
Grown Steer,400-500,Processor,C,2,5,NQ,246.0,246.0,246,NQ,464.2,464.2,464.2,1217.7,1217.7,1217.7
Grown Steer,400-500,Processor,C,3,11,-1,238.0,238.0,238,-16.0,440.7,440.7,440.7,1142.4,1142.4,1142.4000022194602
