Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: IRLX Inverell
Report Date: 30/07/2024
Comparison Date: 23/07/2024
Total Yarding: 1100 (-740)
Commentary
"Inverell penned 1100 mostly good quality cattle to a market resulting in mixed trends with quality corrections through some categories. All the regular buyers attended with strong interest for drafts of background cattle.

Weaner steers considerably dearer as were the heifers which lifted 19c/kg and both categories going to restockers. Light yearling steers to 28c/kg better 330c to 400c/kg to backgrounders. Heavier drafts to feed on were 11c/kg cheaper however similar weights to background were dearer 374c to 426c/kg. Medium weight steers lost ground to be 13c/kg back. Heavy yearling steers to feed gained 28c/kg making to 355c/kg. Light heifers to background were significantly dearer 298c to 326c/kg and similar weights to feed on much dearer selling to 324c/kg. Medium weight feeder heifers sold to 351c/kg and were considerably dearer. Similar weight heifers to the trade declined 6c/kg to sell to 338c/kg.

Heavy grown steers were dearer 324c to 360c/kg the heifer counterparts to 20c/kg better. Medium cows were firm. A large offering of heavy cows were only slightly cheaper 293c to 319/kg. Heavy bulls gained 13c/kg and ranged 250c to 278c/kg.

Stephen Adams MLA"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Heifer,0-540,Feeder,C,2,16,NQ,280.0,314.0,308.375,NQ,538.5,603.8,593.0,1064.0,1413.0,1322.9375
Grown Heifer,0-540,Feeder,C,3,2,-13,310.0,310.0,310,4.9,596.2,596.2,596.2,1550.0,1550.0,1550
Grown Heifer,0-540,Processor,C,2,19,NQ,240.0,281.0,276.10526315789474,NQ,461.5,540.4,531.0,864.0,1404.0,1111.3684210526317
Grown Heifer,0-540,Restocker,C,2,7,NQ,256.0,256.0,256,NQ,492.3,492.3,492.3,1177.6,1177.6,1177.6000279017858
Grown Heifer,540+,Processor,C,2,4,NQ,300.0,300.0,300,NQ,576.9,576.9,576.9,1800.0,1800.0,1800
Grown Heifer,540+,Processor,C,3,26,NQ,290.0,318.0,304.46153846153845,NQ,557.7,611.5,585.5,1624.0,2015.0,1862.75
Cows,400-520,Processor,D,2,84,-183,200.0,258.0,229.66666666666666,-21.6,434.8,560.9,499.3,920.0,1320.8,1109.8833472842261
Cows,520+,Processor,D,2,26,NQ,235.0,250.0,243.1153846153846,NQ,510.9,543.5,528.5,1269.0,1375.0,1320.515399639423
Cows,520+,Processor,D,3,43,NQ,265.0,285.0,272.90697674418607,NQ,552.1,593.8,568.6,1484.0,1668.0,1558.1209234193313
Cows,520+,Processor,D,4,125,-178,293.0,319.0,302.496,-4.2,586.0,638.0,606.2,1711.0,2392.5,1938.99759765625
Cows,520+,Restocker,D,3,6,NQ,272.0,272.0,272,NQ,566.7,566.7,566.7,1441.6,1441.6,1441.5999348958333
Bulls,0-450,Processor,B,2,4,NQ,194.0,255.0,209.25,NQ,359.3,439.7,379.4,737.2,969.0,795.1500244140625
Bulls,0-450,Processor,C,2,3,2,264.0,264.0,264,-8.0,488.9,488.9,488.9,950.4,950.4,950.4000651041666
Bulls,0-450,Restocker,C,2,3,NQ,270.0,270.0,270,NQ,500.0,500.0,500.0,918.0,918.0,918
Bulls,450-600,Processor,B,2,1,NQ,228.0,228.0,228,NQ,393.1,393.1,393.1,1368.0,1368.0,1368
Bulls,450-600,Processor,B,3,4,NQ,262.0,262.0,262,NQ,436.7,436.7,436.7,1519.6,1519.6,1519.5999755859375
Bulls,600+,Processor,B,2,5,-12,198.0,258.0,236.4,-27.5,341.4,444.8,407.6,1544.4,2185.0,1853.8800048828125
Bulls,600+,Processor,B,3,23,22,250.0,278.0,270.2608695652174,-63.7,416.7,469.0,451.1,1876.8,3168.0,2337.591351052989
