Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Gunnedah
Report Date: 07/01/2025
Comparison Date: 17/12/2024
Total Yarding: 820 (-165)
Commentary
"The numbers were similar to the last sale however still well below the norm. Medium and heavy weight yearlings made up the bulk of the offering along with a fair supply of cows. There were smaller numbers in the other categories. There were very few absentees in the buying group. The quality and condition of the offering was generally good. 

There was strong demand from restockers and feedlots alike through the young cattle. This resulted in positive price change through most classes when comparing market trends to the last sale of 2024. Steers in all weight classes showed strong gains with the greatest improvement in the heavier weights. The heifer portion were also keenly sought with the medium weights showing moderate improvement while once again the heavier heifers saw the greatest improvement.

Processors were keen to secure numbers with competition strong on all suitable lots. As a result there was improvement in all classes of grown steers and heifers destined for processing while those going onto feed also improved. The cow market was very strong also posting strong gains."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Restocker,C,2,8,2,278.0,380.0,354.5,6.5,534.6,730.8,681.7,792.3,1140.0,1053.0749969482422
Yearling Steer,280-330,Restocker,D,2,7,NQ,330.0,330.0,330,NQ,660.0,660.0,660.0,940.5,940.5,940.5
Yearling Steer,330-400,Feeder,C,2,9,-69,415.0,415.0,415,29.7,798.1,798.1,798.1,1577.0,1577.0,1577
Yearling Steer,330-400,Restocker,C,2,65,27,385.0,423.0,400.32307692307694,26.5,740.4,813.5,769.9,1326.0,1607.4,1460.5384690504807
Yearling Steer,400+,Feeder,C,2,114,-86,330.0,414.0,407.86842105263156,27.6,634.6,796.2,784.4,1353.0,1836.0,1781.3122794168037
Yearling Steer,400+,Feeder,C,3,17,12,355.0,420.0,408.11764705882354,74.1,657.4,777.8,755.8,1775.0,2007.9,1974.5176930147059
Yearling Steer,400+,Restocker,C,2,6,-36,370.0,395.0,389.6666666666667,16.2,711.5,759.6,749.4,1517.0,1698.5,1656.7666625976562
Yearling Heifer,200-280,Restocker,C,2,2,-1,310.0,310.0,310,-1.3,596.2,596.2,596.2,713.0,713.0,713
Yearling Heifer,200-280,Restocker,D,2,5,-2,282.0,282.0,282,5.1,564.0,564.0,564.0,705.0,705.0,705
Yearling Heifer,280-330,Feeder,C,2,1,-5,340.0,340.0,340,4.0,653.8,653.8,653.8,969.0,969.0,969
Yearling Heifer,280-330,Processor,C,2,2,NQ,270.0,270.0,270,NQ,519.2,519.2,519.2,810.0,810.0,810
Yearling Heifer,280-330,Processor,C,3,1,NQ,310.0,310.0,310,NQ,596.2,596.2,596.2,992.0,992.0,992
Yearling Heifer,280-330,Processor,D,2,12,NQ,250.0,250.0,250,NQ,500.0,500.0,500.0,725.0,725.0,725
Yearling Heifer,280-330,Restocker,C,2,15,-44,300.0,347.0,335.93333333333334,19.0,576.9,667.3,646.0,930.0,1145.1,1093.87998046875
