Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Armidale
Report Date: 13/02/2025
Comparison Date: 30/01/2025
Total Yarding: 900 (-640)
Commentary
"There was a sharp drop in supply on the back of some very useful storm rain over the past fortnight. It was a very mixed quality penning where condition also varied greatly. There was more processor competition this week however the ranks are still not at capacity. Restocker and feedlot competition was also down.

Lightweight young cattle to restockers saw the steers sell to a dearer trend with some breed and quality related price change. The heifer portion mostly firm with quality also affecting price change. The medium and heavy weights sold on a firm to cheaper trend with the good quality lots least affected.

A very mixed quality penning of grown cattle to suit processors. The well finished heavy grown steers sold to a dearer trend under the extra competition. Well finished grown heifers also sold to dearer trends however the plainer quality lots were cheaper. Demand was high in the cow market with processors competing strongly. All classes showing strong gains. Heavy bulls sold on a firm to cheaper trend with quality variations accounting for positive price change."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Steer,400-500,Processor,C,2,5,NQ,230.0,276.0,239.2,NQ,442.3,530.8,460.0,943.0,1159.2,986.239990234375
Grown Steer,400-500,Processor,C,3,5,NQ,285.0,285.0,285,NQ,527.8,527.8,527.8,1382.3,1382.3,1382.25
Grown Steer,500-600,Feeder,C,3,10,8,340.0,340.0,340,50.0,629.6,629.6,629.6,1836.0,1870.0,1866.6
Grown Steer,500-600,Processor,C,3,4,2,316.0,316.0,316,30.0,585.2,585.2,585.2,1832.8,1832.8,1832.800048828125
Grown Steer,500-600,Processor,C,4,2,NQ,322.0,322.0,322,NQ,596.3,596.3,596.3,1867.6,1867.6,1867.5999755859375
Grown Steer,600-750,Processor,C,3,7,4,322.0,322.0,322,28.7,596.3,596.3,596.3,1996.4,1996.4,1996.3999720982142
Grown Steer,600-750,Processor,C,4,2,NQ,320.0,320.0,320,NQ,592.6,592.6,592.6,2144.0,2144.0,2144
Grown Heifer,0-540,Feeder,C,2,13,-42,250.0,286.0,263.53846153846155,-38.5,480.8,550.0,506.8,875.0,1201.2,977.6230703500601
Grown Heifer,0-540,Feeder,C,3,42,12,300.0,326.0,320.8333333333333,-15.8,566.0,615.1,607.8,1320.1,1501.0,1464.1166236514136
Grown Heifer,0-540,Feeder,D,2,17,NQ,250.0,256.0,253.52941176470588,NQ,500.0,512.0,507.1,850.0,1024.0,967.0588235294117
Grown Heifer,0-540,Feeder,D,3,8,NQ,278.0,278.0,278,NQ,545.1,545.1,545.1,1348.3,1348.3,1348.300048828125
Grown Heifer,0-540,Processor,C,2,9,NQ,262.0,284.0,281.55555555555554,NQ,503.8,546.2,541.5,1179.0,1249.6,1241.7555338541667
Grown Heifer,0-540,Processor,C,3,22,21,282.0,310.0,295.72727272727275,35.7,542.3,596.2,563.4,1339.2,1566.0,1435.5681596235795
Grown Heifer,0-540,Processor,D,2,14,11,230.0,247.0,239.64285714285714,-17.0,460.0,494.0,479.3,690.0,1062.1,953.6071428571429
Grown Heifer,0-540,Processor,D,3,36,NQ,268.0,285.0,274.5,NQ,525.5,558.8,538.2,1084.0,1400.0,1218.116672092014
Grown Heifer,540+,Processor,B,3,2,NQ,326.0,326.0,326,NQ,582.1,582.1,582.1,1956.0,1956.0,1956
Grown Heifer,540+,Processor,C,3,7,NQ,314.0,314.0,314,NQ,592.5,592.5,592.5,1727.0,1727.0,1727
Cows,0-400,Restocker,D,1,11,NQ,122.0,190.0,165.27272727272728,NQ,271.1,422.2,367.3,414.8,760.0,634.4727228338069
Cows,400-520,Processor,D,2,54,26,220.0,270.0,260.94444444444446,31.7,488.9,600.0,579.9,1012.0,1161.0,1111.820384837963
Cows,400-520,Processor,D,3,24,-61,260.0,278.0,268.125,24.8,545.8,579.2,561.0,1144.0,1430.0,1284.2708333333333
Cows,400-520,Processor,D,4,4,NQ,272.0,272.0,272,NQ,566.7,566.7,566.7,1414.4,1414.4,1414.4000244140625
Cows,520+,Processor,D,3,27,-21,266.0,288.0,276.3333333333333,19.9,554.2,587.5,572.2,1409.8,1804.8,1607.2148075810185
Cows,520+,Processor,D,4,52,-31,262.0,295.0,288.15384615384613,18.9,545.8,590.0,576.7,1414.8,2292.2,1848.576927771935
Bulls,0-450,Processor,C,2,13,10,234.0,287.0,265.53846153846155,-24.5,446.3,551.9,505.4,818.0,1102.5,914.0884587214543
Bulls,450-600,Processor,C,2,5,-3,240.0,245.0,242,0.5,444.4,461.5,451.6,1104.0,1392.0,1302.4
Bulls,600+,Processor,B,2,7,-7,265.0,276.0,273.57142857142856,5.6,473.2,492.9,488.5,1987.5,2466.0,2204.9285714285716
Bulls,600+,Processor,B,3,4,-3,240.0,279.0,262.25,-14.6,428.6,498.2,468.3,1752.0,2594.7,2193.9249877929688
Bulls,600+,Processor,C,2,16,-6,223.0,258.0,245.75,1.3,413.0,477.8,455.1,1471.8,2040.0,1865.4031219482422
