Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: NVLX Wodonga
Report Date: 11/02/2025
Comparison Date: 04/02/2025
Total Yarding: 1200 (-430)
Commentary
" 
This week, the market saw a further decline in numbers, with a noticeable drop in the quality. Many of the pens presented were quite plain, featuring a significant amount of clean-up pen lots. Despite the reduction in quality, the sale attracted more buyers; however, some feedlot buyers faced challenges in making purchases, as it proved difficult to buy good quality lines.
 
In the vealer category, the pick of the offerings commanded prices ranging from 295c to 345c/kg. The remainder of the vealers found their way to feedlots and restockers. Trade steers and heifers sold within the range of 290c to 315c/kg, indicating the limited supply. Feeder steers experienced a notable gain of 25c, with prices ranging from 305c to 357c/kg.
 
On the export front, processors showed a keen interest in young steers weighing over 600 kilograms. Bullocks saw a positive shift, gaining 25c and selling between 310 and 385c/kg. Meanwhile, heavy steers eased slightly, dropping by 3c to achieve prices between 320c and 335c/kg. The cow sale presented a mixed yarding, and attracting a larger group of buyers. Heavy cows saw an improvement of 9c, with prices ranging from 272c to 304c/kg. In contrast, leaner cows weighing under 520 kilograms sold for 210 to 270c/kg. Heavy bulls rounded out the market, selling between 267 and 301c/kg."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Steer,500-600,Processor,B,2,3,NQ,335.0,335.0,335,NQ,632.1,632.1,632.1,1892.8,1892.8,1892.75
Grown Steer,500-600,Processor,C,3,5,-51,320.0,335.0,327,-3.4,592.6,632.1,612.5,1755.6,1902.8,1806
Grown Steer,500-600,Processor,C,4,9,5,326.0,355.0,335.6666666666667,-1.3,615.1,669.8,633.3,1952.7,2130.0,2011.8266059027778
Grown Steer,600-750,Processor,C,4,74,-21,310.0,385.0,354.55405405405406,25.3,575.9,717.0,661.3,2057.0,2818.2,2363.867576805321
Grown Steer,600-750,Processor,D,4,3,-1,311.0,311.0,311,15.0,575.9,575.9,575.9,2173.9,2173.9,2173.8899739583335
Grown Steer,750+,Processor,C,4,2,NQ,312.0,312.0,312,NQ,588.7,588.7,588.7,2449.2,2449.2,2449.199951171875
Grown Steer,750+,Processor,D,4,2,NQ,311.0,311.0,311,NQ,586.8,586.8,586.8,2441.4,2441.4,2441.35009765625
Grown Heifer,0-540,Feeder,C,2,5,-12,302.0,302.0,302,17.0,580.8,580.8,580.8,1063.0,1063.0,1063.0400390625
Grown Heifer,0-540,Feeder,C,4,28,NQ,310.0,318.0,315.7142857142857,NQ,584.9,600.0,595.7,1584.1,1691.8,1660.999965122768
Grown Heifer,0-540,Processor,C,3,5,2,300.0,300.0,300,52.0,555.6,555.6,555.6,1488.0,1488.0,1488
Grown Heifer,0-540,Processor,C,4,29,26,310.0,355.0,328.51724137931035,24.5,574.1,669.8,615.4,1584.1,1899.3,1709.626532192888
Grown Heifer,540+,Processor,B,2,4,NQ,366.0,366.0,366,NQ,690.6,690.6,690.6,1980.1,1980.1,1980.06005859375
Grown Heifer,540+,Processor,C,4,18,-25,312.0,342.0,332.44444444444446,19.6,588.7,633.3,616.2,1937.0,2177.7,2039.7377387152778
Cows,0-400,Processor,D,4,22,NQ,287.0,287.0,287,NQ,541.5,541.5,541.5,846.7,846.7,846.6500355113636
Cows,400-520,Processor,D,2,23,-5,210.0,228.0,220.17391304347825,6.0,396.2,504.5,471.3,932.4,1140.0,1053.5869140625
Cows,400-520,Processor,D,3,114,18,244.0,270.0,262.4298245614035,19.8,460.4,556.8,520.9,1048.1,1377.0,1263.2644599780701
Cows,520+,Processor,D,3,106,13,260.0,293.0,274.5566037735849,5.5,490.6,552.8,518.0,1417.0,1910.4,1556.6145618366745
Cows,520+,Processor,D,4,204,-85,272.0,304.0,291.8970588235294,9.8,513.2,573.6,550.7,1536.8,2225.9,1961.2445433373546
Bulls,0-450,Processor,B,2,4,NQ,302.0,302.0,302,NQ,520.7,520.7,520.7,845.6,845.6,845.5999755859375
Bulls,600+,Processor,B,2,8,6,285.0,288.0,286.5,-2.5,491.4,496.6,494.0,2577.6,3234.8,2906.175048828125
Bulls,600+,Processor,C,2,9,-4,267.0,301.0,285.22222222222223,6.1,476.8,537.5,509.3,1802.3,3010.0,2401.017781575521
Bulls,600+,Processor,D,2,1,NC,232.0,232.0,232,-24.0,414.3,414.3,414.3,1925.6,1925.6,1925.5999755859375
