Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: TRLX Tamworth
Report Date: 22/07/2024
Comparison Date: 15/07/2024
Total Yarding: 1420 (-205)
Commentary
"There was a small reduction in numbers. The quality and condition of the offering was generally good with quite a few showing the benefit of crop. Cows were again well supplied and there was a greater than normal representation of grown heifers. Cattle suitable to processors were well supplied with not as many for feedlotters and restockers. The full filed of buyers were in attendance. 

The mixed quality nature of the few weaner steers suitable to restockers impacted price change in the negative. Medium and heavy weight yearling steers to restock and feed recovered all of last weeks losses and some to show strong gains. The heifer portion to restocker and feed sold to a slightly dearer trend. The demand for well finished cattle from processors was reflected in the market with those going to the trade showing significant improvement.

Well finished heavy weight grown steers with 2 or more teeth were keenly sought by both export and domestic processors to also show significant improvement. Well finished grown heifers sold to dearer trends with odd sales as much as 20c/kg dearer. The cow market continued its upward trajectory and showed no sign of slowing with medium weight cows showing some of the strongest improvement. The well finished heavy weight cows saw a dearer trend with prices as a much as 26c/kg dearer. Heavy bulls were also in strong demand."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Heifer,0-540,Dairy,D,2,5,NQ,240.0,240.0,240,NQ,480.0,480.0,480.0,1152.0,1152.0,1152
Grown Heifer,0-540,Feeder,C,3,9,-4,290.0,310.0,305.55555555555554,1.7,557.7,596.2,587.6,1333.0,1503.5,1415.8333333333333
Grown Heifer,0-540,Feeder,D,2,4,NQ,265.0,265.0,265,NQ,530.0,530.0,530.0,1192.5,1192.5,1192.5
Grown Heifer,0-540,Feeder,D,3,2,NQ,270.0,270.0,270,NQ,529.4,529.4,529.4,1242.0,1242.0,1242
Grown Heifer,0-540,Processor,C,2,4,-8,270.0,270.0,270,-16.7,519.2,519.2,519.2,1242.0,1242.0,1242
Grown Heifer,0-540,Processor,C,3,43,33,285.0,338.0,312.4418604651163,22.3,548.1,637.7,598.6,1382.3,1825.2,1585.7942093250363
Grown Heifer,0-540,Processor,D,2,20,NQ,205.0,262.0,236.65,NQ,410.0,524.0,473.3,820.0,1222.0,1034.485009765625
Grown Heifer,0-540,Processor,D,3,22,11,245.0,260.0,256.1363636363636,-30.0,480.4,509.8,502.2,1041.3,1144.0,1111.625
Grown Heifer,540+,Processor,C,3,6,-3,324.0,356.0,336,42.8,611.3,671.7,634.0,1814.4,1940.2,1894.9666951497395
Grown Heifer,540+,Processor,C,4,17,13,334.0,360.0,337.70588235294116,9.7,630.2,679.2,637.2,1837.0,2016.0,1867.264705882353
Grown Heifer,540+,Processor,D,3,1,NQ,280.0,280.0,280,NQ,549.0,549.0,549.0,1568.0,1568.0,1568
Cows,400-520,Dairy,D,2,3,NQ,150.0,150.0,150,NQ,333.3,333.3,333.3,750.0,750.0,750
Cows,400-520,Processor,D,2,35,-167,168.0,275.0,239.5142857142857,26.2,373.3,585.1,519.2,688.8,1375.0,1167.582861328125
Cows,400-520,Processor,D,3,88,48,240.0,307.0,278.64772727272725,37.4,510.6,602.0,570.1,1104.0,1596.4,1407.6431607333097
Cows,400-520,Restocker,D,2,4,-54,224.0,224.0,224,-3.7,497.8,497.8,497.8,1064.0,1064.0,1064
Cows,520+,Dairy,D,2,4,NQ,200.0,200.0,200,NQ,444.4,444.4,444.4,1100.0,1100.0,1100
Cows,520+,Dairy,D,3,5,NQ,286.0,286.0,286,NQ,608.5,608.5,608.5,1658.8,1658.8,1658.8
Cows,520+,Processor,C,3,7,NQ,319.0,320.0,319.85714285714283,NQ,590.7,615.4,611.9,2041.6,2176.0,2156.7999965122767
Cows,520+,Processor,C,4,2,NQ,318.0,318.0,318,NQ,636.0,636.0,636.0,2067.0,2067.0,2067
Cows,520+,Processor,D,3,46,-84,236.0,292.0,278.10869565217394,1.6,491.7,608.3,576.1,1274.4,1606.0,1520.641338845958
Cows,520+,Processor,D,4,126,66,280.0,323.0,307.75396825396825,19.4,560.0,646.0,616.4,1596.0,2196.4,1891.9365021236358
Cows,520+,Restocker,D,2,2,NQ,234.0,234.0,234,NQ,520.0,520.0,520.0,1263.6,1263.6,1263.5999755859375
Bulls,0-450,Processor,C,2,9,1,240.0,244.0,243.55555555555554,2.8,444.4,451.9,451.0,1032.0,1049.2,1047.288845486111
Bulls,450-600,Processor,B,2,4,3,238.0,250.0,247,-3.0,425.0,446.4,441.1,1428.0,1450.0,1444.5
Bulls,450-600,Processor,C,2,6,5,240.0,244.0,243.33333333333334,15.3,444.4,451.9,450.6,1146.8,1272.0,1167.6666666666667
Bulls,600+,Processor,B,2,16,12,210.0,272.0,247.4375,1.2,375.0,485.7,441.9,1407.0,2325.0,1845.2687606811523
Bulls,600+,Processor,C,2,34,29,180.0,236.0,219.8235294117647,-5.4,333.3,437.0,407.1,1165.6,1725.0,1496.8441162109375
Bulls,600+,Processor,C,4,1,NQ,130.0,130.0,130,NQ,236.4,236.4,236.4,1300.0,1300.0,1300
Bulls,600+,Processor,D,2,1,NQ,170.0,170.0,170,NQ,326.9,326.9,326.9,1156.0,1156.0,1156
