Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Muchea
Report Date: 16/12/2024
Comparison Date: 09/12/2024
Total Yarding: 1222 (-507)
Commentary
"Numbers were down around 500 head from last week as pastoral supplies eased. Local supplies were buoyant with good runs of cow, yearlings and weaners yarded in large lines. The sale started slowly and gained momentum with values up in most categories showing either finished weights or potential for quick weight gains on feeders and backgrounders but dropped off quickly on any long term prospects. The buyer gallery was fairly full with most of the regulars present.
Weaner steers lacking cover and size ranged from 196c to 280c and with more weight sold to a top of 344c and lighter weaner heifers from 150c to 220c and the better bodies sold to 262c/kg. Yearling steers under 330kg made 222c to 268c and heaver steers from 240c to 308c while yearling heifers ranged from 150c to a top of 270c/kg.
Grown cattle were equal with steers making from 144c to 260c while grown heifers were consistently selling from 220c to 242c/kg.  Plain cows lacking frame size were selling from 40c to 100c while heavier cows gained 5/10c with bigger framed stores selling from 120c to 186c and medium to heavy cows from 176c to 222c/kg. 
Plain bulls that will not meet live shipping requirements mostly sold from 10c to 100c while bulls that are in spec for live shipping lifted 30c to realize 330c/kg.  Slaughter bulls also gained 5c to sell from 186c to 214c/kg
Terry Birkin  NLIS."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Vealer Heifer,0-200,Restocker,C,3,3,NQ,220.0,220.0,220,NQ,423.1,423.1,423.1,426.8,426.8,426.7999674479167
Vealer Heifer,200-280,Feeder,C,3,12,3,180.0,256.0,213.33333333333334,11.3,346.2,492.3,411.5,376.2,681.0,533.9000040690104
Vealer Heifer,200-280,Processor,C,2,2,NQ,184.0,184.0,184,NQ,368.0,368.0,368.0,460.0,460.0,460
Vealer Heifer,200-280,Processor,C,3,1,-7,180.0,180.0,180,-42.8,360.0,360.0,360.0,468.0,468.0,468
Vealer Heifer,200-280,Restocker,C,2,8,NQ,160.0,180.0,177.5,NQ,320.0,360.0,355.0,390.4,397.8,396.8749809265137
Vealer Heifer,200-280,Restocker,C,3,55,25,180.0,250.0,232.43636363636364,18.0,346.2,480.8,447.0,466.2,665.0,587.7636363636364
Vealer Heifer,280-330,Feeder,C,3,30,NQ,210.0,262.0,252.86666666666667,NQ,403.8,503.8,486.3,672.0,864.6,799.42666015625
Vealer Heifer,280-330,Feeder,D,3,6,NQ,214.0,214.0,214,NQ,411.5,411.5,411.5,695.5,695.5,695.5
Vealer Heifer,280-330,Processor,C,2,4,NQ,150.0,220.0,202.5,NQ,300.0,423.1,392.3,423.0,666.6,605.6999816894531
Vealer Heifer,280-330,Restocker,C,2,1,-1,184.0,184.0,184,64.0,368.0,368.0,368.0,526.2,526.2,526.239990234375
Vealer Heifer,280-330,Restocker,C,3,11,-14,180.0,236.0,205.45454545454547,-36.3,360.0,453.8,402.7,514.8,665.5,583.30908203125
Vealer Heifer,330+,Feeder,C,2,2,NQ,215.0,215.0,215,NQ,430.0,430.0,430.0,748.2,748.2,748.2000122070312
Vealer Heifer,330+,Feeder,C,3,7,NQ,224.0,238.0,236,NQ,430.8,457.7,453.8,828.8,863.9,858.9200177873884
Vealer Heifer,330+,Feeder,D,3,5,NQ,234.0,234.0,234,NQ,450.0,450.0,450.0,823.7,823.7,823.67998046875
Vealer Heifer,330+,Restocker,C,3,1,NC,242.0,242.0,242,-44.0,465.4,465.4,465.4,871.2,871.2,871.2000122070312
Grown Steer,0-400,Feeder,D,2,1,NQ,192.0,192.0,192,NQ,384.0,384.0,384.0,702.7,702.7,702.719970703125
Grown Steer,400-500,Feeder,C,2,1,NQ,180.0,180.0,180,NQ,339.6,339.6,339.6,856.8,856.8,856.7999877929688
Grown Steer,400-500,Feeder,C,3,4,NQ,260.0,260.0,260,NQ,472.7,472.7,472.7,1240.2,1240.2,1240.199951171875
Grown Steer,400-500,Feeder,D,2,2,NQ,144.0,160.0,152,NQ,288.0,320.0,304.0,601.9,755.2,678.5599975585938
Grown Steer,400-500,Feeder,D,3,12,NQ,170.0,228.0,219,NQ,320.8,430.2,413.2,816.0,1042.0,969.5833333333334
Grown Steer,400-500,Processor,C,3,4,NQ,180.0,240.0,220,NQ,327.3,436.4,400.0,856.8,1173.6,1037.499984741211
Grown Steer,400-500,Processor,D,3,17,11,210.0,252.0,242.23529411764707,22.2,396.2,475.5,457.0,960.5,1168.6,1135.1094252642463
Grown Steer,500-600,Processor,C,3,6,-8,200.0,258.0,241.66666666666666,-14.0,377.4,469.1,441.7,1188.0,1392.4,1337.096659342448
Grown Steer,600-750,Processor,C,3,2,-2,242.0,250.0,246,2.0,440.0,454.5,447.3,1720.0,1747.2,1733.6199951171875
Grown Heifer,0-540,Feeder,C,3,5,-42,238.0,238.0,238,-8.6,457.7,457.7,457.7,1094.8,1094.8,1094.8
Grown Heifer,0-540,Processor,C,3,20,-5,220.0,252.0,248.3,23.0,423.1,484.6,477.5,1069.2,1320.5,1237.3099792480468
Grown Heifer,540+,Processor,C,3,4,-10,220.0,242.0,226.5,11.8,423.1,465.4,435.6,1332.0,1413.3,1369.2300109863281
Cows,0-400,Feeder,D,2,16,15,110.0,168.0,147.125,23.1,239.1,365.2,314.7,405.6,535.9,512.3599891662598
Cows,0-400,Processor,D,2,13,1,40.0,130.0,93.23076923076923,-57.7,87.0,270.8,201.8,109.6,488.8,348.94153477595404
Cows,0-400,Restocker,D,2,9,NQ,120.0,120.0,120,NQ,250.0,250.0,250.0,440.4,440.4,440.3999837239583
Cows,400-520,Feeder,D,2,35,18,120.0,172.0,159.71428571428572,-7.2,260.9,358.3,335.6,540.0,873.6,730.8120029994419
Cows,400-520,Feeder,D,3,19,NQ,100.0,216.0,174.52631578947367,NQ,217.4,432.0,356.9,416.0,1103.8,797.7389397872122
Cows,400-520,Processor,D,2,15,5,40.0,180.0,150,-12.3,87.0,391.3,318.2,161.2,864.0,653.6880096435547
Cows,400-520,Processor,D,3,17,-9,174.0,228.0,187.76470588235293,7.8,362.5,456.0,376.4,852.6,1080.7,935.2905847886029
Cows,400-520,Restocker,D,2,4,2,100.0,166.0,116.5,-41.5,217.4,345.8,249.5,431.0,766.9,514.9799957275391
Cows,400-520,Restocker,D,3,8,NC,165.0,165.0,165,1.0,343.8,343.8,343.8,696.3,696.3,696.2999877929688
Cows,520+,Feeder,D,2,2,-2,50.0,140.0,95,-81.0,108.7,291.7,200.2,321.0,859.6,590.2999877929688
Cows,520+,Feeder,D,3,21,18,170.0,208.0,186.1904761904762,-10.5,354.2,416.0,383.8,936.7,1273.1,1071.2761753627233
Cows,520+,Processor,D,2,18,14,150.0,184.0,180.55555555555554,15.6,312.5,383.3,376.2,973.8,1061.7,1026.3556043836807
Cows,520+,Processor,D,3,124,-6,180.0,222.0,210.51612903225808,13.6,360.0,444.0,421.0,943.2,1613.2,1298.3936295047884
Bulls,0-450,Live Export,C,2,14,NQ,120.0,136.0,128,NQ,240.0,272.0,256.0,180.0,266.6,223.27999441964286
Bulls,0-450,Live Export,C,3,88,21,180.0,310.0,255.3181818181818,36.5,327.3,563.6,464.2,388.8,1088.5,778.9818136041814
Bulls,0-450,Live Export,D,3,39,30,100.0,330.0,235.12820512820514,-10.4,188.7,622.6,443.6,249.0,826.5,605.1923076923077
Bulls,0-450,Processor,D,2,5,NQ,100.0,100.0,100,NQ,208.3,208.3,208.3,256.0,256.0,256
Bulls,0-450,Restocker,C,2,3,NQ,100.0,100.0,100,NQ,208.3,208.3,208.3,274.0,274.0,274
Bulls,0-450,Restocker,C,3,5,-7,248.0,326.0,263.6,98.4,450.9,592.7,479.3,399.3,1271.4,573.70400390625
Bulls,0-450,Restocker,D,2,5,NQ,50.0,50.0,50,NQ,100.0,100.0,100.0,109.0,109.0,109
Bulls,0-450,Restocker,D,3,1,NQ,150.0,150.0,150,NQ,283.0,283.0,283.0,246.0,246.0,246
Bulls,450-600,Live Export,C,3,3,-16,164.0,220.0,201.33333333333334,-6.2,298.2,400.0,366.1,843.0,1245.2,1102.3200073242188
Bulls,450-600,Live Export,D,3,3,-4,224.0,230.0,228,33.1,422.6,434.0,430.2,1062.6,1299.2,1141.4666341145833
Bulls,450-600,Processor,C,3,3,-1,156.0,180.0,172,-38.0,283.6,327.3,312.7,929.8,1022.4,978.3200073242188
Bulls,450-600,Processor,D,2,1,NQ,150.0,150.0,150,NQ,283.0,283.0,283.0,771.0,771.0,771
Bulls,600+,Live Export,C,3,4,2,186.0,224.0,199.5,-3.5,338.2,407.3,362.7,1161.8,1422.0,1299.2999877929688
Bulls,600+,Live Export,D,3,2,-1,220.0,220.0,220,14.0,415.1,415.1,415.1,1416.8,1416.8,1416.800048828125
Bulls,600+,Processor,C,3,15,4,166.0,214.0,194.66666666666666,6.3,301.8,389.1,353.9,1075.7,2003.4,1535.0480143229167
Bulls,600+,Processor,D,2,1,-1,140.0,140.0,140,15.0,269.2,269.2,269.2,1047.2,1047.2,1047.199951171875
