Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Muchea
Report Date: 03/02/2025
Comparison Date: 28/01/2025
Total Yarding: 1054 (+291)
Commentary
"There was just over 1000 head today at Muchea. The sale was made up mostly of local cattle with a good line up of heavy trade steers and heifers showing finished weights as well as quality prime cows. The buying group was not quite at full capacity however pricing on cows and slaughter bulls held ground on recent upward trends. Yearling steers improved on last weeks values mostly due to better quality while most other categories remained equal. 
Vealer steers in store condition or with smaller frames were sometimes hard to sell starting from 100c up to 230c for the better types and with more frame and weight sold from 240c to 326c/kg. Vealer heifers lacking weight and size ranged from 80c to 170c and when showing more condition sold from 196c to 280c, also firm on last week. Yearling steers lacking fat cover returned 150c to 200c and with more weight and cover sold up to 336c/kg. Lighter yearling heifers were hard to attract bids ranging from 50c to 160c while better heifers sold from 180c to 274c with no change in pricing.
Grown steers returned 240c to 290c while grown heifers sold from 200c to 280c/kg.   Plain small- framed cows were selling from 50c to 100 while bigger framed Stores ranged from 120c to 178c/kg. Medium cows sold from 180c to 210c and prime cows consistently sold from 220c to 246c/kg. 
 Shipping bulls made 180c to 290c and slaughter bulls returned 162c to 246c to gain 6c/kg.
Terry Birkin MLA."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Restocker,C,2,1,NQ,146.0,146.0,146,NQ,280.8,280.8,280.8,286.2,286.2,286.1600036621094
Yearling Steer,200-280,Feeder,C,2,1,NQ,200.0,200.0,200,NQ,384.6,384.6,384.6,504.0,504.0,504
Yearling Steer,200-280,Live Export,C,3,10,NQ,224.0,240.0,232,NQ,407.3,436.4,421.8,625.0,672.0,648.4800048828125
Yearling Steer,200-280,Live Export,D,3,3,NQ,248.0,248.0,248,NQ,467.9,467.9,467.9,637.4,637.4,637.3599853515625
Yearling Steer,200-280,Processor,C,2,2,NQ,178.0,178.0,178,NQ,342.3,342.3,342.3,441.4,441.4,441.44000244140625
Yearling Steer,200-280,Processor,D,2,1,NQ,120.0,120.0,120,NQ,230.8,230.8,230.8,271.2,271.2,271.20001220703125
Yearling Steer,200-280,Restocker,C,2,8,NQ,150.0,150.0,150,NQ,288.5,288.5,288.5,396.0,396.0,396
Yearling Steer,200-280,Restocker,D,2,2,NQ,80.0,240.0,160,NQ,160.0,461.5,310.8,188.8,609.6,399.19998931884766
Yearling Steer,280-330,Feeder,C,2,3,NQ,196.0,196.0,196,NQ,392.0,392.0,392.0,617.4,617.4,617.4000244140625
Yearling Steer,280-330,Feeder,C,3,10,9,310.0,310.0,310,70.0,563.6,563.6,563.6,964.1,964.1,964.1
Yearling Steer,280-330,Live Export,D,3,8,5,278.0,278.0,278,30.0,524.5,524.5,524.5,861.8,861.8,861.7999877929688
Yearling Steer,280-330,Pastoral Cattle,D,3,4,NQ,220.0,268.0,250,NQ,415.1,505.7,471.7,677.6,825.4,762.6799926757812
Yearling Steer,280-330,Processor,D,2,1,NQ,196.0,196.0,196,NQ,376.9,376.9,376.9,595.8,595.8,595.8400268554688
Yearling Steer,280-330,Restocker,C,3,2,NQ,300.0,300.0,300,NQ,545.5,545.5,545.5,954.0,954.0,954
Yearling Steer,330-400,Feeder,C,3,35,34,270.0,336.0,307.42857142857144,67.4,490.9,610.9,559.0,947.7,1206.2,1134.7120047433036
Yearling Steer,330-400,Processor,C,2,2,NQ,210.0,210.0,210,NQ,403.8,403.8,403.8,732.9,732.9,732.9000244140625
Yearling Steer,400+,Feeder,C,3,23,22,230.0,306.0,255.91304347826087,-44.1,418.2,556.4,471.5,993.6,1343.3,1139.9634638247283
Yearling Steer,400+,Feeder,D,3,1,NQ,220.0,220.0,220,NQ,415.1,415.1,415.1,906.4,906.4,906.4000244140625
Yearling Steer,400+,Live Export,D,3,1,NQ,262.0,262.0,262,NQ,494.3,494.3,494.3,1100.4,1100.4,1100.4000244140625
Yearling Heifer,200-280,Feeder,C,2,5,NQ,160.0,160.0,160,NQ,333.3,333.3,333.3,409.6,409.6,409.6
Yearling Heifer,200-280,Feeder,D,2,8,3,110.0,110.0,110,-40.0,220.0,220.0,220.0,295.9,295.9,295.8999938964844
Yearling Heifer,200-280,Live Export,C,3,2,NQ,176.0,230.0,203,NQ,352.0,442.3,397.2,355.5,496.8,426.1599884033203
Yearling Heifer,200-280,Processor,D,2,1,-1,68.0,68.0,68,-2.0,141.7,141.7,141.7,165.9,165.9,165.9199981689453
Yearling Heifer,200-280,Restocker,C,2,1,-1,48.0,48.0,48,-92.0,100.0,100.0,100.0,113.3,113.3,113.27999877929688
Yearling Heifer,200-280,Restocker,D,2,1,NC,50.0,50.0,50,-10.0,104.2,104.2,104.2,135.0,135.0,135
Yearling Heifer,280-330,Feeder,C,2,3,NQ,202.0,202.0,202,NQ,404.0,404.0,404.0,644.4,644.4,644.3800048828125
