Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Charters Towers
Report Date: 06/11/2024
Comparison Date: 30/10/2024
Total Yarding: 2980 (+868)
Commentary
"Numbers increased by more than 850 for a yarding of 2980 cattle. Quality was very mixed comprising of an increased supply of grown steers and bullocks,northern males and bulls and several local lines showing the effects of the season . All regular processors were in attendance and operating, supported by one live exporter, feeder and opportunity restockers. Cattle were drawn from Mt Isa, Normanton, Georgetown, local and coastal areas.

Demand was firms for good quality cattle, particularly those suitable for live export or slaughter, while lesser quality types attracted minimal demand..Grown steers and bullocks improved 3c to 20c, grown heifers were firm to 13c higher, medium weight cows  eased 6c and heavy bulls averaged 10c to 14c better. 

Young weaned steers returning to the paddock averaged 254c selling to 272c, similar heifers also to restockers reached 234c to average 217c to 230c/kg. Light yearling steers returning to grass made to 270c, averaging 249c and steers above 280kg averaged 259c/kg. Steers above 330kg suitable for live export averaged 292c to 305c/kg. Yearling steers above 400kg to live export sold  to 304c, a small sample to processors made 310c/kg.  A good sample of yearling heifers above 330kg to feed made to 254c to average 249c, with heifers above 400kg to the trade selling to 280c to average 274c/kg.

An increased supply of grown steers met strong demand throughout. Steers above 400kg to live export sold to 294c to average 288c, steers to processors reached 312c to average 289c/kg. Heavy grown steers above 500kg to processors topped at 336c to average 317c/kg. Grown heifers to the trade averaged 255c to 282c selling to 296c/kg.

Full-mouthed bullocks to export slaughter sold to 328c to average 290c, heavy bullocks topped at 332c to average 309c to 327c/kg. Lightweight cows to feed sold to 210c to average 176c, 2 scores to processors averaged 201c/kg. A reduced supply of medium weight 3 score cows to processors sold to 274c to average 246c/kg. A small sample of prime heavyweight cows topped at 274c to average 270c/kg. Heavy bulls to live export reached 294c, most sales from 270c to 288c, while bulls to processors topped at  312c to average 220c to 274c/kg.

A small number of cows and calves sold from $600 to $945 per unit.

Market Reporter, Mick Kingham"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Feeder,D,2,5,NQ,180.0,186.0,183.6,NQ,346.2,357.7,353.1,334.8,342.0,337.67999267578125
Yearling Steer,200-280,Feeder,D,2,6,4,180.0,312.0,234,24.0,346.2,600.0,450.0,378.0,873.6,582.1999918619791
Yearling Steer,200-280,Feeder,E,2,2,NQ,200.0,200.0,200,NQ,392.2,392.2,392.2,540.0,540.0,540
Yearling Steer,200-280,Live Export,D,2,2,NQ,246.0,246.0,246,NQ,473.1,473.1,473.1,688.8,688.8,688.7999877929688
Yearling Steer,200-280,Processor,D,2,8,NQ,196.0,220.0,209,NQ,376.9,423.1,401.9,480.0,594.0,544.4000015258789
Yearling Steer,200-280,Restocker,D,2,39,1,240.0,270.0,248.87179487179486,-13.8,461.5,519.2,478.6,639.8,715.5,661.7584635416666
Yearling Steer,280-330,Feeder,D,2,6,-12,220.0,320.0,303.3333333333333,144.8,423.1,615.4,583.3,715.0,928.0,892.5
Yearling Steer,280-330,Live Export,D,2,19,3,250.0,298.0,285.36842105263156,5.1,480.8,573.1,548.8,800.0,983.4,935.136872944079
Yearling Steer,280-330,Processor,D,2,9,NQ,200.0,248.0,205.33333333333334,NQ,384.6,476.9,394.9,640.0,806.0,658.4444444444445
Yearling Steer,280-330,Restocker,D,2,59,58,180.0,278.0,259.2881355932203,39.3,346.2,534.6,498.6,513.0,889.6,778.9305068193856
Yearling Steer,330-400,Feeder,C,2,2,NQ,270.0,270.0,270,NQ,519.2,519.2,519.2,945.0,945.0,945
Yearling Steer,330-400,Feeder,D,2,14,NQ,202.0,285.0,266,NQ,388.5,548.1,511.5,787.8,1011.8,925.2142813546317
Yearling Steer,330-400,Live Export,C,2,15,NQ,288.0,298.0,292.6666666666667,NQ,543.4,573.1,557.2,1108.8,1132.4,1119.81337890625
Yearling Steer,330-400,Live Export,D,2,22,9,298.0,314.0,305.27272727272725,38.7,573.1,603.8,587.1,1051.9,1087.7,1071.42724609375
Yearling Steer,330-400,Processor,D,2,6,NQ,208.0,208.0,208,NQ,400.0,400.0,400.0,717.6,717.6,717.5999348958334
Yearling Steer,330-400,Restocker,D,2,40,NQ,246.0,280.0,260.45,NQ,473.1,538.5,500.9,947.1,994.0,967.032470703125
Yearling Steer,400+,Feeder,C,2,25,NQ,288.0,288.0,288,NQ,543.4,543.4,543.4,1166.4,1209.6,1181.9519921875
Yearling Steer,400+,Live Export,C,2,14,NQ,304.0,304.0,304,NQ,573.6,573.6,573.6,1413.6,1413.6,1413.6000279017858
Yearling Steer,400+,Live Export,C,3,23,NQ,300.0,300.0,300,NQ,555.6,555.6,555.6,1455.0,1455.0,1455
Yearling Steer,400+,Live Export,D,2,1,NQ,280.0,280.0,280,NQ,538.5,538.5,538.5,1218.0,1218.0,1218
Yearling Steer,400+,Processor,C,3,12,NQ,310.0,310.0,310,NQ,574.1,574.1,574.1,1581.0,1581.0,1581
Yearling Steer,400+,Processor,D,3,1,NQ,234.0,234.0,234,NQ,441.5,441.5,441.5,959.4,959.4,959.4000244140625
Yearling Heifer,200-280,Feeder,D,2,48,16,180.0,260.0,215.875,51.1,346.2,500.0,415.1,400.4,728.0,555.7125015258789
Yearling Heifer,200-280,Processor,C,2,18,NQ,238.0,260.0,249,NQ,457.7,500.0,478.8,606.9,702.0,654.4500054253472
Yearling Heifer,200-280,Processor,C,3,11,NQ,238.0,238.0,238,NQ,457.7,457.7,457.7,666.4,666.4,666.4000355113636
Yearling Heifer,200-280,Processor,D,2,4,-28,170.0,180.0,172.5,-18.4,326.9,346.2,331.7,408.0,504.0,432
Yearling Heifer,280-330,Feeder,C,2,27,7,240.0,276.0,256.74074074074076,11.5,461.5,530.8,493.7,744.0,855.6,797.3407118055555
Yearling Heifer,280-330,Feeder,D,2,80,54,226.0,254.0,249.1,23.7,434.6,488.5,479.0,723.2,812.8,783.8100036621094
Yearling Heifer,280-330,Processor,C,2,5,4,262.0,262.0,262,52.0,503.8,503.8,503.8,799.1,799.1,799.1
Yearling Heifer,280-330,Processor,D,3,1,NQ,230.0,230.0,230,NQ,442.3,442.3,442.3,724.5,724.5,724.5
Yearling Heifer,280-330,Restocker,D,2,29,27,200.0,200.0,200,-38.0,384.6,384.6,384.6,630.0,630.0,630
Yearling Heifer,330-400,Processor,C,3,8,-4,274.0,274.0,274,12.2,517.0,517.0,517.0,986.4,986.4,986.4000244140625
Yearling Heifer,330-400,Processor,D,2,29,NQ,230.0,230.0,230,NQ,442.3,442.3,442.3,793.5,793.5,793.5
Yearling Heifer,330-400,Processor,D,3,2,-15,258.0,258.0,258,6.0,496.2,496.2,496.2,890.1,890.1,890.0999755859375
Yearling Heifer,400+,Processor,C,3,9,NQ,254.0,280.0,274.22222222222223,NQ,479.2,528.3,517.4,1054.1,1204.0,1170.6888834635417
Vealer Steer,0-200,Feeder,D,2,10,NQ,180.0,200.0,196,NQ,346.2,384.6,376.9,225.0,350.0,325
