Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Heifer,330-400,Processor,C,2,31,22,266.0,268.0,266.38709677419354,-8.9,511.5,515.4,512.3,970.9,1031.8,982.6871062247984
Yearling Heifer,330-400,Processor,D,2,3,-5,260.0,260.0,260,0.3,500.0,500.0,500.0,897.0,897.0,897
Yearling Heifer,330-400,Processor,D,3,6,NQ,254.0,254.0,254,NQ,488.5,488.5,488.5,914.4,914.4,914.4000651041666
Yearling Heifer,400+,Processor,C,3,4,NQ,298.0,298.0,298,NQ,562.3,562.3,562.3,1296.3,1296.3,1296.300048828125
Yearling Heifer,400+,Processor,D,3,5,NQ,284.0,296.0,288.8,NQ,546.2,569.2,555.4,1164.4,1228.4,1190.000048828125
Vealer Steer,0-200,Feeder,D,2,1,NQ,210.0,210.0,210,NQ,403.8,403.8,403.8,399.0,399.0,399
Vealer Steer,0-200,Restocker,C,2,18,NQ,366.0,366.0,366,NQ,703.8,703.8,703.8,695.4,695.4,695.4000108506945
Vealer Steer,0-200,Restocker,D,2,40,-111,242.0,260.0,254.6,-9.6,465.4,500.0,489.6,350.9,429.0,405.5699951171875
Vealer Steer,200-280,Feeder,D,2,1,NQ,180.0,180.0,180,NQ,352.9,352.9,352.9,378.0,378.0,378
Vealer Steer,200-280,Processor,D,2,1,NQ,226.0,226.0,226,NQ,434.6,434.6,434.6,508.5,508.5,508.5
Vealer Steer,200-280,Restocker,C,2,139,104,260.0,310.0,293.568345323741,16.0,500.0,596.2,564.6,586.3,773.8,678.747485702844
Vealer Steer,200-280,Restocker,D,2,292,206,200.0,284.0,277.4246575342466,15.1,384.6,546.2,533.5,472.5,714.0,621.4390482445285
Vealer Steer,280-330,Feeder,D,2,2,NQ,266.0,266.0,266,NQ,511.5,511.5,511.5,824.6,824.6,824.5999755859375
Vealer Heifer,0-200,Feeder,C,2,28,NQ,210.0,210.0,210,NQ,403.8,403.8,403.8,378.0,388.5,383.625
Vealer Heifer,0-200,Feeder,D,2,11,-91,180.0,180.0,180,-23.5,346.2,346.2,346.2,360.0,360.0,360
Vealer Heifer,0-200,Processor,D,2,1,NQ,200.0,200.0,200,NQ,392.2,392.2,392.2,390.0,390.0,390
Vealer Heifer,0-200,Restocker,D,2,6,-34,214.0,214.0,214,-9.2,411.5,411.5,411.5,374.5,374.5,374.5
