Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Roma Store
Report Date: 15/04/2025
Comparison Date: 08/04/2025
Total Yarding: 5618 (+3400)
Commentary
"Roma Agents yarded 5,618 head a large increase on last sale. All the regular processors feedlotters and backgrounders present. A quality yarding penned with early weaners and heavy feeders and prime cows. The market could not maintain the levels of last sale. 

Yearling steers 200 to 280kg sold from 332c to 484c/kg. Yearling steers 280 to 330kg with the majority selling from 316c to 484c/kg for the better pens. Yearling steers 330 to 400kg went against the trend sold almost 10c/kg dearer to make 426c/kg. Yearling steers 400 to 480kg were dearer also and made from 385c to 410c/kg. Yearling steers over 480kg topped 386c/kg to feed.

Yearling heifers 200 to 280kg sold from 240c for the plainer types and to 360c/kg for the better pens. Yearling heifers 280 to 330kg sold to 346c to processors with heifers going on feed made to 372c/kg almost 25c/kg stronger than last sale. Yearling heifers 330 to 400kg with the majority selling from 240c  to 386c/kg for the better lines. Yearling heifers 400 to 480kg sold to a dearer trend topping 372c to feed and also to restockers.


Grown steers 400 to 500kg made to 398c/kg to feed. A small number grown steers 500 to 600kg made to 385c to processors and bullocks to 358c/kg. Grown heifers over 540kg were well sort after selling from 280c to 356c/kg to processors. Another top line up of trucked and travelled prime cows. The 2 score cows 400 to 520kg sold from 210c to 279c/kg. The 3 score cows over 520kg made to 317c/kg to processors. Heavy bulls over 600kg made to 326c/kg.
A large number of cows and calves penned and sold from $800/unit with the better runs making to $1975/unit.

Market reporter David Friend"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Steer,400-500,Processor,C,3,41,NQ,334.2,355.0,342.3170731707317,NQ,630.6,669.8,645.9,1467.1,1760.8,1581.7379001524391
Grown Steer,500-600,Processor,C,3,20,6,330.2,385.0,379.76000061035154,-12.4,623.0,726.4,716.5,1981.2,2010.0,1990.9648803710938
Grown Steer,600-750,Processor,C,3,5,-94,338.2,358.2,346.20001220703125,-22.1,638.1,675.8,653.2,2198.3,2367.4,2284.120068359375
Grown Heifer,0-540,Feeder,C,2,23,NQ,350.0,350.0,350,NQ,686.3,686.3,686.3,1400.0,1890.0,1783.4782608695652
Grown Heifer,0-540,Processor,C,2,73,NQ,280.0,340.2,307.3479513926049,NQ,549.0,667.1,602.6,1176.0,1701.0,1462.298634150257
Grown Heifer,0-540,Processor,C,3,97,76,270.0,354.2,338.9876444708441,9.6,529.4,694.5,664.7,1080.0,1837.1,1761.2370630637886
Grown Heifer,0-540,Restocker,C,2,50,NQ,242.2,362.2,350.20001953125,NQ,474.9,710.2,686.7,896.1,1448.8,1393.53408203125
Grown Heifer,540+,Feeder,C,2,12,NQ,348.2,348.2,348.2000325520833,NQ,682.7,682.7,682.7,1943.0,1943.0,1942.9560546875
Grown Heifer,540+,Feeder,C,3,12,NQ,348.2,348.2,348.2000325520833,NQ,682.7,682.7,682.7,1943.0,1943.0,1942.9560546875
Grown Heifer,540+,Processor,C,3,203,166,280.0,356.2,345.0236542800377,3.3,549.0,698.4,677.2,1540.0,2054.4,1967.0396295556882
Grown Heifer,540+,Restocker,C,2,6,NQ,290.2,290.2,290.20001220703125,NQ,569.0,569.0,569.0,1596.1,1596.1,1596.0999348958333
Cows,400-520,Processor,D,2,3,-9,202.2,210.2,204.86666361490884,-24.5,396.5,420.4,404.4,1011.0,1051.0,1024.3333333333333
Cows,400-520,Restocker,D,1,9,NQ,186.2,186.2,186.19999186197916,NQ,372.4,372.4,372.4,931.0,931.0,931
Cows,520+,Processor,C,2,1,NQ,249.2,249.2,249.1999969482422,NQ,498.4,498.4,498.4,1445.4,1445.4,1445.3599853515625
Cows,520+,Processor,D,1,3,-2,140.0,150.0,143.33333333333334,-14.7,280.0,300.0,286.7,812.0,945.0,865.6666666666666
Cows,520+,Processor,D,2,82,45,210.0,279.2,264.7036640818526,19.4,420.0,558.4,529.4,1218.0,1864.6,1657.173832590987
Cows,520+,Processor,D,3,645,405,274.2,317.2,300.1733421148256,-1.8,548.4,634.4,600.3,1530.1,2199.4,1976.6360925009085
Cows,520+,Restocker,D,1,12,NQ,166.2,166.2,166.19999186197916,NQ,332.4,332.4,332.4,1010.5,1010.5,1010.4960123697916
Cows,520+,Restocker,D,2,48,41,230.0,234.2,231.04999796549478,26.8,460.0,468.4,462.1,1358.4,1426.0,1386.0900065104167
Cows,520+,Restocker,D,3,12,NQ,278.2,278.2,278.20001220703125,NQ,556.4,556.4,556.4,1724.8,1724.8,1724.8400065104167
Bulls,0-450,Processor,C,2,2,-5,306.2,306.2,306.20001220703125,-22.0,577.7,577.7,577.7,1286.0,1286.0,1286.0400390625
Bulls,0-450,Restocker,C,2,24,-2,200.0,360.2,316.3166758219401,-33.9,377.4,679.6,596.8,580.0,1280.8,907.2800089518229
Bulls,600+,Processor,C,2,17,6,234.2,326.2,282.8117702708525,-21.6,468.4,620.4,556.9,2342.0,3588.2,3053.035271139706
Bulls,600+,Processor,C,3,68,54,256.2,326.2,305.7558916877298,2.5,512.4,652.4,611.5,2818.2,3522.2,3221.7940781537222
