Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Leongatha
Report Date: 04/02/2025
Comparison Date: 28/01/2025
Total Yarding: 2946 (+379)
Commentary
"There were approximately 2540 export and 400 young cattle penned representing an increase of 380 head week-on-week. The usual buying group was present and operating in a cheaper market in places. Quality was good in the lead pens while secondary and plainer cattle made up a larger proportion of the sale. Well finished trade cattle held firm while the larger offering of secondary and plainer lots sold to weaker competition. Grown steers and bullocks sold firm. Manufacturing steers lost 10c to 25c/kg. Heavy grown heifers eased 5c/kg. Heavy beef cows lost 5c to 15c while most dairy lots gave back 10c to 20c/kg. Restockers were attracted to the lower prices in the cow sale with a number of select pens returning to the paddock. Heavy beef bred bulls sold firm while dairy lots slipped 20c/kg. 

Vealers sold from 263c to 380c/kg. Yearling trade steers made between 320c and 350c/kg. Yearling heifers to the trade sold between 300c and 346c/kg. Grown steers made from 320c to 388c/kg. Bullocks sold from 335c to 406c/kg. Heavy grown heifers showing good finish made between 298c and 350c/kg. 

Heavy Friesian manufacturing steers sold between 220c and 318c with the crossbred portion between 248c and 370c/kg. Most light and medium weight cows made from 165c to 264c/kg. Heavy weight cows sold mostly from 220c to 396c/kg. Restocking cows made between 110c and 220c/kg. Heavy bulls sold between 238c and 322c/kg. 

Market reporter: Brendan Fletcher."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Vealer Steer,330+,Processor,C,2,3,NC,310.0,329.0,322.6666666666667,-12.3,563.6,598.2,586.7,1116.0,1184.4,1161.6000162760417
Vealer Steer,330+,Processor,C,3,20,5,330.0,348.0,337.35,-3.5,589.3,621.4,602.4,1142.4,1332.0,1279.7999938964845
Vealer Steer,330+,Processor,D,3,1,-2,330.0,330.0,330,27.0,611.1,611.1,611.1,1254.0,1254.0,1254
Vealer Heifer,280-330,Processor,C,2,4,-3,310.0,310.0,310,-12.0,574.1,574.1,574.1,1007.5,1007.5,1007.5
Vealer Heifer,280-330,Processor,C,3,1,-7,335.0,335.0,335,3.8,598.2,598.2,598.2,1005.0,1005.0,1005
Vealer Heifer,280-330,Restocker,C,2,2,1,263.0,263.0,263,-37.0,469.6,469.6,469.6,867.9,867.9,867.9000244140625
Vealer Heifer,330+,Processor,B,2,9,NQ,330.0,355.0,333.8888888888889,NQ,586.2,612.1,591.5,1221.0,1242.5,1223.7222222222222
Vealer Heifer,330+,Processor,B,3,2,-16,345.0,345.0,345,-6.1,594.8,594.8,594.8,1380.0,1380.0,1380
Vealer Heifer,330+,Processor,C,2,3,1,320.0,320.0,320,8.0,581.8,581.8,581.8,1120.0,1120.0,1120
Vealer Heifer,330+,Processor,C,3,21,-3,300.0,337.0,332.9047619047619,-13.6,535.7,601.8,594.5,1179.5,1260.0,1237.0809384300596
Vealer Heifer,330+,Processor,D,3,13,10,300.0,320.0,315.84615384615387,12.5,555.6,592.6,579.1,1020.0,1216.0,1147.5077373798076
Manufacturing Steer,0-540,Dairy,D,1,27,19,240.0,247.0,243.33333333333334,-48.7,500.0,514.6,506.9,1049.2,1200.0,1162.1666666666667
Manufacturing Steer,0-540,Dairy,E,2,3,2,220.0,220.0,220,-52.0,478.3,478.3,478.3,1045.0,1045.0,1045
Manufacturing Steer,0-540,Processor,C,2,9,NQ,287.0,287.0,287,NQ,541.5,541.5,541.5,1506.8,1506.8,1506.75
Manufacturing Steer,0-540,Restocker,C,2,6,NQ,323.0,323.0,323,NQ,598.1,598.1,598.1,1744.2,1744.2,1744.1998697916667
