Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: CQLX Gracemere
Report Date: 29/01/2025
Comparison Date: 
Total Yarding: 3299 (NQ)
Commentary
"CQLX vendors offered 3299 head this week at Gracemere - 741 less than last sale. Quality was variable throughout the sale with several drafts of plain conditioned cross bred grown steers for feeders along with smaller runs of restocker and feeder steers and heifers present. Competition came from a smaller feeder gallery, the usual processors panel of buyers and an ever-changing restockers buying group. Price variations were mostly in line with quality.

Vealer steers sold to 425c/kg, whilst vealer heifers topped at 317c/kg to average 250c to 284c/kg.

Light weight pens of Yearling steers saw the best-bred lines sell to 447c/kg with averages from 385c to 412c/kg. Medium weight lines made to 425c/kg, averaging 380c to 407c/kg. Light weight pens of yearling heifers, selling to 331c/kg, averaged 253c to 296c/kg, whilst the medium weights reached a 337c/kg top to average 263c to 315c/kg.

Grown steers in plain condition, with Brahman content averaged from 308c to 341c/kg with better cross bred feeders selling to 415c/kg to average 374c to 386c/kg. A few bullocks offered sold to average 338c/kg. Grown heifers to trade buyers sold to average 272c to 296c/kg, topping at 312c/kg.

Several lines of store conditioned cows went back to restockers, making to 251c/kg, while prime, score four cows made to 295c/kg to return a 275c/kg average.  Again, heavy bulls sold to processors at a reduced average of 244c/kg. Good average cows and calves sold from $1,200 to $1,500 per unit."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Heifer,330-400,Feeder,C,2,14,-6,265.0,299.0,294.14285714285717,-13.5,509.6,575.0,565.7,940.8,1106.3,1082.6500418526787
Yearling Heifer,330-400,Processor,C,2,6,NQ,293.0,293.0,293,NQ,563.5,563.5,563.5,1054.8,1054.8,1054.800048828125
Yearling Heifer,330-400,Restocker,D,2,9,-8,271.0,271.0,271,-6.2,521.2,521.2,521.2,989.2,989.2,989.1500651041666
Yearling Heifer,400+,Processor,D,3,8,NQ,270.0,270.0,270,NQ,519.2,519.2,519.2,1120.5,1120.5,1120.5
Vealer Steer,0-200,Restocker,D,2,1,NQ,295.0,295.0,295,NQ,567.3,567.3,567.3,413.0,413.0,413
Vealer Steer,200-280,Restocker,C,2,2,NQ,353.0,417.0,385,NQ,678.8,801.9,740.4,794.3,875.7,834.9750061035156
Vealer Steer,200-280,Restocker,D,2,15,NQ,421.0,425.0,422.8666666666667,NQ,809.6,817.3,813.2,871.3,926.2,900.5566731770833
Vealer Steer,280-330,Restocker,C,2,1,NQ,409.0,409.0,409,NQ,786.5,786.5,786.5,1247.4,1247.4,1247.449951171875
Vealer Heifer,0-200,Processor,C,2,5,NQ,250.0,250.0,250,NQ,480.8,480.8,480.8,500.0,500.0,500
Vealer Heifer,0-200,Processor,D,2,2,-2,250.0,250.0,250,-13.3,480.8,480.8,480.8,412.5,412.5,412.5
Vealer Heifer,0-200,Restocker,C,2,4,NQ,257.0,257.0,257,NQ,494.2,494.2,494.2,398.4,398.4,398.3500061035156
Vealer Heifer,0-200,Restocker,D,2,13,11,235.0,291.0,273.84615384615387,18.3,451.9,559.6,526.6,305.5,538.3,485.0807448167067
Vealer Heifer,200-280,Processor,C,2,4,NQ,255.0,265.0,257.5,NQ,490.4,509.6,495.2,548.3,596.3,560.25
Vealer Heifer,200-280,Processor,D,2,3,NQ,251.0,255.0,253.66666666666666,NQ,482.7,490.4,487.8,561.0,602.4,574.8000081380209
Vealer Heifer,200-280,Restocker,C,2,25,NQ,280.0,317.0,284.44,NQ,538.5,609.6,547.0,616.0,649.8,620.0619970703125
Vealer Heifer,200-280,Restocker,D,2,8,7,231.0,259.0,238,8.0,444.2,498.1,457.7,485.1,673.4,532.1750183105469
Grown Steer,0-400,Feeder,C,2,36,-98,321.0,415.0,373.8333333333333,-5.4,617.3,798.1,718.9,1227.4,1618.5,1451.7569478352864
Grown Steer,0-400,Feeder,D,2,29,-53,240.0,313.0,308.2413793103448,-39.2,461.5,601.9,592.8,792.0,1200.0,1060.9585802801723
Grown Steer,0-400,Restocker,C,2,8,NQ,385.0,387.0,386,NQ,740.4,744.2,742.3,1347.5,1393.2,1370.3499755859375
Grown Steer,0-400,Restocker,D,2,63,3,333.0,350.0,339.1111111111111,-10.8,640.4,673.1,652.1,945.0,1215.4,1171.009517609127
Grown Steer,400-500,Feeder,C,2,54,-153,331.0,360.0,353.537037037037,-27.1,636.5,692.3,679.9,1452.5,1674.0,1573.6203703703704
Grown Steer,400-500,Feeder,D,2,85,-93,320.0,349.0,341,-5.3,615.4,671.2,655.8,1328.0,1570.5,1498.2546875
Grown Steer,400-500,Processor,C,3,1,-2,291.0,291.0,291,-58.0,559.6,559.6,559.6,1193.1,1193.1,1193.0999755859375
Grown Steer,400-500,Processor,D,3,3,-1,243.0,243.0,243,-50.0,467.3,467.3,467.3,1117.8,1117.8,1117.800048828125
Grown Steer,400-500,Restocker,C,2,11,-20,359.0,359.0,359,-14.7,690.4,690.4,690.4,1525.8,1525.8,1525.75
Grown Steer,400-500,Restocker,D,2,6,NQ,289.0,289.0,289,NQ,555.8,555.8,555.8,1372.8,1372.8,1372.75
