Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Heifer,330-400,Restocker,C,2,47,NQ,250.0,266.0,256.468085106383,NQ,480.8,511.5,493.2,837.5,917.7,889.9766040558511
Yearling Heifer,330-400,Restocker,C,3,12,NQ,266.0,266.0,266,NQ,511.5,511.5,511.5,917.7,917.7,917.7000325520834
Yearling Heifer,330-400,Restocker,D,2,7,NQ,240.0,240.0,240,NQ,461.5,461.5,461.5,804.0,804.0,804
Yearling Heifer,400+,Processor,C,3,37,NQ,268.0,276.0,270.81081081081084,NQ,505.7,520.8,511.0,1145.4,1152.4,1149.9405880489865
Vealer Steer,0-200,Restocker,C,2,2,-66,248.0,248.0,248,-36.7,476.9,476.9,476.9,334.8,334.8,334.79998779296875
Vealer Steer,0-200,Restocker,D,2,17,-3,220.0,296.0,277.4117647058824,26.6,423.1,569.2,533.5,363.0,577.2,539.0117761948529
Vealer Steer,200-280,Processor,D,2,1,NC,252.0,252.0,252,12.0,484.6,484.6,484.6,630.0,630.0,630
Vealer Steer,200-280,Restocker,C,2,109,107,270.0,314.0,299.08256880733944,59.1,519.2,603.8,575.2,567.0,816.4,702.3412772362385
Vealer Steer,200-280,Restocker,D,2,199,135,234.0,310.0,281.27638190954775,-37.5,450.0,596.2,540.9,503.1,806.0,656.0261340884108
Vealer Steer,280-330,Restocker,C,2,6,NQ,286.0,286.0,286,NQ,550.0,550.0,550.0,815.1,815.1,815.0999348958334
Vealer Heifer,0-200,Feeder,C,2,9,NQ,222.0,234.0,224.66666666666666,NQ,426.9,450.0,432.1,410.7,456.3,420.8333468967014
Vealer Heifer,0-200,Feeder,D,2,17,15,182.0,182.0,182,6.0,350.0,350.0,350.0,309.4,309.4,309.3999885110294
Vealer Heifer,0-200,Feeder,E,2,11,NQ,150.0,150.0,150,NQ,288.5,288.5,288.5,285.0,285.0,285
Vealer Heifer,0-200,Processor,C,2,5,NQ,220.0,220.0,220,NQ,423.1,423.1,423.1,385.0,396.0,391.6
Vealer Heifer,0-200,Restocker,C,2,4,NQ,252.0,252.0,252,NQ,484.6,484.6,484.6,504.0,504.0,504
Vealer Heifer,200-280,Feeder,C,2,65,NQ,230.0,256.0,250.46153846153845,NQ,442.3,492.3,481.7,517.5,691.2,643.5753981370192
Vealer Heifer,200-280,Feeder,D,2,41,30,210.0,250.0,225.58536585365854,37.6,403.8,480.8,433.8,462.0,619.7,507.874404535061
Vealer Heifer,200-280,Processor,C,2,245,242,220.0,268.0,249.61632653061224,-0.4,423.1,515.4,480.0,462.0,750.4,641.3783768634407
Vealer Heifer,200-280,Processor,D,2,60,53,222.0,240.0,232.33333333333334,-17.7,426.9,461.5,446.8,510.6,598.0,576.3799906412761
Vealer Heifer,200-280,Restocker,C,2,27,NQ,220.0,250.0,225.55555555555554,NQ,423.1,480.8,433.8,561.0,675.0,575.6296296296297
Vealer Heifer,200-280,Restocker,D,2,24,6,222.0,256.0,249.58333333333334,59.6,426.9,492.3,480.0,455.1,550.4,535.6791750590006
Manufacturing Steer,0-540,Processor,C,3,10,NQ,294.0,294.0,294,NQ,544.4,544.4,544.4,1484.7,1484.7,1484.7
Manufacturing Steer,0-540,Processor,D,3,18,16,252.0,276.0,272.1666666666667,-35.8,483.0,520.8,514.0,1247.4,1490.4,1455.177781846788
Manufacturing Steer,0-540,Processor,D,4,1,NQ,288.0,288.0,288,NQ,533.3,533.3,533.3,1555.2,1555.2,1555.199951171875
Manufacturing Steer,0-540,Processor,E,2,1,NQ,202.0,202.0,202,NQ,388.5,388.5,388.5,898.9,898.9,898.9000244140625
