Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Muchea
Report Date: 25/11/2024
Comparison Date: 18/11/2024
Total Yarding: 1715 (-205)
Commentary
"Numbers were back a little from the previous 2 weeks however there were still good supplies to suite all buying orders. Local cattle were mostly Angus ranging from heavy grown steers down to light weaner heifers while Droughtmaster-cross were the dominant breed in the pastoral cattle. Weaner and yearling steers and heifers eased 20c while finished grown steers and heifers held firm to last weeks rates. Although one pen of prime cows reached 220c cows in general were softer by 10/15c/kg.   
Weaners were softer with the plainer steers selling from 150c to 250c and with more cover from 260c to 336c/kg while weaner heifers varied in quality starting from 74c to a top of 262c/kg. Yearling steers under 330kg ranged from 240c to 326c and heavier steers from 180c to 324c/kg.  Yearling heifers under 330kg returned 100c to 200c and over 330kg sold to a top of 268c/kg.
Pastoral steer calves ranged from 150c up to 248c with more weight and cover while pastoral heifers lacking weight and frame were hard to attract bids selling from 50c up to 120c and with better finish sold to a top of 228c/kg.
Grown steers sold from 214c to 310c while grown heifers made 150c to 246c/kg.  Light weight cows returned 82c to 148c while medium cows sold from 138c to 194c and heavy cows sold up to 220c/kg.
Store pastoral bulls were hard to sell ranging from 80c to 184c however bulls suitable for Shipping held up selling to a top of 324c while slaughter bulls were down to return 100c to 194c/kg.
Terry Birkin NLIS."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Heifer,330-400,Feeder,C,3,63,-4,220.0,260.0,250.66666666666666,-16.8,423.1,500.0,482.1,730.4,975.2,890.5590394035219
Yearling Heifer,330-400,Pastoral Cattle,D,3,14,5,154.0,188.0,179.71428571428572,-34.5,296.2,361.5,345.6,517.4,652.4,622.7314365931919
Yearling Heifer,330-400,Processor,C,3,49,43,220.0,260.0,253.3469387755102,-9.3,423.1,500.0,487.2,800.4,1024.3,942.0763288225446
Yearling Heifer,330-400,Processor,D,3,5,-8,208.0,208.0,208,-22.0,400.0,400.0,400.0,765.4,765.4,765.439990234375
Yearling Heifer,400+,Feeder,C,3,22,-4,190.0,268.0,259.72727272727275,7.4,365.4,515.4,499.5,771.4,1145.5,1086.0763633034446
Yearling Heifer,400+,Pastoral Cattle,D,3,4,2,180.0,200.0,185,5.0,346.2,384.6,355.8,725.4,852.0,757.050048828125
Yearling Heifer,400+,Processor,D,3,1,-3,228.0,228.0,228,-12.0,438.5,438.5,438.5,1076.2,1076.2,1076.1600341796875
Vealer Steer,0-200,Restocker,C,3,2,NQ,250.0,250.0,250,NQ,454.5,454.5,454.5,447.5,447.5,447.5
Vealer Steer,0-200,Restocker,D,3,1,NQ,160.0,160.0,160,NQ,301.9,301.9,301.9,294.4,294.4,294.3999938964844
Vealer Steer,200-280,Feeder,C,3,2,-30,338.0,338.0,338,-5.9,614.5,614.5,614.5,868.7,868.7,868.6599731445312
Vealer Steer,200-280,Pastoral Cattle,D,3,2,NQ,150.0,150.0,150,NQ,283.0,283.0,283.0,396.0,396.0,396
Vealer Steer,200-280,Restocker,C,2,37,NQ,150.0,322.0,289.4054054054054,NQ,283.0,607.5,546.0,345.0,838.4,709.3897276182432
Vealer Steer,200-280,Restocker,C,3,11,-34,312.0,316.0,313.45454545454544,-10.0,567.3,574.5,569.9,627.1,856.4,710.47998046875
Vealer Steer,200-280,Restocker,D,3,8,NQ,144.0,194.0,175.25,NQ,271.7,366.0,330.7,324.0,426.8,388.25
Vealer Steer,280-330,Feeder,C,3,10,-12,300.0,330.0,323,-4.0,545.5,600.0,587.3,920.7,1016.4,994.6200317382812
Vealer Steer,280-330,Restocker,C,2,10,NQ,228.0,332.0,321.6,NQ,430.2,626.4,606.8,652.1,969.4,937.7039978027344
Vealer Steer,280-330,Restocker,C,3,8,-22,280.0,304.0,295,-54.5,509.1,552.7,536.4,854.0,875.5,867.4500122070312
Vealer Steer,330+,Feeder,C,3,7,NQ,320.0,336.0,326.85714285714283,NQ,581.8,610.9,594.3,1116.8,1229.8,1165.211460658482
Vealer Steer,330+,Processor,C,3,8,NQ,296.0,334.0,311.5,NQ,538.2,607.3,566.4,1036.0,1169.0,1076.6499938964844
Vealer Steer,330+,Restocker,C,3,10,NQ,280.0,310.0,304,NQ,509.1,563.6,552.7,985.6,1100.5,1077.5199951171876
Vealer Heifer,0-200,Pastoral Cattle,D,2,6,NQ,50.0,62.0,52,NQ,100.0,124.0,104.0,92.0,115.3,95.88666661580403
Vealer Heifer,0-200,Restocker,C,2,5,NC,74.0,74.0,74,24.0,148.0,148.0,148.0,141.3,141.3,141.339990234375
Vealer Heifer,0-200,Restocker,C,3,3,NQ,260.0,260.0,260,NQ,500.0,500.0,500.0,507.0,507.0,507
Vealer Heifer,200-280,Pastoral Cattle,D,2,20,NQ,62.0,120.0,90.9,NQ,124.0,240.0,181.8,128.3,332.4,241.74799499511718
Vealer Heifer,200-280,Pastoral Cattle,D,3,17,NQ,120.0,120.0,120,NQ,230.8,230.8,230.8,322.8,322.8,322.79997702205884
Vealer Heifer,200-280,Processor,C,3,8,NQ,140.0,262.0,231.5,NQ,269.2,503.8,445.2,315.0,712.6,613.22998046875
Vealer Heifer,200-280,Restocker,C,3,6,-26,248.0,252.0,249.33333333333334,-4.1,476.9,484.6,479.5,523.3,617.4,554.6533610026041
Manufacturing Steer,0-540,Feeder,D,2,8,NQ,142.0,150.0,143,NQ,273.1,288.5,275.0,623.4,780.0,642.95751953125
Manufacturing Steer,540+,Feeder,D,2,6,NQ,152.0,152.0,152,NQ,292.3,292.3,292.3,864.9,864.9,864.8800455729166
Grown Steer,0-400,Feeder,C,3,3,2,260.0,260.0,260,-4.0,472.7,472.7,472.7,1032.2,1032.2,1032.199951171875
Grown Steer,0-400,Feeder,D,2,1,NQ,150.0,150.0,150,NQ,288.5,288.5,288.5,540.0,540.0,540
Grown Steer,400-500,Feeder,C,3,2,-7,278.0,278.0,278,14.4,505.5,505.5,505.5,1242.7,1242.7,1242.6600341796875
Grown Steer,400-500,Feeder,D,3,3,NQ,214.0,214.0,214,NQ,403.8,403.8,403.8,890.2,890.2,890.239990234375
Grown Steer,400-500,Processor,D,3,2,-30,220.0,220.0,220,-40.8,415.1,415.1,415.1,981.2,981.2,981.2000122070312
Grown Steer,500-600,Feeder,C,3,2,NQ,260.0,260.0,260,NQ,472.7,472.7,472.7,1320.8,1320.8,1320.800048828125
Grown Steer,500-600,Processor,C,3,20,11,236.0,310.0,259.1,-5.6,429.1,563.6,471.1,1224.0,1692.6,1412.264990234375
Grown Steer,600-750,Processor,C,3,44,34,240.0,250.0,249.54545454545453,-6.1,436.4,454.5,453.7,1545.6,1750.0,1689.8681807084517
Grown Heifer,0-540,Feeder,D,2,1,NQ,166.0,166.0,166,NQ,332.0,332.0,332.0,727.1,727.1,727.0800170898438
Grown Heifer,0-540,Pastoral Cattle,D,2,5,NQ,150.0,160.0,152,NQ,300.0,320.0,304.0,580.5,736.0,611.6
Grown Heifer,0-540,Pastoral Cattle,D,3,5,-10,180.0,180.0,180,-34.0,346.2,346.2,346.2,694.8,694.8,694.8
Grown Heifer,0-540,Processor,C,3,6,NC,238.0,242.0,240,-21.7,457.7,465.4,461.5,958.3,1044.8,1001.5699869791666
Grown Heifer,0-540,Processor,D,3,6,-2,204.0,204.0,204,-28.0,392.3,392.3,392.3,865.0,865.0,864.9600423177084
Grown Heifer,540+,Processor,C,3,11,5,230.0,246.0,232.9090909090909,-32.8,442.3,473.1,447.9,1370.2,1639.9,1590.8673206676137
Cows,0-400,Feeder,D,2,32,20,82.0,148.0,120.6875,-33.3,170.8,308.3,252.2,305.0,560.9,427.72124767303467
Cows,0-400,Pastoral Cattle,D,2,27,10,84.0,142.0,112.5925925925926,-14.6,175.0,295.8,234.6,299.9,472.9,395.02666558159723
Cows,0-400,Processor,D,2,24,13,110.0,132.0,120.08333333333333,-26.6,229.2,275.0,250.2,418.0,510.8,452.7816619873047
Cows,400-520,Feeder,D,2,17,-17,120.0,180.0,136.58823529411765,-6.7,250.0,375.0,284.6,488.4,921.6,599.3929443359375
Cows,400-520,Feeder,D,3,5,NQ,170.0,170.0,170,NQ,340.0,340.0,340.0,707.2,707.2,707.2
Cows,400-520,Pastoral Cattle,D,2,17,NQ,140.0,186.0,150.8235294117647,NQ,291.7,387.5,314.2,564.2,883.5,647.9764763327206
Cows,400-520,Processor,D,2,25,6,128.0,150.0,142.48,-22.0,266.7,312.5,296.8,549.1,651.4,589.420791015625
Cows,400-520,Processor,D,3,61,-13,138.0,194.0,171.18032786885246,-17.1,276.0,388.0,342.4,582.4,962.6,793.2081959208504
Cows,520+,Feeder,D,2,1,NC,140.0,140.0,140,-22.0,291.7,291.7,291.7,736.4,736.4,736.4000244140625
Cows,520+,Feeder,D,3,14,NQ,184.0,194.0,190.28571428571428,NQ,368.0,388.0,380.6,1032.1,1257.8,1072.1399797712054
Cows,520+,Processor,D,3,49,-50,160.0,204.0,196.81632653061226,-7.5,320.0,408.0,393.6,841.6,1520.0,1221.5024551080198
Cows,520+,Processor,D,4,2,NQ,80.0,132.0,106,NQ,160.0,264.0,212.0,789.4,804.8,797.0799865722656
Bulls,0-450,Live Export,C,2,1,NQ,200.0,200.0,200,NQ,384.6,384.6,384.6,420.0,420.0,420
Bulls,0-450,Live Export,C,3,72,63,240.0,324.0,277.5,43.9,436.4,589.1,504.5,442.5,1065.0,737.6283399793837
Bulls,0-450,Live Export,D,2,5,NQ,138.0,200.0,150.4,NQ,265.4,384.6,289.2,295.3,420.0,320.256005859375
Bulls,0-450,Live Export,D,3,20,-94,204.0,290.0,261.5,14.1,370.9,547.2,491.3,575.3,843.9,715.7120239257813
Bulls,0-450,Pastoral Cattle,D,2,8,NQ,80.0,80.0,80,NQ,153.8,153.8,153.8,208.0,208.0,208
Bulls,0-450,Processor,C,3,1,NQ,230.0,230.0,230,NQ,418.2,418.2,418.2,979.8,979.8,979.7999877929688
Bulls,0-450,Processor,D,2,20,NQ,80.0,104.0,92,NQ,153.8,200.0,179.4,184.0,227.8,208.27999267578124
Bulls,0-450,Processor,D,3,8,NC,178.0,190.0,185.5,9.8,335.8,358.5,350.0,647.9,834.1,764.2825012207031
Bulls,0-450,Restocker,C,2,1,NQ,200.0,200.0,200,NQ,384.6,384.6,384.6,420.0,420.0,420
Bulls,0-450,Restocker,D,2,15,8,92.0,184.0,139.06666666666666,39.1,176.9,353.8,267.4,163.8,541.0,344.7146769205729
Bulls,450-600,Processor,D,2,2,NQ,100.0,100.0,100,NQ,192.3,192.3,192.3,470.0,470.0,470
Bulls,450-600,Processor,D,3,18,NQ,148.0,196.0,174.66666666666666,NQ,279.2,369.8,329.6,671.9,1020.0,916.6199951171875
Bulls,600+,Processor,C,3,20,-5,140.0,194.0,179.95,-17.6,254.5,352.7,327.2,1230.0,1905.1,1576.575994873047
Bulls,600+,Processor,D,2,1,NQ,128.0,128.0,128,NQ,246.2,246.2,246.2,1141.8,1141.8,1141.760009765625
Bulls,600+,Processor,D,3,8,7,170.0,190.0,180.625,-23.4,320.8,358.5,340.8,1159.4,1776.0,1401.9250183105469
