Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Armidale
Report Date: 30/01/2025
Comparison Date: 16/01/2025
Total Yarding: 1540 (-620)
Commentary
"There was a reduction in supply by 600 head. The quality and condition of the offering was generally not as good as the previous sale. The exception being some very good heavy weight cows. There were limited numbers of well finished cattle to suit processors. Processor demand was weaker and there were less participants. The usual feedlot orders were in place along with some extra competition. 

The quality of the young cattle was a major factor in the significant price changes that were mainly in the negative. Market trends through the young cattle to restock and feed were generally cheaper. There were however isolated sales in both the steers and the heifers that held up reasonably well.

There were odd pens of grown steers and heifers suitable to feed that also held up close to levels of the last sale. Generally however market trends were cheaper. Limited availability and a lack of competition saw well finished grown steers and heifers to process much cheaper. Significantly cheaper trends through the cow market with limited processor competition. Heavy bulls were also much cheaper."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Heifer,540+,Processor,C,4,5,-9,280.0,280.0,280,-59.9,528.3,528.3,528.3,1568.0,1568.0,1568
Cows,0-400,Restocker,D,2,4,NQ,170.0,170.0,170,NQ,377.8,377.8,377.8,629.0,629.0,629
Cows,400-520,Processor,D,2,28,-33,215.0,240.0,229.25,-42.8,477.8,533.3,509.4,902.0,1200.0,1038.7857142857142
Cows,400-520,Processor,D,3,85,6,224.0,260.0,243.2941176470588,-40.5,476.6,541.7,515.0,1075.2,1300.0,1189.8699850643382
Cows,400-520,Restocker,D,2,13,10,180.0,220.0,202.30769230769232,-67.7,400.0,488.9,449.6,765.0,1034.0,895.4615384615385
Cows,520+,Processor,D,3,48,-9,250.0,265.0,256.4583333333333,-34.4,520.8,552.1,537.6,1356.8,1590.0,1443.2395833333333
Cows,520+,Processor,D,4,83,-28,250.0,275.0,269.2289156626506,-34.4,500.0,562.5,541.6,1404.0,2055.0,1813.173498682229
Bulls,0-450,Processor,C,2,3,-6,290.0,290.0,290,7.1,557.7,557.7,557.7,1102.0,1102.0,1102
Bulls,450-600,Processor,C,2,8,5,206.0,258.0,241.5,-38.5,381.5,477.8,447.2,1030.0,1367.4,1269.3500061035156
Bulls,450-600,Processor,D,2,2,NQ,170.0,214.0,192,NQ,340.0,411.5,375.8,850.0,1241.2,1045.5999755859375
Bulls,600+,Processor,B,2,14,5,246.0,273.0,267.92857142857144,-25.1,439.3,487.5,478.4,1829.2,2129.4,1927.45703125
Bulls,600+,Processor,B,3,7,-7,265.0,289.0,276.85714285714283,-21.4,473.2,516.1,494.4,1855.0,2660.0,2320.814278738839
Bulls,600+,Processor,C,2,22,-1,180.0,270.0,244.45454545454547,-29.0,333.3,500.0,452.7,1260.0,2252.8,1843.081825949929
Bulls,600+,Processor,D,2,12,NQ,180.0,236.0,218.83333333333334,NQ,360.0,453.8,422.0,1098.0,1695.0,1531.433329264323
