Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Armidale
Report Date: 01/02/2024
Comparison Date: 18/01/2024
Total Yarding: 1980 (+890)
Commentary
"There was a sharp increase in numbers as producers took advantage of the high demand for cattle of all descriptions and offloaded. This being the largest offering for several years. There was a large gallery of buyers in attendance including several not seen for sometime. The quality of the offering was generally good while condition varied to suit all buyers from restockers through to export processors.

Buoyed by a good season and the current state of the market restockers were active throughout the young cattle. Weaners returning to the paddock sold to a significantly dearer trend with both the steers and the heifer portions keenly sought. Light and medium weight yearling steers saw some of the greatest improvement with both restockers and feedlots competing fiercely. Strong gains were also experienced in the heavy weight feeders with the majority destined for Northern feedlots. Yearlings heifers in all weight classes posted strong gains however the increases were not as great as those of the steers.

With higher weights in demand the grown steers with 2 or more teeth were keenly sought to produce some of the larger price improvements. Well finished heavy weight steers to the processors sold to dearer trends with strong gains in place. Grown heifers also sold to much dearer trends with some good quality lines suitable to the feedlots and some very well finished lots purchased by processors.the cow market saw some variation with a few to restockers selling to a slightly cheaper trend however quality was a factor. The well finished cows were slightly dearer while those in the 5 score category were substantially dearer. A large offering of bulls were keenly sought by processors to show a firm to dearer trend."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Steer,750+,Processor,C,4,5,NQ,306.0,306.0,306,NQ,566.7,566.7,566.7,2448.0,2448.0,2448
Grown Heifer,0-540,Feeder,C,2,31,29,290.0,343.0,324.80645161290323,63.8,557.7,659.6,624.6,1234.8,1458.0,1324.3677663495464
Grown Heifer,0-540,Feeder,C,3,113,107,275.0,340.0,307.88495575221236,7.9,528.3,641.5,584.7,1260.0,1674.0,1422.0159307159154
Grown Heifer,0-540,Feeder,C,4,3,NQ,320.0,320.0,320,NQ,603.8,603.8,603.8,1712.0,1712.0,1712
Grown Heifer,0-540,Feeder,D,2,6,2,308.0,308.0,308,52.0,616.0,616.0,616.0,1293.6,1293.6,1293.5999348958333
Grown Heifer,0-540,Feeder,D,3,5,NQ,258.0,306.0,290.2,NQ,505.9,600.0,569.0,1212.6,1306.3,1274.8899658203125
Grown Heifer,0-540,Processor,C,3,19,-7,272.0,294.0,283.2105263157895,12.8,523.1,557.7,540.3,1260.0,1566.0,1450.9894826788652
Grown Heifer,0-540,Processor,C,4,1,NQ,298.0,298.0,298,NQ,562.3,562.3,562.3,1594.3,1594.3,1594.300048828125
Grown Heifer,0-540,Processor,D,3,9,-12,256.0,272.0,260.44444444444446,3.4,502.0,533.3,510.7,1216.0,1414.4,1294.0444471571182
Grown Heifer,0-540,Restocker,D,2,5,1,240.0,256.0,249.6,13.6,480.0,512.0,499.2,900.0,1280.0,1102.4
Grown Heifer,540+,Feeder,C,4,3,NQ,320.0,320.0,320,NQ,603.8,603.8,603.8,1856.0,1856.0,1856
Grown Heifer,540+,Processor,C,3,21,15,282.0,300.0,286.95238095238096,9.6,532.1,566.0,541.4,1551.0,1800.0,1647.3809523809523
Grown Heifer,540+,Processor,C,4,6,NC,290.0,300.0,293.1666666666667,14.0,547.2,566.0,553.1,1740.0,1758.0,1749
Cows,400-520,Feeder,D,2,2,NQ,202.0,202.0,202,NQ,448.9,448.9,448.9,909.0,909.0,909
Cows,400-520,Processor,D,2,10,6,220.0,242.0,239.8,52.3,488.9,514.9,512.3,924.0,1173.7,1148.72998046875
Cows,400-520,Processor,D,3,28,NC,238.0,260.0,253.42857142857142,5.1,506.4,541.7,531.5,1171.2,1352.0,1301.3964233398438
Cows,400-520,Restocker,D,2,14,8,200.0,233.0,227.92857142857142,-17.6,444.4,517.8,506.5,970.0,1130.1,1084.7393275669642
Cows,520+,Processor,C,3,1,NQ,270.0,270.0,270,NQ,540.0,540.0,540.0,1620.0,1620.0,1620
Cows,520+,Processor,D,3,41,-6,248.0,267.0,257.4390243902439,-4.0,520.8,552.1,536.6,1325.0,1584.0,1403.870724561738
Cows,520+,Processor,D,4,128,37,260.0,281.0,271.4140625,9.4,520.0,558.3,542.9,1431.0,2035.0,1637.7726650238037
Cows,520+,Processor,D,5,32,20,255.0,274.0,264.40625,50.1,516.0,548.0,532.1,1589.2,2064.0,1788.2937469482422
Bulls,0-450,Restocker,C,2,7,NQ,352.0,352.0,352,NQ,676.9,676.9,676.9,616.0,616.0,616
Bulls,450-600,Processor,C,2,1,NC,248.0,248.0,248,2.0,459.3,459.3,459.3,1364.0,1364.0,1364
Bulls,600+,Processor,B,2,46,36,250.0,312.0,282.2173913043478,7.7,446.4,557.1,505.1,1861.5,2895.8,2308.658686098845
Bulls,600+,Processor,B,3,1,-4,290.0,290.0,290,9.4,517.9,517.9,517.9,2827.5,2827.5,2827.5
Bulls,600+,Processor,C,2,22,-3,228.0,283.0,266.40909090909093,-2.0,422.2,524.1,492.6,1641.6,2375.1,2056.2409168590198
