Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Armidale
Report Date: 02/05/2024
Comparison Date: 18/04/2024
Total Yarding: 1045 (+15)
Commentary
"The numbers remained steady with cows well supplied including a herd dispersal of mixed age cows in plainer condition. There was a good supply of young cattle while well finished grown cattle apart from cows and bulls to suit processors were in limited supply. There was extra feedlot competition while the full compliment of processors were in attendance.

Restocker and feedlot demand was strong through the young cattle with weaners returning to the paddock selling to significantly dearer trends. Availability reduced following a run of big weaner sales. The increased competition impacted medium and heavy weight yearlings positively with the market trend for steers substantially dearer. The heifer portion also sold to dearer trends however the improvement was not as great.

Strong demand from both restockers and processors was strong for cows. The dispersal cows having run continuously with bulls. They sold to a slightly dearer trend. With the number of cows in the system reducing competition from processors was strong on the well finished lots. They sold to a dearer trend of as much as 13c/kg. Heavy bulls were also keenly sort after to show a significantly dearer trend."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Feeder,C,2,17,NQ,294.0,348.0,334.47058823529414,NQ,565.4,669.2,643.2,970.2,1148.4,1098.2117776309742
Yearling Steer,330-400,Feeder,C,2,50,28,306.0,356.0,341.84,31.7,588.5,684.6,657.4,1071.0,1352.8,1270.4500317382813
Yearling Steer,330-400,Restocker,C,2,12,-19,340.0,358.0,353.5,52.1,653.8,688.5,679.8,1156.0,1324.6,1282.449951171875
Yearling Steer,400+,Feeder,C,2,42,-82,292.0,365.0,346.5,15.5,561.5,701.9,666.3,1226.4,1770.3,1570.192862374442
Yearling Heifer,200-280,Restocker,D,2,8,NQ,210.0,210.0,210,NQ,420.0,420.0,420.0,546.0,546.0,546
Yearling Heifer,280-330,Feeder,C,2,5,NQ,290.0,290.0,290,NQ,557.7,557.7,557.7,899.0,899.0,899
Yearling Heifer,280-330,Restocker,D,2,8,5,220.0,220.0,220,12.0,423.1,423.1,423.1,660.0,660.0,660
Yearling Heifer,330-400,Feeder,C,2,17,-2,284.0,310.0,300.7647058823529,41.0,546.2,596.2,578.4,994.0,1178.0,1132.8823385799633
Yearling Heifer,330-400,Feeder,C,3,5,-7,278.0,290.0,282.8,20.6,534.6,557.7,543.8,931.3,1116.5,1005.37998046875
Yearling Heifer,330-400,Feeder,D,2,3,NQ,282.0,282.0,282,NQ,564.0,564.0,564.0,1071.6,1071.6,1071.5999348958333
Yearling Heifer,330-400,Processor,C,3,3,NQ,280.0,280.0,280,NQ,538.5,538.5,538.5,1078.0,1078.0,1078
Yearling Heifer,330-400,Restocker,C,2,10,-5,270.0,270.0,270,9.6,519.2,519.2,519.2,945.0,945.0,945
Yearling Heifer,400+,Feeder,C,3,4,-28,317.0,317.0,317,42.7,609.6,609.6,609.6,1537.4,1537.4,1537.449951171875
Yearling Heifer,400+,Processor,C,3,2,NQ,258.0,270.0,264,NQ,496.2,519.2,507.7,1109.4,1161.0,1135.2000122070312
