Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Armidale
Report Date: 02/05/2024
Comparison Date: 18/04/2024
Total Yarding: 1045 (+15)
Commentary
"The numbers remained steady with cows well supplied including a herd dispersal of mixed age cows in plainer condition. There was a good supply of young cattle while well finished grown cattle apart from cows and bulls to suit processors were in limited supply. There was extra feedlot competition while the full compliment of processors were in attendance.

Restocker and feedlot demand was strong through the young cattle with weaners returning to the paddock selling to significantly dearer trends. Availability reduced following a run of big weaner sales. The increased competition impacted medium and heavy weight yearlings positively with the market trend for steers substantially dearer. The heifer portion also sold to dearer trends however the improvement was not as great.

Strong demand from both restockers and processors was strong for cows. The dispersal cows having run continuously with bulls. They sold to a slightly dearer trend. With the number of cows in the system reducing competition from processors was strong on the well finished lots. They sold to a dearer trend of as much as 13c/kg. Heavy bulls were also keenly sort after to show a significantly dearer trend."
Vealer Steer,0-200,Restocker,C,2,7,NQ,308.0,390.0,353.85714285714283,NQ,592.3,750.0,680.5,616.0,766.0,649.2142857142857
Vealer Steer,200-280,Restocker,C,2,98,83,260.0,400.0,344.9591836734694,73.0,500.0,769.2,663.4,637.0,1060.0,874.5132633131377
Vealer Steer,280-330,Restocker,C,2,2,-35,314.0,314.0,314,-6.5,603.8,603.8,603.8,910.6,910.6,910.5999755859375
Vealer Heifer,0-200,Restocker,C,2,35,NQ,230.0,310.0,290.9714285714286,NQ,442.3,596.2,559.6,414.0,514.8,486.43427734375
Vealer Heifer,0-200,Restocker,C,3,1,NQ,270.0,270.0,270,NQ,519.2,519.2,519.2,540.0,540.0,540
Vealer Heifer,0-200,Restocker,D,2,8,NQ,250.0,264.0,258.75,NQ,500.0,528.0,517.5,264.0,350.0,296.25
Vealer Heifer,200-280,Processor,C,3,2,-3,260.0,260.0,260,-10.0,500.0,500.0,500.0,650.0,650.0,650
Vealer Heifer,200-280,Restocker,C,2,30,-7,288.0,316.0,305.3666666666667,59.6,553.8,607.7,587.2,691.2,750.0,725.2333333333333
Vealer Heifer,330+,Processor,C,3,2,NQ,305.0,305.0,305,NQ,575.5,575.5,575.5,1052.3,1052.3,1052.25
Manufacturing Steer,540+,Processor,C,2,6,NQ,244.0,244.0,244,NQ,469.2,469.2,469.2,1366.4,1366.4,1366.4000651041667
Grown Steer,0-400,Feeder,C,2,2,NQ,298.0,298.0,298,NQ,596.0,596.0,596.0,1102.6,1102.6,1102.5999755859375
Grown Steer,400-500,Feeder,C,2,17,1,230.0,300.0,271.52941176470586,0.8,442.3,576.9,522.2,1058.0,1500.0,1259.4470645680146
Grown Steer,400-500,Feeder,D,2,4,2,194.0,194.0,194,-6.0,388.0,388.0,388.0,853.6,853.6,853.5999755859375
Grown Steer,500-600,Feeder,C,3,4,-2,318.0,320.0,318.5,38.5,588.9,592.6,589.8,1696.0,1780.8,1759.60009765625
Grown Heifer,0-540,Feeder,C,3,7,-3,284.0,284.0,284,32.4,546.2,546.2,546.2,1377.4,1377.4,1377.3999720982142
Grown Heifer,0-540,Feeder,D,2,12,4,180.0,216.0,195,-42.5,360.0,432.0,390.0,648.0,777.6,702
Grown Heifer,0-540,Feeder,D,3,5,NQ,218.0,218.0,218,NQ,427.5,427.5,427.5,937.4,937.4,937.4
Grown Heifer,0-540,Processor,C,3,5,2,228.0,260.0,243,26.3,438.5,490.6,465.4,1026.0,1378.0,1140.160009765625
Grown Heifer,0-540,Processor,C,4,4,-1,250.0,266.0,258,23.2,480.8,501.9,491.3,1350.0,1409.8,1379.9000244140625
Grown Heifer,0-540,Processor,D,3,3,-1,239.0,239.0,239,44.0,468.6,468.6,468.6,1242.8,1242.8,1242.800048828125
Grown Heifer,0-540,Restocker,C,2,2,NQ,230.0,230.0,230,NQ,442.3,442.3,442.3,1092.5,1092.5,1092.5
Grown Heifer,0-540,Restocker,D,2,27,NQ,168.0,224.0,205.62962962962962,NQ,336.0,448.0,416.0,604.8,940.8,821.1555763527199
Grown Heifer,540+,Processor,C,3,4,NQ,250.0,255.0,253.75,NQ,480.8,490.4,488.0,1425.0,1453.5,1446.375
Grown Heifer,540+,Processor,C,4,10,7,253.0,262.0,256.6,17.9,486.5,494.3,489.7,1416.8,1519.6,1457.920068359375
Cows,400-520,Processor,D,2,38,24,150.0,192.0,171.05263157894737,23.2,333.3,426.7,380.1,645.0,912.0,761.7750051398026
Cows,400-520,Processor,D,3,18,-3,170.0,216.0,196.83333333333334,13.5,361.7,450.0,414.6,807.5,1080.0,963.2222154405382
Cows,400-520,Processor,D,4,10,9,195.0,211.0,209.4,4.4,414.9,439.6,437.1,975.0,1097.2,1084.97998046875
Cows,400-520,Processor,D,5,2,NQ,190.0,190.0,190,NQ,404.3,404.3,404.3,950.0,950.0,950
Cows,400-520,Restocker,D,2,83,36,150.0,208.0,186.49397590361446,8.9,333.3,462.2,414.4,660.0,1008.8,840.5801215114363
Cows,520+,Processor,C,4,8,NQ,226.0,230.0,228.375,NQ,452.0,460.0,456.8,1472.0,1694.6,1566.5000457763672
Cows,520+,Processor,D,3,33,14,194.0,222.0,209.12121212121212,17.0,412.8,468.1,437.8,1067.0,1287.6,1152.7787863991477
Cows,520+,Processor,D,4,73,-11,200.0,230.0,221.65753424657535,18.6,416.7,464.6,452.9,1160.0,1541.0,1359.9465900577911
Cows,520+,Processor,D,5,20,3,205.0,222.0,217.4,39.6,424.0,458.3,437.4,1276.0,1780.8,1561.660009765625
Bulls,0-450,Processor,C,2,9,NQ,226.0,226.0,226,NQ,434.6,434.6,434.6,768.4,768.4,768.4000108506945
Bulls,600+,Processor,B,2,3,-2,224.0,243.0,230.33333333333334,23.3,400.0,433.9,411.3,1904.0,2065.5,1957.8333333333333
Bulls,600+,Processor,B,3,2,NQ,223.0,240.0,231.5,NQ,398.2,428.6,413.4,2007.0,2112.0,2059.5
Bulls,600+,Processor,C,2,22,11,186.0,232.0,209.9090909090909,16.5,344.4,429.6,388.7,1209.0,1881.6,1558.0590931285512
Bulls,600+,Processor,D,2,1,NQ,180.0,180.0,180,NQ,346.2,346.2,346.2,1260.0,1260.0,1260
