Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Bairnsdale
Report Date: 16/05/2024
Comparison Date: 02/05/2024
Total Yarding: 1077 (+325)
Commentary
"There were approximately 980 export and 100 young cattle penned representing in increase of 320 head from the sale of a fortnight ago. The usual buying group was present and operating in a dearer market in places. Quality was limited with cows making up the majority of the sale. The sprinkling of young cattle suited to the trade sold firm while the remainder sold to stronger demand from restockers. Grown cattle sold up to 7c/kg dearer. Cows sold from firm to 15c/kg dearer. Heavy bulls sold firm. 

Vealers sold from 223c to 342c/kg. Yearling heifers suited to the trade made between 274c and 290c with those to restockers between 220c and 250c/kg. Grown steers and bullocks sold between 255c and 320c/kg. 

Heavy Friesian manufacturing steers made from 222c to 247c with the crossbred portion from 218c to 276c/kg. Most light and medium weight cows sold from 110c to 244c/kg. Heavy weight cows made mostly between 170c and 275c/kg. Light and medium weight cows to restockers sold between 144c and 242c/kg. Heavy bulls made from 205c to 260c/kg. 

Market reporter: Brendan Fletcher."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,400+,Feeder,C,2,7,NQ,290.0,290.0,290,NQ,537.0,537.0,537.0,1377.5,1377.5,1377.5
Yearling Steer,400+,Processor,B,2,3,NQ,310.0,310.0,310,NQ,543.9,543.9,543.9,1447.7,1447.7,1447.6998697916667
Yearling Steer,400+,Processor,C,2,1,NQ,312.0,312.0,312,NQ,557.1,557.1,557.1,1388.4,1388.4,1388.4000244140625
Yearling Steer,400+,Restocker,C,2,3,2,258.0,258.0,258,8.0,477.8,477.8,477.8,1238.4,1238.4,1238.4000651041667
Yearling Heifer,330-400,Restocker,D,2,25,23,220.0,238.0,230.08,-25.9,423.1,457.7,442.5,811.8,911.5,867.654375
Yearling Heifer,400+,Processor,D,2,2,-7,250.0,250.0,250,-1.1,480.8,480.8,480.8,1125.0,1125.0,1125
Yearling Heifer,400+,Processor,D,3,9,NQ,274.0,290.0,282.8888888888889,NQ,517.0,537.0,528.1,1271.4,1345.6,1312.6044379340278
Yearling Heifer,400+,Restocker,C,2,2,1,250.0,250.0,250,-5.0,463.0,463.0,463.0,1070.0,1070.0,1070
Yearling Heifer,400+,Restocker,D,2,16,14,232.0,250.0,239.875,39.9,446.2,480.8,461.3,1032.4,1115.0,1068.5375366210938
Vealer Steer,330+,Feeder,B,2,1,NQ,300.0,300.0,300,NQ,535.7,535.7,535.7,1185.0,1185.0,1185
Vealer Steer,330+,Processor,B,2,5,NQ,324.0,342.0,331.2,NQ,578.6,610.7,591.4,1240.9,1248.3,1243.8720703125
Vealer Steer,330+,Processor,B,3,1,NQ,342.0,342.0,342,NQ,589.7,589.7,589.7,1265.4,1265.4,1265.4000244140625
Vealer Steer,330+,Restocker,C,2,1,NQ,286.0,286.0,286,NQ,520.0,520.0,520.0,1043.9,1043.9,1043.9000244140625
Vealer Heifer,330+,Processor,B,2,2,NQ,342.0,342.0,342,NQ,610.7,610.7,610.7,1248.3,1248.3,1248.300048828125
Vealer Heifer,330+,Processor,C,2,2,NQ,223.0,275.0,249,NQ,413.0,509.3,461.1,780.5,962.5,871.5
Manufacturing Steer,0-540,Dairy,D,1,2,NQ,170.0,170.0,170,NQ,354.2,354.2,354.2,756.5,756.5,756.5
Manufacturing Steer,0-540,Processor,D,3,1,NQ,258.0,258.0,258,NQ,486.8,486.8,486.8,1341.6,1341.6,1341.5999755859375
