Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Bairnsdale
Report Date: 04/04/2024
Comparison Date: 14/03/2024
Total Yarding: 542 (+168)
Commentary
"Numbers increased to 542 cattle with the region still awaiting autumn rain. The market was dearer across all categories compared to the last Bairnsdale sale held three weeks ago. More than half the yarding was cows and they recorded the strongest gains of up to 20c/kg, with exporters giving good support to the lead pens of heavy and high yielding beef females. The line-up of younger cattle was very mixed with only limited lots suiting high-end domestic processing orders.

A small selection of European-sired vealer calves sold from 300c to 320c/kg, while a few stand-out animals in the yearling and grown steer and heifer sections also managed to sell above 300c to a top of 317c/kg. The general run of yearling types sold from 230c to 280c/kg depending on breed type and quality. 

Only a few bullocks were offered the best Angus to 290c, Herefords to 285c, while some neat grown Friesians reached 238.6c/kg. Once off the top lots the price range was mostly 260c to 280c/kg over grown steers with weight.

Cows dominated the yarding and included some heavy Limousin, Angus and Hereford. The main run of heavy beef cows sold from 248c to a top of 277c for a Limousin weighing over 700kg. The middle run of beef cows mostly 220c to 240c/kg, and light beef cows 195c to 220c. In the dairy run some big Friesian cows with fat cover sold from 207c to a top of 237.6c/kg. Leaner middle run of dairy cows 163c to 205c, followed by a few very light types down to 134c/kg.  A reasonable selection of bulls mostly made from 235c to 268c/kg lwt.

Report compiled remotely by Jenny Kelly."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Cows,400-520,Restocker,D,2,28,NQ,184.6,220.0,202.11428941999162,NQ,384.6,440.0,407.6,805.6,1034.0,885.7310594831195
Cows,520+,Dairy,D,1,18,11,178.6,178.6,178.60000271267361,4.6,388.3,388.3,388.3,1018.0,1018.0,1018.0199924045139
Cows,520+,Dairy,D,2,7,1,205.0,207.6,206.85714285714286,16.9,427.1,441.7,437.5,1260.8,1366.0,1335.9342215401787
Cows,520+,Dairy,D,3,7,6,230.0,237.6,235.42857142857142,9.4,475.2,479.2,476.3,1656.1,2104.5,1784.1943359375
Cows,520+,Dairy,E,1,2,-13,130.0,130.0,130,-12.8,295.5,295.5,295.5,721.5,721.5,721.5
Cows,520+,Processor,C,2,2,NQ,252.0,252.0,252,NQ,484.6,484.6,484.6,1373.4,1373.4,1373.4000244140625
Cows,520+,Processor,C,3,11,NQ,254.6,270.0,260.21818403764206,NQ,480.4,509.4,490.1,1570.9,1998.0,1689.9480202414773
Cows,520+,Processor,C,4,15,NQ,254.0,277.0,269.3733337402344,NQ,479.2,522.6,508.3,1615.4,2143.1,1872.2153645833334
Cows,520+,Processor,D,1,1,-11,170.0,170.0,170,-16.2,354.2,354.2,354.2,935.0,935.0,935
Cows,520+,Processor,D,2,19,6,192.0,222.0,198.42105263157896,-14.0,384.0,435.3,393.9,1047.9,1218.8,1120.0786968030427
Cows,520+,Processor,D,3,31,19,216.0,265.6,244.65161723475302,26.6,423.5,501.1,471.4,1317.6,1584.0,1427.6757143082157
Cows,520+,Processor,D,4,67,17,248.0,275.0,257.9731390654151,28.5,467.9,515.1,490.0,1386.0,2143.1,1709.5737559759796
Bulls,450-600,Processor,D,2,1,NQ,184.4,184.4,184.39999389648438,NQ,341.5,341.5,341.5,968.1,968.1,968.0999755859375
Bulls,600+,Dairy,D,2,1,NC,215.0,215.0,215,25.0,405.7,405.7,405.7,1634.0,1634.0,1634
Bulls,600+,Processor,B,2,11,10,218.0,268.6,247.12727772105825,17.1,396.4,471.2,444.0,1880.9,2794.2,2315.5145263671875
Bulls,600+,Processor,B,3,1,NQ,235.0,235.0,235,NQ,419.6,419.6,419.6,2126.8,2126.8,2126.75
Bulls,600+,Processor,C,2,2,-10,218.4,239.6,229,13.3,404.4,435.6,420.0,1629.3,1714.4,1671.8599853515625
Bulls,600+,Processor,D,2,2,NQ,220.6,220.6,220.60000610351562,NQ,408.5,408.5,408.5,1709.7,1709.7,1709.6500244140625
