Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Charters Towers
Report Date: 28/02/2024
Comparison Date: 14/02/2024
Total Yarding: 565 (-2752)
Commentary
"Widespread rain over the past fortnight resulted in a smaller yarding of 565 cattle. The mixed quality consisted of some good pens of heavy cows, supported by several small lines of store steers and heifers.  Demand was solid throughout with three regular processors operating, supported by two live exporters, one central backgrounder along with opportunity traders and local restockers. Cattle were drawn from Richmond and east to the local area.

A small sample of suitably weaned steers returning to grass averaged 310c selling to 318c, similar heifers to backgrounders made to 288c/kg. Yearling steers above 330kg to live export reached 301c, most selling from 266c to 288c/kg. Yearling heifers above 280kg to restockers reached 268c to average 265c, processor types sold to 258c to average 233c/kg.

A small offering of grown steers to live export sold to 292c to average 288c,  well finished steers to processors averaged 286c/kg. Heavy grown heifers to processors reached 256c to average 254c/ kg.

A very small sample of heavy bullocks to processors topped at 300c to average 293c/kg. Medium weight 2 score cows  made to 238c to average 221c to 229c and prime heavyweight cows also reached 238c to average 237c/kg.  Heavy bulls to processors averaged 272c/kg.

Market Reporter, Mick Kingham"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Steer,400-500,Feeder,D,2,2,-52,228.0,234.0,231,-62.0,438.5,450.0,444.2,923.4,1006.2,964.8000183105469
Grown Steer,400-500,Live Export,C,3,3,NQ,288.0,288.0,288,NQ,543.4,543.4,543.4,1425.6,1425.6,1425.5999348958333
Grown Steer,400-500,Live Export,D,2,2,NQ,266.0,266.0,266,NQ,501.9,501.9,501.9,1250.2,1250.2,1250.199951171875
Grown Steer,400-500,Live Export,D,3,2,-4,260.0,260.0,260,-14.0,490.6,490.6,490.6,1196.0,1196.0,1196
Grown Steer,400-500,Processor,D,2,1,-12,266.0,266.0,266,-26.0,511.5,511.5,511.5,1157.1,1157.1,1157.0999755859375
Grown Steer,400-500,Processor,D,3,19,11,260.0,284.0,278.42105263157896,6.4,490.6,535.8,525.3,1209.0,1391.6,1340.9841694078948
Grown Steer,500-600,Live Export,C,3,11,NQ,292.0,292.0,292,NQ,540.7,540.7,540.7,1503.8,1635.2,1599.3636363636363
Grown Steer,500-600,Processor,C,3,15,11,286.0,286.0,286,-8.0,529.6,529.6,529.6,1458.6,1458.6,1458.6
Grown Steer,500-600,Processor,D,3,3,-13,256.0,278.0,263.3333333333333,-20.7,483.0,524.5,496.9,1292.8,1459.5,1348.36669921875
Grown Heifer,0-540,Feeder,C,2,8,NQ,262.0,262.0,262,NQ,503.8,503.8,503.8,982.5,982.5,982.5
Grown Heifer,0-540,Processor,C,3,1,NQ,254.0,254.0,254,NQ,479.2,479.2,479.2,1206.5,1206.5,1206.5
Grown Heifer,0-540,Processor,C,4,4,NQ,238.0,238.0,238,NQ,440.7,440.7,440.7,1213.8,1213.8,1213.800048828125
Grown Heifer,0-540,Processor,D,2,7,-8,254.0,256.0,254.28571428571428,24.3,492.3,508.0,505.8,863.6,1062.4,906.5142822265625
Cows,0-400,Feeder,D,1,4,-46,140.0,178.0,149.5,-12.5,318.2,395.6,337.5,427.0,658.6,484.8999938964844
Cows,0-400,Processor,D,1,1,-2,184.0,184.0,184,-6.0,408.9,408.9,408.9,662.4,662.4,662.4000244140625
Cows,0-400,Processor,D,2,42,-37,184.0,220.0,202.71428571428572,4.2,400.0,468.1,435.3,671.6,839.3,762.6166643415179
Cows,0-400,Processor,D,3,10,NQ,222.0,222.0,222,NQ,462.5,462.5,462.5,865.8,865.8,865.8
Cows,0-400,Processor,E,2,2,NQ,190.0,190.0,190,NQ,365.4,365.4,365.4,674.5,674.5,674.5
Cows,0-400,Restocker,D,1,1,NQ,180.0,180.0,180,NQ,391.3,391.3,391.3,594.0,594.0,594
Cows,0-400,Restocker,D,2,19,-20,150.0,226.0,191.89473684210526,-3.0,326.1,491.3,416.0,530.4,836.2,694.5579127261514
Cows,400-520,Processor,D,2,15,-2,210.0,238.0,221.2,17.6,446.8,506.4,470.6,892.5,987.7,930.5800130208333
Cows,400-520,Processor,D,3,75,-116,188.0,238.0,228.85333333333332,4.9,391.7,489.4,473.3,799.0,1163.3,1041.7293326822917
Cows,400-520,Processor,E,2,1,NC,200.0,200.0,200,50.0,434.8,434.8,434.8,920.0,920.0,920
Cows,520+,Processor,C,4,8,NQ,234.0,238.0,237,NQ,457.7,458.8,458.0,1240.2,1249.5,1247.1749877929688
Calves,80+,Restocker,D,2,2,-39,202.0,202.0,202,-38.6,388.5,388.5,388.5,282.8,282.8,282.79998779296875
Bulls,0-450,Feeder,C,2,1,NQ,222.0,222.0,222,NQ,418.9,418.9,418.9,799.2,799.2,799.2000122070312
Bulls,0-450,Live Export,C,2,1,-31,250.0,250.0,250,-20.0,480.8,480.8,480.8,1100.0,1100.0,1100
Bulls,0-450,Live Export,D,2,2,-62,220.0,260.0,240,-19.4,423.1,490.6,456.8,682.0,1027.0,854.5
Bulls,0-450,Processor,D,2,2,NQ,200.0,220.0,210,NQ,384.6,423.1,403.8,660.0,957.0,808.5
Bulls,0-450,Restocker,D,2,3,-20,218.0,226.0,223.33333333333334,-41.0,419.2,434.6,429.5,534.1,632.8,599.8999837239584
Bulls,450-600,Feeder,C,2,2,1,180.0,276.0,228,-48.0,339.6,520.8,430.2,972.0,1324.8,1148.4000244140625
Bulls,450-600,Feeder,D,1,1,NQ,204.0,204.0,204,NQ,400.0,400.0,400.0,948.6,948.6,948.5999755859375
Bulls,450-600,Live Export,C,3,1,-8,272.0,272.0,272,-8.0,503.7,503.7,503.7,1482.4,1482.4,1482.4000244140625
Bulls,450-600,Live Export,D,2,4,3,250.0,260.0,252.5,-19.5,480.8,500.0,485.6,1237.5,1534.0,1311.625
Bulls,450-600,Processor,C,3,2,-3,272.0,294.0,283,-3.0,494.5,554.7,524.6,1425.9,1577.6,1501.75
Bulls,450-600,Processor,D,2,1,NQ,220.0,220.0,220,NQ,423.1,423.1,423.1,1012.0,1012.0,1012
Bulls,450-600,Processor,D,3,1,-8,260.0,260.0,260,NC,490.6,490.6,490.6,1534.0,1534.0,1534
Bulls,600+,Feeder,C,3,3,NQ,266.0,266.0,266,NQ,483.6,483.6,483.6,1675.8,1675.8,1675.8001302083333
Bulls,600+,Processor,C,4,4,NQ,272.0,272.0,272,NQ,494.5,494.5,494.5,2094.4,2094.4,2094.39990234375
Bulls,600+,Processor,D,3,1,-1,250.0,250.0,250,-14.5,471.7,471.7,471.7,1525.0,1525.0,1525
