Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Bairnsdale
Report Date: 14/08/2024
Comparison Date: 07/08/2024
Total Yarding: 334 (+119)
Commentary
"There were approximately 280 export and 55 young cattle penned representing an increase of 120 head week-on-week. There was one export processor absent after operating last sale with all of the regular buyers present and operating in a dearer market in places. Quality improved with a far better selection of trade and grown cattle on offer. Trade cattle prices were significantly higher than recent sales in line with quality. Grown steers and bullocks sold to solid demand. Cows sold up to 5c/kg easier to processors. Heavy bulls lifted 15c/kg. 

Yearling trade steers sold from 406c to 430c/kg. Yearling heifers to the trade made between 316c and 438c/kg. Grown steers and bullocks sold between 352c and 380c/kg. 

Manufacturing steers made from 286c to 318c/kg. Most light and medium weight cows sold from 218c to 315c/kg. Heavy weight cows made mostly between 262c and 338c/kg. Light and medium weight restocking cows sold between 160c and 280c/kg. Heavy bulls made from 318c to 368c/kg. 

Market reporter: Brendan Fletcher."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Cows,520+,Dairy,D,1,4,3,262.0,276.0,272.5,17.5,569.6,600.0,592.4,1441.0,1545.6,1519.449951171875
Cows,520+,Dairy,D,2,3,NQ,280.0,288.0,285.3333333333333,NQ,595.7,612.8,607.1,1872.0,1960.0,1901.3333333333333
Cows,520+,Dairy,E,1,4,1,250.0,250.0,250,4.0,568.2,568.2,568.2,1375.0,1375.0,1375
Cows,520+,Dairy,E,2,1,NQ,275.0,275.0,275,NQ,597.8,597.8,597.8,1540.0,1540.0,1540
Cows,520+,Processor,D,1,7,-1,270.0,290.0,284.2857142857143,6.9,587.0,644.4,626.0,1512.0,1667.5,1540.2142857142858
Cows,520+,Processor,D,2,12,-1,225.0,320.0,309.0833333333333,-12.7,459.2,666.7,638.7,1237.5,1749.0,1689.4250081380208
Cows,520+,Processor,D,3,24,14,315.0,348.0,325.5833333333333,3.0,642.9,673.5,660.5,1732.5,2227.2,1909.7374979654949
Cows,520+,Processor,D,4,13,-8,337.0,338.0,337.2307692307692,-5.4,674.0,676.0,674.5,2190.5,2197.0,2192
Cows,520+,Processor,E,1,7,NQ,270.0,270.0,270,NQ,613.6,613.6,613.6,1485.0,1485.0,1485
Bulls,0-450,Processor,C,1,1,NQ,255.0,255.0,255,NQ,531.3,531.3,531.3,969.0,969.0,969
Bulls,0-450,Processor,C,2,1,NQ,290.0,290.0,290,NQ,537.0,537.0,537.0,1232.5,1232.5,1232.5
Bulls,0-450,Restocker,C,1,4,NQ,170.0,170.0,170,NQ,354.2,354.2,354.2,467.5,467.5,467.5
Bulls,450-600,Dairy,D,1,1,NQ,294.0,294.0,294,NQ,588.0,588.0,588.0,1764.0,1764.0,1764
Bulls,450-600,Processor,B,2,1,NQ,326.0,326.0,326,NQ,562.1,562.1,562.1,1956.0,1956.0,1956
Bulls,450-600,Processor,C,1,1,NQ,280.0,280.0,280,NQ,538.5,538.5,538.5,1540.0,1540.0,1540
Bulls,450-600,Processor,C,2,1,NQ,292.0,292.0,292,NQ,540.7,540.7,540.7,1679.0,1679.0,1679
Bulls,450-600,Processor,D,1,2,1,276.0,300.0,288,-6.0,587.2,625.0,606.1,1587.0,1800.0,1693.5
Bulls,600+,Processor,B,2,3,NQ,360.0,368.0,365.3333333333333,NQ,613.3,620.7,615.8,3420.0,3680.0,3593.3333333333335
Bulls,600+,Processor,C,1,1,-2,324.0,324.0,324,5.3,600.0,600.0,600.0,2754.0,2754.0,2754
Bulls,600+,Processor,C,2,2,-9,340.0,342.0,341,12.7,610.7,629.6,620.2,2720.0,2736.0,2728
Bulls,600+,Processor,C,3,2,1,348.0,358.0,353,17.0,610.5,617.2,613.9,3043.0,3828.0,3435.5
Bulls,600+,Processor,D,2,1,NQ,318.0,318.0,318,NQ,600.0,600.0,600.0,2067.0,2067.0,2067
