Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Forbes
Report Date: 12/08/2024
Comparison Date: 05/08/2024
Total Yarding: 2130 (+59)
Commentary
"Numbers remained similar to last week with 2130 cattle yarded. Quality was good with large supplies of young feeder weights on offer as well as a large yarding of heavy cows. All the regular buyers were present.

Young cattle to the trade were firm to dearer, prime yearling steers sold from 284c to 363c and prime yearling heifers, 230c to 350c/kg. Feeder cattle sold firm, steers to feed sold from 280c to 416c and feeder heifers, 256c to 372c/kg.

Prime grown cattle were dearer, heavy steers sold from 280c to 400c and heavy heifers, 320c to 372c/kg. Cows were 15c dearer, 2 and 3 scores sold from 145c to 324c and heavy prime cows, 312c to 335c/kg. Heavy bulls sold to 283c/kg.

Market reporter, Angus Williams"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Feeder,C,2,3,2,330.0,330.0,330,-20.2,634.6,634.6,634.6,1056.0,1056.0,1056
Yearling Steer,280-330,Restocker,C,2,9,NQ,385.0,385.0,385,NQ,740.4,740.4,740.4,1155.0,1155.0,1155
Yearling Steer,330-400,Feeder,C,2,144,23,280.0,408.0,388.97222222222223,3.9,538.5,784.6,748.0,952.0,1620.0,1413.8722330729167
Yearling Steer,330-400,Processor,C,3,2,NQ,360.0,360.0,360,NQ,679.2,679.2,679.2,1296.0,1296.0,1296
Yearling Steer,400+,Feeder,C,2,332,-220,350.0,416.0,388.28915662650604,-8.2,673.1,800.0,746.7,1470.0,2045.0,1786.9662762377636
Yearling Steer,400+,Processor,C,3,17,-22,284.0,363.0,338.70588235294116,-38.1,535.8,684.9,639.1,1306.4,1669.8,1558.047061695772
Yearling Heifer,330-400,Feeder,C,2,39,21,270.0,321.0,297.5128205128205,0.8,519.2,617.3,572.1,972.0,1280.0,1073.969225761218
Yearling Heifer,330-400,Processor,C,3,17,NQ,230.0,320.0,254.47058823529412,NQ,434.0,603.8,480.1,782.0,1200.8,894.1647087545956
Yearling Heifer,330-400,Restocker,C,2,33,NQ,230.0,316.0,274.90909090909093,NQ,442.3,607.7,528.7,874.0,1137.6,1045.3090672348485
Yearling Heifer,400+,Feeder,C,2,45,-24,256.0,331.0,292.35555555555555,-2.0,492.3,636.5,562.2,1177.6,1522.6,1359.0133138020833
Yearling Heifer,400+,Processor,C,3,17,-105,300.0,350.0,323.7647058823529,-25.0,566.0,660.4,610.9,1440.0,1745.0,1562.3058794806984
Vealer Steer,200-280,Processor,C,2,1,NQ,280.0,280.0,280,NQ,538.5,538.5,538.5,672.0,672.0,672
Vealer Steer,200-280,Restocker,C,2,3,NQ,350.0,350.0,350,NQ,673.1,673.1,673.1,910.0,910.0,910
Vealer Heifer,0-200,Processor,C,2,6,NQ,150.0,150.0,150,NQ,288.5,288.5,288.5,300.0,300.0,300
Vealer Heifer,200-280,Restocker,C,2,31,NQ,301.0,317.0,310.3225806451613,NQ,578.8,609.6,596.8,739.2,887.6,823.6064453125
Grown Steer,400-500,Feeder,C,3,17,NQ,350.0,355.0,353.2352941176471,NQ,648.1,657.4,654.1,1680.0,1775.0,1741.4705882352941
Grown Steer,400-500,Processor,C,4,3,NQ,280.0,280.0,280,NQ,509.1,509.1,509.1,1344.0,1344.0,1344
Grown Steer,500-600,Processor,C,4,135,100,310.0,400.0,359.42962962962963,0.4,563.6,727.3,653.5,1701.0,2320.0,2020.8622052228009
Grown Steer,600-750,Processor,C,4,29,-15,320.0,385.0,371.0689655172414,18.6,581.8,700.0,674.7,2240.0,2541.0,2433.1862203663795
Grown Heifer,0-540,Feeder,C,3,6,NQ,260.0,280.0,266.6666666666667,NQ,481.5,518.5,493.8,1248.0,1456.0,1317.3333333333333
Grown Heifer,0-540,Processor,C,4,1,-44,320.0,320.0,320,-45.8,581.8,581.8,581.8,1728.0,1728.0,1728
Grown Heifer,540+,Processor,C,4,32,-1,330.0,372.0,349.6875,28.2,600.0,676.4,635.8,1848.0,2160.0,2046.5624961853027
Cows,400-520,Processor,D,2,85,33,145.0,240.0,183.52941176470588,-58.4,315.2,521.7,399.0,609.0,1152.0,814.1176470588235
Cows,520+,Processor,D,3,110,53,250.0,324.0,297.0272727272727,8.6,520.8,675.0,613.7,1400.0,2009.6,1741.978182705966
Cows,520+,Processor,D,4,272,174,312.0,335.0,326.50367647058823,20.9,624.0,670.0,653.0,1872.0,2345.0,2119.6404688218063
Bulls,0-450,Feeder,C,2,30,9,252.0,252.0,252,-16.1,484.6,484.6,484.6,882.0,882.0,882
Bulls,0-450,Processor,C,3,14,NQ,220.0,250.0,247.85714285714286,NQ,392.9,446.4,442.6,990.0,1125.0,1115.357142857143
Bulls,0-450,Restocker,C,3,5,NQ,180.0,298.0,274.4,NQ,321.4,551.9,505.8,720.0,1043.0,978.4
Bulls,450-600,Processor,C,3,4,NQ,210.0,244.0,228.75,NQ,375.0,420.7,401.0,1105.0,1464.0,1291
Bulls,450-600,Restocker,C,3,8,NQ,280.0,280.0,280,NQ,500.0,500.0,500.0,1540.0,1540.0,1540
Bulls,600+,Processor,C,3,238,217,210.0,283.0,252.06302521008402,-12.4,362.1,487.9,434.6,1725.0,2800.0,2359.485294117647
