Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Armidale
Report Date: 05/12/2024
Comparison Date: 21/11/2024
Total Yarding: 1250 (-50)
Commentary
"There was a very small reduction in supply with this being the second last sale before the Christmas beak. A sale to be held on the 12th. Young cattle and cows made up the bulk of the offering along with a fair supply of grown heifers and bulls. The quality of the offering was very mixed. There was reduced export processor attendance however restocker and feedlot activity increased.

Strong restocker demand in the face of an excellent season saw the light weight steers sell to a dearer trend. The medium and heavy weight yearling steers also reaped the benefit of increased competition to sell to a dearer trend of 4c to 10c/kg. Heavy weights destined for the shorter fed programs were keenly sought. Market trends for the light and medium weight yearling heifers were firm to slightly cheaper with the better quality lots least affected.

Well finished heavy grown heifers to processors sold to cheaper trends with reduced competition. The better quality feeder heifers were slightly dearer while the secondary heifers were cheaper. A strong cow market saw trends firm to slightly dearer. An improvement in quality accounted for an odd dearer sale on heavy bulls, the market generally firm despite the absence of one processor."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Heifer,0-540,Processor,C,4,10,NQ,288.0,316.0,310,NQ,543.4,596.2,584.9,1540.8,1674.8,1644.4400634765625
Grown Heifer,0-540,Processor,D,2,25,18,228.0,266.0,243.12,-2.3,456.0,524.0,485.4,752.4,1179.0,939.1760107421875
Grown Heifer,0-540,Processor,D,3,36,19,260.0,286.0,265.77777777777777,-16.4,509.6,560.8,519.5,729.0,1430.0,1155.2777777777778
Grown Heifer,0-540,Restocker,C,2,13,NQ,255.0,270.0,267.38461538461536,NQ,490.4,519.2,514.2,891.0,1010.8,908.2923067533053
Grown Heifer,0-540,Restocker,D,2,1,-5,260.0,260.0,260,-5.0,520.0,520.0,520.0,715.0,715.0,715
Grown Heifer,540+,Processor,C,4,27,22,265.0,309.0,300.7037037037037,-20.5,509.6,572.2,564.9,1457.5,1761.3,1681.679615162037
Cows,0-400,Processor,D,2,9,6,190.0,220.0,213.33333333333334,3.3,422.2,488.9,474.1,741.0,836.0,814.8888888888889
Cows,400-520,Feeder,D,2,1,NQ,264.0,264.0,264,NQ,586.7,586.7,586.7,1214.4,1214.4,1214.4000244140625
Cows,400-520,Feeder,D,3,7,NQ,264.0,264.0,264,NQ,561.7,561.7,561.7,1240.8,1240.8,1240.800083705357
Cows,400-520,Processor,D,2,18,5,230.0,255.0,250,-2.3,511.1,566.7,555.6,1075.0,1150.0,1095.2777777777778
Cows,400-520,Processor,D,3,20,-6,252.0,278.0,261.1,1.9,536.2,572.9,550.1,1134.0,1390.0,1234.760009765625
Cows,400-520,Restocker,D,2,13,-24,255.0,255.0,255,-2.5,566.7,566.7,566.7,1147.5,1147.5,1147.5
Cows,400-520,Restocker,D,3,8,-4,271.0,271.0,271,-0.5,564.6,564.6,564.6,1409.2,1409.2,1409.199951171875
Cows,520+,Processor,D,3,75,14,250.0,290.0,277.37333333333333,2.9,531.9,580.0,567.2,1350.0,1872.0,1537.9539697265625
Cows,520+,Processor,D,4,71,-59,268.0,297.0,285.3521126760563,8.0,540.0,594.0,572.3,1527.6,2079.0,1734.5591628383584
Cows,520+,Processor,D,5,5,-14,260.0,278.0,263.6,-8.1,520.0,556.0,527.2,1482.0,2057.2,1799.839990234375
Cows,520+,Restocker,D,3,4,NQ,273.0,273.0,273,NQ,568.8,568.8,568.8,1501.5,1501.5,1501.5
Bulls,0-450,Processor,C,2,4,-4,250.0,274.0,268,15.5,463.0,507.4,496.3,1100.0,1178.2,1158.6499633789062
Bulls,450-600,Processor,B,2,1,NQ,276.0,276.0,276,NQ,492.9,492.9,492.9,1462.8,1462.8,1462.800048828125
Bulls,450-600,Processor,B,3,2,NQ,260.0,260.0,260,NQ,464.3,464.3,464.3,1430.0,1430.0,1430
Bulls,450-600,Processor,C,2,12,5,248.0,260.0,256.5833333333333,2.3,459.3,481.5,475.2,1315.6,1509.3,1408.3583475748699
Bulls,600+,Processor,B,2,13,4,261.0,288.0,271.9230769230769,1.0,466.1,514.3,485.6,1649.2,2459.6,2073.68461726262
Bulls,600+,Processor,B,3,16,12,260.0,290.0,275.375,-0.9,464.3,517.9,491.7,2111.6,2597.0,2327.5031127929688
Bulls,600+,Processor,C,2,21,5,250.0,274.0,261.0952380952381,-1.7,463.0,507.4,482.7,1575.0,2312.0,1898.585716610863
