Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Charters Towers
Report Date: 13/11/2024
Comparison Date: 06/11/2024
Total Yarding: 2704 (-276)
Commentary
"Numbers eased by nearly 300 head in very hot conditions for a yarding of 2704 cattle.  Quality was mixed, comprising of fewer prime cows, however some good well finished bullocks were penned, supported by some very good quality store steers and heifers. All regular processors were in attendance and operating, supported by two live exporters, regular feeders and some western restockers. Cattle were drawn from Mt Isa, Croydon, Torrens Ck, Hervey’s Range, local and coastal areas.

Buyer demand was good for the majority penned, with improved overall quality a factor. Price for light steers and heifers improved 18c to 25c, medium feeder steers and heifers slipped 16c/kg. Strong demand for heavy well finished cattle saw values improve by 6c to 25c/kg, secondary lines were firm to 8c easier.

Young steers above 200kg returning to grass averaged 254c to 277c, selling to 286c, similar heifers to grass reached 290c to average 236c/kg. Yearling steers above 200kg to backgrounders sold to 290c, averaging 271c to 286c/kg. Yearling steers to live export above 280kg sold to 310c to average near 277c, while steers above 400kg also made to 310c to average 298c/kg. A small sample of yearling heifers returning to the paddock averaged 247c and heifers above 280kg averaged 263c/kg. Yearling heifers above 280kg to the trade sold to 258c, heifers above 330kg to feed averaged 261c to 266c/kg. Grown steers above 400kg to the trade sold to 318c averaging 294c to 305c, those suitable to live export averaged 271c/kg. Heavy grown steers above 500kg sold to 334c to average 324c/kg.  Grown heifers to the trade made to 264c a good sample averaging 262c, feeder heifers averaged 258c to 274c/kg.

Heavy full mouthed bullocks to export slaughter topped at 334c to average 314c to 328c/kg. A reduced supply of cows sold to firm demand.  Lightweight cows to processors made to 238c to average 216c, medium weight 3 scores topped at 282c to average 261c/kg. Medium and heavy weight bulls to live export sold to 306c to average 278c to 299c/kg. Heavy bulls to processors reached 306c, averaging 285c to 300c/kg.

A good supply of cows and calves sold to strong demand topping at $1,275 per unit.

Market Reporter, Mick Kingham"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Feeder,D,2,41,35,150.0,276.0,221.609756097561,-12.4,288.5,530.8,426.3,390.0,745.2,568.0073123094512
Yearling Steer,200-280,Restocker,C,2,54,NQ,278.0,290.0,286.3703703703704,NQ,534.6,557.7,550.7,708.9,800.8,743.4851888020834
Yearling Steer,200-280,Restocker,D,2,56,17,262.0,275.0,271.23214285714283,22.4,503.8,528.8,521.6,615.7,728.8,697.7116088867188
Yearling Steer,280-330,Feeder,C,2,13,NQ,280.0,280.0,280,NQ,538.5,538.5,538.5,896.0,896.0,896
Yearling Steer,280-330,Live Export,C,2,25,NQ,310.0,310.0,310,NQ,584.9,584.9,584.9,976.5,976.5,976.5
Yearling Steer,280-330,Live Export,D,2,1,-18,236.0,236.0,236,-49.4,453.8,453.8,453.8,743.4,743.4,743.4000244140625
Yearling Steer,280-330,Processor,D,2,1,-8,242.0,242.0,242,36.7,465.4,465.4,465.4,798.6,798.6,798.5999755859375
Yearling Steer,330-400,Feeder,C,2,36,34,260.0,280.0,276.1111111111111,6.1,500.0,528.3,522.8,923.0,1092.0,1059.138888888889
Yearling Steer,330-400,Live Export,C,2,14,-1,268.0,268.0,268,-24.7,515.4,515.4,515.4,978.2,978.2,978.1999860491071
Yearling Steer,330-400,Live Export,D,2,2,-20,264.0,290.0,277,-28.3,507.7,557.7,532.7,1016.4,1145.5,1080.9500122070312
Yearling Steer,400+,Feeder,C,2,21,-4,310.0,310.0,310,22.0,584.9,584.9,584.9,1317.5,1317.5,1317.5
Yearling Steer,400+,Live Export,C,2,33,19,290.0,304.0,298,-6.0,557.7,573.6,567.1,1205.4,1246.4,1237.618223248106
Yearling Steer,400+,Processor,C,2,1,NQ,240.0,240.0,240,NQ,452.8,452.8,452.8,996.0,996.0,996
Yearling Heifer,200-280,Feeder,C,2,1,NQ,258.0,258.0,258,NQ,496.2,496.2,496.2,709.5,709.5,709.5
Yearling Heifer,200-280,Feeder,D,1,1,NQ,220.0,220.0,220,NQ,431.4,431.4,431.4,594.0,594.0,594
Yearling Heifer,200-280,Feeder,D,2,33,-15,150.0,226.0,200.54545454545453,-15.3,288.5,434.6,385.7,397.5,576.3,488.66061308889675
Yearling Heifer,200-280,Restocker,D,2,39,NQ,222.0,264.0,246.76923076923077,NQ,426.9,507.7,474.6,555.0,567.6,562.4307642227565
Yearling Heifer,280-330,Feeder,D,2,38,-42,226.0,236.0,233.10526315789474,-16.0,434.6,453.8,448.3,644.1,719.8,697.8868215460526
Yearling Heifer,280-330,Processor,C,3,15,NQ,274.0,274.0,274,NQ,517.0,517.0,517.0,849.4,849.4,849.4
Yearling Heifer,280-330,Processor,D,2,13,NQ,220.0,258.0,231.69230769230768,NQ,423.1,496.2,445.6,704.0,799.8,733.4769193209135
Yearling Heifer,280-330,Restocker,D,2,26,-3,222.0,278.0,262.9230769230769,62.9,426.9,534.6,505.6,643.8,792.3,752.3192420372596
Yearling Heifer,330-400,Feeder,C,2,18,NQ,266.0,268.0,266.22222222222223,NQ,511.5,515.4,512.0,951.4,970.9,968.7333577473959
Yearling Heifer,330-400,Feeder,D,2,21,NQ,220.0,264.0,260.76190476190476,NQ,423.1,507.7,501.5,781.0,963.6,947.1332775297619
Yearling Heifer,330-400,Processor,C,2,45,NQ,254.0,282.0,279.55555555555554,NQ,488.5,542.3,537.6,972.9,1036.0,996.6955512152778
Yearling Heifer,330-400,Processor,C,3,19,11,252.0,252.0,252,-22.0,475.5,475.5,475.5,970.2,970.2,970.200041118421
Yearling Heifer,330-400,Processor,D,2,2,-27,206.0,206.0,206,-24.0,447.8,447.8,447.8,751.9,751.9,751.9000244140625
Vealer Steer,0-200,Restocker,C,2,2,-1,250.0,250.0,250,-8.0,480.8,480.8,480.8,400.0,400.0,400
Vealer Steer,0-200,Restocker,D,2,46,35,200.0,280.0,256,26.0,384.6,538.5,492.3,330.0,532.0,487.50608228600544
Vealer Steer,200-280,Processor,C,2,9,NQ,258.0,258.0,258,NQ,496.2,496.2,496.2,709.5,709.5,709.5
Vealer Steer,200-280,Restocker,C,2,81,NQ,190.0,286.0,254.2469135802469,NQ,365.4,550.0,488.9,484.5,743.6,599.3999987943673
Vealer Steer,200-280,Restocker,D,2,73,-49,266.0,280.0,276.93150684931504,23.4,511.5,538.5,532.6,574.0,598.5,584.931506849315
Vealer Heifer,0-200,Restocker,D,2,24,-33,204.0,250.0,236.25,19.8,392.3,480.8,454.3,321.9,397.8,352.1624984741211
Vealer Heifer,200-280,Feeder,D,2,1,-43,218.0,218.0,218,18.8,419.2,419.2,419.2,501.4,501.4,501.3999938964844
Vealer Heifer,200-280,Processor,C,2,3,-6,226.0,226.0,226,-9.3,434.6,434.6,434.6,542.4,542.4,542.4000244140625
Vealer Heifer,200-280,Restocker,D,2,61,-20,222.0,262.0,235.63934426229508,18.9,426.9,503.8,453.2,466.2,720.5,526.9557425076845
Manufacturing Steer,0-540,Feeder,D,2,1,NQ,210.0,210.0,210,NQ,403.8,403.8,403.8,1018.5,1018.5,1018.5
Manufacturing Steer,0-540,Processor,C,3,10,NQ,324.0,324.0,324,NQ,600.0,600.0,600.0,1717.2,1717.2,1717.2
Manufacturing Steer,0-540,Processor,D,2,2,-5,292.0,292.0,292,11.7,561.5,561.5,561.5,1474.6,1474.6,1474.5999755859375
Manufacturing Steer,0-540,Processor,D,3,21,-20,278.0,324.0,314.3809523809524,3.2,524.5,600.0,584.6,1445.6,1706.4,1610.6285458519346
Manufacturing Steer,0-540,Processor,E,3,3,NQ,258.0,290.0,279.3333333333333,NQ,496.2,557.7,537.2,1212.6,1566.0,1448.1999918619792
Manufacturing Steer,540+,Processor,C,4,21,16,326.0,334.0,332,2.0,603.6,607.3,605.7,1841.9,2091.6,2041.6952427455358
Manufacturing Steer,540+,Processor,D,4,2,-26,270.0,318.0,294,-32.5,490.9,588.9,539.9,1768.5,1971.6,1870.0499877929688
Manufacturing Steer,540+,Processor,E,3,1,NQ,328.0,328.0,328,NQ,618.9,618.9,618.9,2099.2,2099.2,2099.199951171875
Grown Steer,0-400,Feeder,D,2,42,-23,200.0,272.0,253.14285714285714,81.1,384.6,523.1,486.8,750.0,1020.0,935.4809424990699
Grown Steer,0-400,Feeder,E,2,2,-13,142.0,142.0,142,-5.5,273.1,273.1,273.1,397.6,397.6,397.6000061035156
Grown Steer,0-400,Live Export,C,2,1,NQ,270.0,270.0,270,NQ,519.2,519.2,519.2,1039.5,1039.5,1039.5
Grown Steer,0-400,Live Export,D,2,9,-19,252.0,260.0,258.22222222222223,3.1,484.6,500.0,496.6,819.0,1014.0,970.6666666666666
Grown Steer,0-400,Processor,D,2,18,16,240.0,274.0,263.3888888888889,92.4,461.5,526.9,506.5,732.0,1053.0,967.3222249348959
Grown Steer,400-500,Feeder,D,2,8,7,258.0,258.0,258,38.0,496.2,496.2,496.2,1238.4,1238.4,1238.4000244140625
Grown Steer,400-500,Live Export,D,2,27,2,240.0,292.0,271.3333333333333,-6.7,461.5,561.5,521.8,1074.2,1315.6,1153.540699146412
Grown Steer,400-500,Processor,C,3,19,18,284.0,314.0,305.2631578947368,23.3,525.9,592.5,568.8,1320.6,1544.4,1483.673673930921
Grown Steer,400-500,Processor,D,2,4,-5,240.0,264.0,258,-10.4,461.5,507.7,496.2,972.0,1122.0,1084.5
Grown Steer,400-500,Processor,D,3,25,-77,264.0,318.0,293.52,7.6,498.1,600.0,558.3,1159.2,1510.5,1321.75998046875
Grown Steer,500-600,Processor,C,3,21,-22,322.0,334.0,324.0952380952381,7.3,596.3,618.5,600.2,1658.3,1887.1,1723.5666968936011
Grown Steer,500-600,Processor,D,3,2,1,270.0,270.0,270,-36.0,509.4,509.4,509.4,1377.0,1377.0,1377
Grown Steer,600-750,Feeder,D,3,1,NQ,220.0,220.0,220,NQ,415.1,415.1,415.1,1408.0,1408.0,1408
Grown Steer,600-750,Processor,C,4,1,-2,330.0,330.0,330,-4.0,611.1,611.1,611.1,2112.0,2112.0,2112
Grown Heifer,0-540,Feeder,C,2,8,NQ,274.0,274.0,274,NQ,526.9,526.9,526.9,1054.9,1054.9,1054.9000244140625
Grown Heifer,0-540,Feeder,D,2,6,NQ,182.0,182.0,182,NQ,364.0,364.0,364.0,609.7,609.7,609.7000325520834
Grown Heifer,0-540,Feeder,D,3,13,NQ,258.0,258.0,258,NQ,505.9,505.9,505.9,941.7,941.7,941.7000450721154
Grown Heifer,0-540,Processor,C,2,25,NQ,264.0,264.0,264,NQ,507.7,507.7,507.7,897.6,937.2,916.6080078125
Grown Heifer,0-540,Processor,C,3,16,-22,262.0,262.0,262,-19.8,503.8,503.8,503.8,1100.4,1100.4,1100.4000244140625
Grown Heifer,0-540,Processor,C,4,4,NQ,264.0,264.0,264,NQ,498.1,498.1,498.1,1372.8,1372.8,1372.800048828125
Grown Heifer,0-540,Processor,D,2,17,-40,210.0,262.0,250.58823529411765,48.2,420.0,503.8,487.6,693.0,1054.1,943.1470480526195
