Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Forbes
Report Date: 10/03/2025
Comparison Date: 03/03/2025
Total Yarding: 681 (-1036)
Commentary
"Numbers more than halved this sale with agents yarding just 681 head. Quality was very mixed with both well finished and secondary cattle penned. The usual buyers were present and competing in a firm to dearer market.

Yearling steers to feed lifted 4 to 5c/kg to sell from 320 to 382c/kg. Finished types to processors received from 330 to 380c/kg. The heifer portion also improved with those to feed selling from 293 to 330c/kg. processors paid from 290 to 350c/kg for better types. 

Heavy steers were limited and reached 360c/kg. Grown heifers sold to 296c/kg. Cows were firm to 3c easier with heavy 2 score from 255 to 271c and 3 score from 276c to 298c/kg. The best heavy bull reached 312c/kg."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Feeder,C,2,6,NQ,320.0,360.0,340,NQ,592.6,666.7,629.6,864.0,1008.0,936
Yearling Steer,200-280,Restocker,C,2,1,-22,362.0,362.0,362,-32.3,670.4,670.4,670.4,941.2,941.2,941.2000122070312
Yearling Steer,280-330,Feeder,C,2,11,NQ,350.0,370.0,365.40000221946025,NQ,648.1,685.2,676.7,1015.0,1207.7,1136.3200461647727
Yearling Steer,280-330,Restocker,C,2,12,9,320.0,365.0,341.75,-12.3,592.6,675.9,632.9,960.0,1095.0,1033.9249877929688
Yearling Steer,330-400,Feeder,C,2,45,-91,320.0,380.0,358.7200005425347,-5.3,592.6,703.7,664.3,1184.0,1520.0,1344.985812717014
Yearling Steer,330-400,Processor,C,3,1,-3,350.0,350.0,350,16.0,648.1,648.1,648.1,1400.0,1400.0,1400
Yearling Steer,330-400,Restocker,C,2,8,NQ,366.0,366.0,366,NQ,677.8,677.8,677.8,1427.4,1427.4,1427.4000244140625
Yearling Steer,400+,Feeder,C,2,70,-96,338.2,382.2,362.9571463448661,-4.9,626.3,707.8,672.1,1394.0,1681.7,1555.8571568080358
Yearling Steer,400+,Feeder,C,3,44,6,365.0,377.0,368.95454545454544,13.9,675.9,698.1,683.2,1533.0,1762.5,1672.6931707208807
Yearling Steer,400+,Processor,C,3,26,-2,330.0,380.0,361.15384615384613,17.6,611.1,703.7,668.8,1656.0,1836.0,1763.2692307692307
Yearling Heifer,200-280,Processor,C,3,1,NQ,300.0,300.0,300,NQ,555.6,555.6,555.6,840.0,840.0,840
Yearling Heifer,200-280,Processor,D,3,2,-4,274.2,274.2,274.20001220703125,24.2,507.8,507.8,507.8,767.8,767.8,767.760009765625
Yearling Heifer,200-280,Restocker,C,2,2,NQ,280.0,280.0,280,NQ,518.5,518.5,518.5,644.0,644.0,644
Yearling Heifer,200-280,Restocker,C,3,9,NQ,255.0,309.2,289.3777804904514,NQ,472.2,572.6,535.9,586.5,803.9,729.2888726128472
